id	orgName
dvp_010_org_0	Dartmouth College
dvp_010_org_1	Dartmouth
dvp_010_org_2	Boy Scout
dvp_010_org_3	Boy Scout
dvp_010_org_4	Dartmouth
dvp_010_org_5	Boy Scout[s]
dvp_010_org_6	Boy Scout
dvp_010_org_7	Boy Scouts
dvp_010_org_8	Dartmouth
dvp_010_org_9	Dartmouth
dvp_010_org_10	Dartmouth
dvp_010_org_11	Dartmouth
dvp_010_org_12	Dartmouth
dvp_010_org_13	Dartmouth
dvp_010_org_14	Dartmouth
dvp_010_org_15	[Dartmouth] Outing Club
dvp_010_org_16	Dartmouth Society of Engineers
dvp_010_org_17	ROTC [Reserve Officers’ Training Corps]
dvp_010_org_18	Phi Kappa Psi
dvp_010_org_19	Panarchy
dvp_010_org_20	ROTC
dvp_010_org_21	Dartmouth
dvp_010_org_22	ROTC
dvp_010_org_23	military
dvp_010_org_24	Army
dvp_010_org_25	military
dvp_010_org_26	ROTC
dvp_010_org_27	[U.S.] Army
dvp_010_org_28	Army ROTC
dvp_010_org_29	ROTC
dvp_010_org_30	ROTC
dvp_010_org_31	Boy Scouts
dvp_010_org_32	military
dvp_010_org_33	ROTC
dvp_010_org_34	ROTC
dvp_010_org_35	Army
dvp_010_org_36	Reserves
dvp_010_org_37	Reserve
dvp_010_org_38	Army
dvp_010_org_39	ROTC
dvp_010_org_40	Reserves
dvp_010_org_41	ROTC
dvp_010_org_42	ROTC
dvp_010_org_43	ROTC
dvp_010_org_44	ROTC
dvp_010_org_45	Reserves
dvp_010_org_46	Reserve
dvp_010_org_47	Army
dvp_010_org_48	Army
dvp_010_org_49	Army
dvp_010_org_50	Army
dvp_010_org_51	[the U.S. Military Academy at] West Point
dvp_010_org_52	[U.S.] Air Force Academy
dvp_010_org_53	Air Force Academy
dvp_010_org_54	Army ROTC
dvp_010_org_55	Army ROTC
dvp_010_org_56	Dartmouth
dvp_010_org_57	Dartmouth
dvp_010_org_58	Rutgers [University]
dvp_010_org_59	Rutgers
dvp_010_org_60	ROTC
dvp_010_org_61	Boy Scout
dvp_010_org_62	Eagle Scout
dvp_010_org_63	ROTC
dvp_010_org_64	Boy Scout
dvp_010_org_65	ROTC
dvp_010_org_66	Dartmouth
dvp_010_org_67	Dartmouth
dvp_010_org_68	Dartmouth
dvp_010_org_69	Dartmouth
dvp_010_org_70	ROTC
dvp_010_org_71	Dartmouth
dvp_010_org_72	Dartmouth ROTC
dvp_010_org_73	ROTC
dvp_010_org_74	Dartmouth
dvp_010_org_75	Dartmouth
dvp_010_org_76	ROTC
dvp_010_org_77	ROTC
dvp_010_org_78	Dartmouth
dvp_010_org_79	Dartmouth
dvp_010_org_80	Army
dvp_010_org_81	ROTC
dvp_010_org_82	ROTC
dvp_010_org_83	Dartmouth
dvp_010_org_84	[U.S. Army] Signal Corps
dvp_010_org_85	Signal Corps
dvp_010_org_86	Regular Army
dvp_010_org_87	Ordnance Corps
dvp_010_org_88	Ordnance Corps
dvp_010_org_89	Army
dvp_010_org_90	Dartmouth
dvp_010_org_91	Dartmouth
dvp_010_org_92	Dartmouth
dvp_010_org_93	Army
dvp_010_org_94	Navy
dvp_010_org_95	Air Force
dvp_010_org_96	ROTC
dvp_010_org_97	University of Virginia
dvp_010_org_98	University of Virginia
dvp_010_org_99	University of Virginia
dvp_010_org_100	Army
dvp_010_org_101	Army
dvp_010_org_102	IBM [International Business Machines Corporation]
dvp_010_org_103	ROTC
dvp_010_org_104	ROTC
dvp_010_org_105	ROTC
dvp_010_org_106	Dartmouth
dvp_010_org_107	ROTC
dvp_010_org_108	University of Virginia
dvp_010_org_109	ROTC
dvp_010_org_110	Army
dvp_010_org_111	University of Virginia
dvp_010_org_112	Army
dvp_010_org_113	Virginia
dvp_010_org_114	IBM
dvp_010_org_115	IBM
dvp_010_org_116	IBM
dvp_010_org_117	Dartmouth
dvp_010_org_118	Army
dvp_010_org_119	Ordnance Corps
dvp_010_org_120	Ordnance Corps
dvp_010_org_121	ROTC
dvp_010_org_122	IBM
dvp_010_org_123	Army
dvp_010_org_124	Goucher College
dvp_010_org_125	[U.S. Army] Electronics Support Command
dvp_010_org_126	Sheraton Hotel [Sheraton Philadelphia Downtown Hotel]
dvp_010_org_127	IBM
dvp_010_org_128	[U.S. Army] Quartermaster Corps
dvp_010_org_129	Army
dvp_010_org_130	Army Electronics Command
dvp_010_org_131	Army Electronics Command
dvp_010_org_132	Department of the Army
dvp_010_org_133	ROTC
dvp_010_org_134	Dartmouth
dvp_010_org_135	ROTC
dvp_010_org_136	Dartmouth
dvp_010_org_137	Army
dvp_010_org_138	Army Electronics Comment Command
dvp_010_org_139	Army
dvp_010_org_140	Army
dvp_010_org_141	Army
dvp_010_org_142	Philadelphia Eagles
dvp_010_org_143	Air Force
dvp_010_org_144	VFW, the Veterans of Foreign Wars
dvp_010_org_145	Air Force
dvp_010_org_146	[U.S.] Air Force
dvp_010_org_147	Air Force
dvp_010_org_148	IBM
dvp_010_org_149	Army
dvp_010_org_150	Dartmouth
dvp_010_org_151	ROTC
dvp_010_org_152	Dartmouth
dvp_010_org_153	Dartmouth
dvp_010_org_154	Dartmouth
dvp_010_org_155	Dartmouth
dvp_010_org_156	Class of 1965
dvp_010_org_157	[U.S. Army] Transportation Corps
dvp_010_org_158	Armed Forces
dvp_010_org_159	Dartmouth College
dvp_010_org_160	ROTC
dvp_010_org_161	ROTC
dvp_010_org_162	Dartmouth
dvp_010_org_163	Transportation Corps
dvp_010_org_164	Transportation Corps
dvp_010_org_165	Transportation Corps
