id	placeName	QID	dvp_id	coordinate location
dvp_011_place_0	Ticknor Room	Q101096820		43.70446944444444,-72.28816944444445
dvp_011_place_1	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_011_place_2	Providence	Q18383		41.82399,-71.41283
dvp_011_place_3	Pawtucket	Q49200		41.875555555556,-71.376111111111
dvp_011_place_4	Cumberland	Q1143667		41.966666666667,-71.432777777778
dvp_011_place_5	Hanover	Q131908		43.7,-72.28333333333333
dvp_011_place_6	Kentucky	Q1603		37.5,-85
dvp_011_place_7	United States of America	Q30		39.828175,-98.5795
dvp_011_place_8	Providence	Q18383		41.82399,-71.41283
dvp_011_place_9	Pawtucket	Q49200		41.875555555556,-71.376111111111
dvp_011_place_10	Cumberland	Q1143667		41.966666666667,-71.432777777778
dvp_011_place_11	Rhode Island	Q1387		41.7,-71.5
dvp_011_place_12	Massachusetts	Q771		42.3,-71.8
dvp_011_place_13	Hanover	Q131908		43.7,-72.28333333333333
dvp_011_place_14	American			
dvp_011_place_15	Vietnam	Q881		16,108
dvp_011_place_16	Cumberland	Q1143667		41.966666666667,-71.432777777778
dvp_011_place_17	Rhode Island	Q1387		41.7,-71.5
dvp_011_place_18	Woonsocket	Q54276		42.008333333333,-71.516111111111
dvp_011_place_19	Rhode Island	Q1387		41.7,-71.5
dvp_011_place_20	New Jersey	Q1408		40,-74.5
dvp_011_place_21	Fort Dix	Q1087169		40.019166666667,-74.522777777778
dvp_011_place_22	Providence	Q18383		41.82399,-71.41283
dvp_011_place_23	Fort Jackson	Q5471392		34.039166666667,-80.822222222222
dvp_011_place_24	South Carolina	Q1456		34,-81
dvp_011_place_25	Missouri	Q1581		38.5,-92.5
dvp_011_place_26	Ozarks	Q1321468		37.1822,-92.5159
dvp_011_place_27	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_011_place_28	South Carolina	Q1456		34,-81
dvp_011_place_29	Missouri	Q1581		38.5,-92.5
dvp_011_place_30	Ozarks	Q1321468		37.1822,-92.5159
dvp_011_place_31	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_011_place_32	South Carolina	Q1456		34,-81
dvp_011_place_33	Missouri	Q1581		38.5,-92.5
dvp_011_place_34	Ozarks	Q1321468		37.1822,-92.5159
dvp_011_place_35	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_011_place_36	Virginia	Q1370		37.5,-79
dvp_011_place_37	Virginia	Q1370		37.5,-79
dvp_011_place_38	Vietnam	Q881		16,108
dvp_011_place_39	Vietnam	Q881		16,108
dvp_011_place_40	Fort Belvoir	Q1375761		38.7197,-77.1546
dvp_011_place_41	Fort Wolters	Q5472364		32.8525,-98.0311
dvp_011_place_42	Texas	Q1439		31,-100
dvp_011_place_43	Fort Wolters	Q5472364		32.8525,-98.0311
dvp_011_place_44	Mineral Wells	Q1016981		32.80833,-98.10167
dvp_011_place_45	Fort Rucker	Q1292067		31.34,-85.71
dvp_011_place_46	Hunter Army Airfield	Q3085119		32.01,-81.14555556
dvp_011_place_47	Savannah	Q83813		32.050833333333,-81.103888888889
dvp_011_place_48	Savannah	Q83813		32.050833333333,-81.103888888889
dvp_011_place_49	Vietnam	Q881		16,108
