id	name
dvp_034_event_0	Vietnam War
dvp_034_event_1	Vietnam War
dvp_034_event_2	World War II
dvp_034_event_3	World War II
dvp_034_event_4	World War II
dvp_034_event_5	World War II
dvp_034_event_6	Sputnik [1] went up
dvp_034_event_7	World War II
dvp_034_event_8	World War II
dvp_034_event_9	Gulf of Tonkin thing [incident]
dvp_034_event_10	Gulf of Tonkin incident
dvp_034_event_11	Vietnam War
dvp_034_event_12	Iraq War
dvp_034_event_13	Vietnam War
dvp_034_event_14	Vietnam
dvp_034_event_15	Bataan [Death] March
dvp_034_event_16	Vietnam War
dvp_034_event_17	World War II
dvp_034_event_18	Cold War
dvp_034_event_19	Vietnam
dvp_034_event_20	Vietnam
dvp_034_event_21	Vietnam
dvp_034_event_22	Kent State [University shootings]
dvp_034_event_23	Vietnam
dvp_034_event_24	Vietnam
dvp_034_event_25	9/11 [attacks]
dvp_034_event_26	Vietnam
dvp_034_event_27	Vietnam
dvp_034_event_28	Vietnam
dvp_034_event_29	World War II
dvp_034_event_30	Iraq War
dvp_034_event_31	Gulf War
