id	placeName
dvp_034_place_0	Rauner [Special Collections] Library
dvp_034_place_1	Dartmouth College’s campus
dvp_034_place_2	Hanover
dvp_034_place_3	Paterson, New Jersey
dvp_034_place_4	North Haledon, New Jersey
dvp_034_place_5	Paterson
dvp_034_place_6	Ridgewood
dvp_034_place_7	New York City
dvp_034_place_8	New York City
dvp_034_place_9	Dartmouth
dvp_034_place_10	Dartmouth
dvp_034_place_11	Empire State Building
dvp_034_place_12	Rockefeller Center
dvp_034_place_13	Dartmouth
dvp_034_place_14	Hitchcock [Hall]
dvp_034_place_15	Woodward [Hall]
dvp_034_place_16	Nebraska
dvp_034_place_17	Woodward
dvp_034_place_18	Norfolk [Naval Station Norfolk, Virginia]
dvp_034_place_19	Caribbean [Sea]
dvp_034_place_20	[Naval Amphibious Base] Little Creek, Virginia
dvp_034_place_21	[the Naval Air Station] Corpus Christi, Texas
dvp_034_place_22	Norfolk
dvp_034_place_23	Dartmouth
dvp_034_place_24	Vietnam
dvp_034_place_25	Vietnam
dvp_034_place_26	Vietnam
dvp_034_place_27	Tuck School
dvp_034_place_28	Washington [D.C.]
dvp_034_place_29	Washington
dvp_034_place_30	Bermuda
dvp_034_place_31	Dartmouth
dvp_034_place_32	San Francisco Bay
dvp_034_place_33	New York
dvp_034_place_34	Saratoga Springs
dvp_034_place_35	[Naval Station] Long Beach, California
dvp_034_place_36	Gulf of Tonkin
dvp_034_place_37	Thailand
dvp_034_place_38	Hainan Island [Hainan]
dvp_034_place_39	China
dvp_034_place_40	Hainan Island
dvp_034_place_41	China
dvp_034_place_42	Saratoga Springs
dvp_034_place_43	Vietnam
dvp_034_place_44	Sasebo [pronounced SASS-uh-boh], Japan
dvp_034_place_45	Sasebo, Japan
dvp_034_place_46	[Naval Station] Subic Bay, Philippines
dvp_034_place_47	Bataan
dvp_034_place_48	Bataan Peninsula
dvp_034_place_49	Singapore
dvp_034_place_50	Sasebo, Japan
dvp_034_place_51	Gulf of Tonkin
dvp_034_place_52	Vietnam
dvp_034_place_53	Hainan Island
dvp_034_place_54	Cape Cod
dvp_034_place_55	Gibraltar
dvp_034_place_56	Vietnam
dvp_034_place_57	China
dvp_034_place_58	North Korea
dvp_034_place_59	Long Beach, California
dvp_034_place_60	New York
dvp_034_place_61	Saratoga
dvp_034_place_62	North Dakota
dvp_034_place_63	Vietnam
dvp_034_place_64	Washington
dvp_034_place_65	Thailand
dvp_034_place_66	Germany
dvp_034_place_67	Mediterranean [Sea]
dvp_034_place_68	Mediterranean
dvp_034_place_69	San Diego
dvp_034_place_70	Gulf of Tonkin
dvp_034_place_71	Washington
dvp_034_place_72	New York
dvp_034_place_73	Saratoga
dvp_034_place_74	Saratoga
dvp_034_place_75	New Jersey
dvp_034_place_76	New York
dvp_034_place_77	Hartford, Connecticut
dvp_034_place_78	Afghanistan
dvp_034_place_79	Colorado
dvp_034_place_80	Vietnam
