id	name	QID	dvp_id	start time	end time	point in time
dvp_033_event_0	post-Vietnam					
dvp_033_event_1	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_033_event_2	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_033_event_3	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_033_event_4	Cold War	Q8683		1947-01-01T00:00:00Z	1991-01-01T00:00:00Z	
dvp_033_event_5	Cold War	Q8683		1947-01-01T00:00:00Z	1991-01-01T00:00:00Z	
dvp_033_event_6	Cold War	Q8683		1947-01-01T00:00:00Z	1991-01-01T00:00:00Z	
dvp_033_event_7	Cold War	Q8683		1947-01-01T00:00:00Z	1991-01-01T00:00:00Z	
dvp_033_event_8	Cold War	Q8683		1947-01-01T00:00:00Z	1991-01-01T00:00:00Z	
dvp_033_event_9	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_033_event_10	Cold War	Q8683		1947-01-01T00:00:00Z	1991-01-01T00:00:00Z	
dvp_033_event_11	Great Depression in the United States	Q696482		1929-10-24T00:00:00Z	1939-01-01T00:00:00Z	
dvp_033_event_12	Depression raisin cake					
dvp_033_event_13	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_033_event_14	Cold War	Q8683		1947-01-01T00:00:00Z	1991-01-01T00:00:00Z	
dvp_033_event_15	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_033_event_16	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_033_event_17	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_033_event_18	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_033_event_19	’3					
dvp_033_event_20	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_033_event_21	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_033_event_22	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_033_event_23	the Viet Cong					
dvp_033_event_24	the Viet Cong					
dvp_033_event_25	the Viet Cong					
dvp_033_event_26	CORDS					
dvp_033_event_27	the Viet Cong					
dvp_033_event_28	the Viet Cong					
dvp_033_event_29	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_033_event_30	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_033_event_31	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
