id	orgName	QID	dvp_id
dvp_033_org_0	Rauner Special Collections Library	Q98544730	
dvp_033_org_1	Dartmouth College	Q49116	
dvp_033_org_2	Woodston	Q582154	
dvp_033_org_3	Normandy landings	Q16470	
dvp_033_org_4	NUKE		
dvp_033_org_5	Boeing	Q66	
dvp_033_org_6	Dartmouth College	Q49116	
dvp_033_org_7	Great Bend, North Dakota	Q672501	
dvp_033_org_8	the Kansas State Presbyterian Women’s Association		dvp_0190
dvp_033_org_9	Great Bend, North Dakota	Q672501	
dvp_033_org_10	NPR	Q671510	
dvp_033_org_11	NPR	Q671510	
dvp_033_org_12	Davis Water Well Drilling	Q105076474	
dvp_033_org_13	Gotcha		
dvp_033_org_14	Gotcha		
dvp_033_org_15	Gotcha		
dvp_033_org_16	Great Bend, North Dakota	Q672501	
dvp_033_org_17	Alton	Q443852	
dvp_033_org_18	Wolfs	Q37117238	
dvp_033_org_19	Dartmouth College	Q49116	
dvp_033_org_20	Dartmouth College	Q49116	
dvp_033_org_21	Dartmouth College	Q49116	
dvp_033_org_22	Dartmouth College	Q49116	
dvp_033_org_23	Dartmouth College	Q49116	
dvp_033_org_24	Princeton University	Q21578	
dvp_033_org_25	Columbia University	Q49088	
dvp_033_org_26	University]		
dvp_033_org_27	Princeton and Brown		
dvp_033_org_28	Dartmouth College	Q49116	
dvp_033_org_29	University of Kansas	Q52413	
dvp_033_org_30	University of Kansas	Q52413	
dvp_033_org_31	Dartmouth College	Q49116	
dvp_033_org_32	Dartmouth College	Q49116	
dvp_033_org_33	University of Kansas	Q52413	
dvp_033_org_34	Landon Heffers		
dvp_033_org_35	55 Wall Street	Q1097619	
dvp_033_org_36	Citibank	Q857063	
dvp_033_org_37	Landon		
dvp_033_org_38	Dartmouth College	Q49116	
dvp_033_org_39	Landon		
dvp_033_org_40	Dartmouth College	Q49116	
dvp_033_org_41	Dartmouth College	Q49116	
dvp_033_org_42	Dartmouth College	Q49116	
dvp_033_org_43	Dartmouth College	Q49116	
dvp_033_org_44	Dartmouth College	Q49116	
dvp_033_org_45	Dartmouth College	Q49116	
dvp_033_org_46	The Elements of Style	Q3010059	
dvp_033_org_47	Middle East Institute	Q6841337	
dvp_033_org_48	National War College	Q137269	
dvp_033_org_49	National Intelligence University	Q6973819	
dvp_033_org_50	National Intelligence University	Q6973819	
dvp_033_org_51	University of Maryland	Q503415	
dvp_033_org_52	After Apple-Picking	Q18353205	
dvp_033_org_53	After Apple-Picking	Q18353205	
dvp_033_org_54	Robert Frost	Q168728	
dvp_033_org_55	Robert Frost	Q168728	
dvp_033_org_56	Dartmouth College	Q49116	
dvp_033_org_57	Dartmouth College	Q49116	
dvp_033_org_58	Dartmouth College	Q49116	
dvp_033_org_59	Dartmouth College	Q49116	
dvp_033_org_60	Dartmouth College	Q49116	
dvp_033_org_61	Gotcha		
dvp_033_org_62	Time	Q43297	
dvp_033_org_63	Newsweek	Q188413	
dvp_033_org_64	The New York Times	Q9684	
dvp_033_org_65	Gotcha		
dvp_033_org_66	Dartmouth College	Q49116	
dvp_033_org_67	Nelson Rockefeller	Q11237	
dvp_033_org_68	Republican Party	Q29468	
dvp_033_org_69	Republican Party	Q29468	
dvp_033_org_70	Dartmouth College	Q49116	
dvp_033_org_71	Dartmouth College	Q49116	
dvp_033_org_72	Dartmouth College	Q49116	
dvp_033_org_73	Dartmouth College	Q49116	
dvp_033_org_74	Gulf of Tonkin Resolution	Q240352	
dvp_033_org_75	Dartmouth College	Q49116	
dvp_033_org_76	George Washington University	Q432637	
dvp_033_org_77	Dartmouth College	Q49116	
dvp_033_org_78	European Union	Q458	
dvp_033_org_79	European Union	Q458	
dvp_033_org_80	Dartmouth College	Q49116	
dvp_033_org_81	Dartmouth College	Q49116	
dvp_033_org_82	Paul H. Nitze School of Advanced International Studies	Q1352632	
dvp_033_org_83	Paul H. Nitze School of Advanced International Studies	Q1352632	
dvp_033_org_84	Paul H. Nitze School of Advanced International Studies	Q1352632	
dvp_033_org_85	Paul H. Nitze School of Advanced International Studies	Q1352632	
dvp_033_org_86	Center of Advanced European Studies and Research	Q163307	
dvp_033_org_87	United States Foreign Service	Q3480437	
dvp_033_org_88	United States Department of State	Q789915	
dvp_033_org_89	Paul H. Nitze School of Advanced International Studies	Q1352632	
dvp_033_org_90	Britons	Q842438	
dvp_033_org_91	Dartmouth College	Q49116	
dvp_033_org_92	United States Foreign Service	Q3480437	
dvp_033_org_93	United States Foreign Service	Q3480437	
dvp_033_org_94	United States Foreign Service	Q3480437	
dvp_033_org_95	United States Foreign Service	Q3480437	
dvp_033_org_96	United States Foreign Service	Q3480437	
dvp_033_org_97	United States Foreign Service	Q3480437	
dvp_033_org_98	THE FOREST SERVICE	Q81118135	
dvp_033_org_99	United States Foreign Service	Q3480437	
dvp_033_org_100	Volkswagen	Q246	
dvp_033_org_101	National Health Service	Q918396	
dvp_033_org_102	National Health Service	Q918396	
dvp_033_org_103	United Kingdom Atomic Energy Authority	Q615775	
dvp_033_org_104	sic		
dvp_033_org_105	United Kingdom Atomic Energy Authority	Q615775	
dvp_033_org_106	United States Foreign Service	Q3480437	
dvp_033_org_107	United States Foreign Service	Q3480437	
dvp_033_org_108	United States Department of State	Q789915	
dvp_033_org_109	United States Foreign Service	Q3480437	
dvp_033_org_110	United States Foreign Service	Q3480437	
dvp_033_org_111	United States Department of State	Q789915	
dvp_033_org_112	United States Foreign Service	Q3480437	
dvp_033_org_113	United States Department of State	Q789915	
dvp_033_org_114	Dissent Channel	Q105076421	
dvp_033_org_115	United States Foreign Service	Q3480437	
dvp_033_org_116	United States Foreign Service	Q3480437	
dvp_033_org_117	The Ivy League	Q1434018	
dvp_033_org_118	Stanford University	Q41506	
dvp_033_org_119	University of California, Berkeley	Q168756	
dvp_033_org_120	University of California, Berkeley	Q168756	
dvp_033_org_121	U.S. Agency for International Development (USAID): Background, Operations, and Issues	Q59597556	
dvp_033_org_122	Chieu Hoi	Q5097176	
dvp_033_org_123	North Vietnamese regular army	Q101243309	
dvp_033_org_124	Nha Trang	Q19491	
dvp_033_org_125	Civil Operations and Rural Development Support	Q105076367	
dvp_033_org_126	Civil Operations and Rural Development Support	Q105076367	
dvp_033_org_127	Civil Operations and Rural Development Support	Q105076367	
dvp_033_org_128	Civil Operations and Rural Development Support	Q105076367	
dvp_033_org_129	Civil Operations and Rural Development Support	Q105076367	
dvp_033_org_130	Civil Operations and Rural Development Support	Q105076367	
dvp_033_org_131	Phoenix Program	Q1755657	
dvp_033_org_132	Central Intelligence Agency	Q37230	
dvp_033_org_133	Central Intelligence Agency	Q37230	
dvp_033_org_134	the Armed Propaganda Team		dvp_0189
dvp_033_org_135	IV Corps	Q5975531	
dvp_033_org_136	II Corps	Q5971479	
dvp_033_org_137	IV Corps	Q5975531	
dvp_033_org_138	United States Army	Q9212	
dvp_033_org_139	II Corps	Q5971479	
dvp_033_org_140	Army of the Republic of Vietnam	Q18917	
dvp_033_org_141	Army of the Republic of Vietnam	Q18917	
dvp_033_org_142	United States Foreign Service	Q3480437	
dvp_033_org_143	United States Foreign Service	Q3480437	
dvp_033_org_144	II Corps	Q5971479	
dvp_033_org_145	United States Department of State	Q789915	
dvp_033_org_146	United States Foreign Service	Q3480437	
dvp_033_org_147	United States Foreign Service	Q3480437	
dvp_033_org_148	United States Foreign Service	Q3480437	
dvp_033_org_149	United States Agency for International Development	Q217072	
dvp_033_org_150	United States Agency for International Development	Q217072	
dvp_033_org_151	Lyndon B. Johnson	Q9640	
