id	placeName
dvp_033_place_0	Hanover
dvp_033_place_1	New Hampshire
dvp_033_place_2	Arlington
dvp_033_place_3	Virginia
dvp_033_place_4	Vietnam
dvp_033_place_5	Hastings
dvp_033_place_6	Nebraska
dvp_033_place_7	Kansas
dvp_033_place_8	Great Bend
dvp_033_place_9	Alton
dvp_033_place_10	Korea
dvp_033_place_11	Kansas
dvp_033_place_12	Kansas
dvp_033_place_13	the United States
dvp_033_place_14	Great Bend
dvp_033_place_15	Great Bend
dvp_033_place_16	Soviet Union
dvp_033_place_17	Kansas
dvp_033_place_18	Nebraska
dvp_033_place_19	Kansas
dvp_033_place_20	Kansas
dvp_033_place_21	Kansas
dvp_033_place_22	the United States
dvp_033_place_23	California
dvp_033_place_24	Texas
dvp_033_place_25	Kansas
dvp_033_place_26	Kansas
dvp_033_place_27	Kansas
dvp_033_place_28	Barton County
dvp_033_place_29	Kansas
dvp_033_place_30	Alton
dvp_033_place_31	Woodston
dvp_033_place_32	Oklahoma City
dvp_033_place_33	Oklahoma City
dvp_033_place_34	Kansas
dvp_033_place_35	Kansas
dvp_033_place_36	Kansas
dvp_033_place_37	Great Bend
dvp_033_place_38	Oklahoma City
dvp_033_place_39	Oklahoma City
dvp_033_place_40	Oklahoma City
dvp_033_place_41	the Arkansas River
dvp_033_place_42	Colorado
dvp_033_place_43	Great Bend
dvp_033_place_44	Cambridge
dvp_033_place_45	Boston
dvp_033_place_46	New York City
dvp_033_place_47	Dartmouth
dvp_033_place_48	Long Island
dvp_033_place_49	New York
dvp_033_place_50	Kansas City
dvp_033_place_51	New York City
dvp_033_place_52	New York
dvp_033_place_53	Long Island
dvp_033_place_54	New England
dvp_033_place_55	Kansas
dvp_033_place_56	Massachusetts
dvp_033_place_57	Connecticut
dvp_033_place_58	Kansas
dvp_033_place_59	Kansas
dvp_033_place_60	New Hampshire
dvp_033_place_61	Kansas
dvp_033_place_62	New Hampshire
dvp_033_place_63	the Green Weenies
dvp_033_place_64	the Green Weenies
dvp_033_place_65	the Green Weenies
dvp_033_place_66	Littleton
dvp_033_place_67	New Hampshire
dvp_033_place_68	Littleton
dvp_033_place_69	New Hampshire
dvp_033_place_70	Vietnam
dvp_033_place_71	the United States
dvp_033_place_72	Vietnam
dvp_033_place_73	Vietnam
dvp_033_place_74	Vietnam
dvp_033_place_75	Vietnam
dvp_033_place_76	Kansas
dvp_033_place_77	Kansas
dvp_033_place_78	Hanover
dvp_033_place_79	New Hampshire
dvp_033_place_80	Vietnam
dvp_033_place_81	Tonkin Gulf
dvp_033_place_82	Gulf
dvp_033_place_83	Tonkin
dvp_033_place_84	U.S.
dvp_033_place_85	U.S.
dvp_033_place_86	Washington
dvp_033_place_87	D.C.
dvp_033_place_88	Kansas
dvp_033_place_89	Great Bend
dvp_033_place_90	Washington
dvp_033_place_91	D.C.
dvp_033_place_92	New Hampshire
dvp_033_place_93	New Hampshire
dvp_033_place_94	D.C.
dvp_033_place_95	Virginia
dvp_033_place_96	Kansas
dvp_033_place_97	D.C.—did
dvp_033_place_98	Vietnam
dvp_033_place_99	Vietnam
dvp_033_place_100	Vietnam
dvp_033_place_101	Washington
dvp_033_place_102	Italy
dvp_033_place_103	U.S.
dvp_033_place_104	Kansas
dvp_033_place_105	Hanover
dvp_033_place_106	Kansas City
dvp_033_place_107	New York
dvp_033_place_108	New York
dvp_033_place_109	Milan
dvp_033_place_110	Milan
dvp_033_place_111	Milan
dvp_033_place_112	Vietnam
dvp_033_place_113	Vietnam
dvp_033_place_114	Vietnam
dvp_033_place_115	Vietnam
dvp_033_place_116	Vietnam
dvp_033_place_117	Vietnam
dvp_033_place_118	Vietnam
dvp_033_place_119	the United States
dvp_033_place_120	Paris
dvp_033_place_121	Paris
dvp_033_place_122	Brussels
dvp_033_place_123	Luxembourg
dvp_033_place_124	Italy
dvp_033_place_125	Rome
dvp_033_place_126	Vienna
dvp_033_place_127	Vienna
dvp_033_place_128	America
dvp_033_place_129	Europe
dvp_033_place_130	Europe
dvp_033_place_131	Middle East
dvp_033_place_132	Europe
dvp_033_place_133	Vietnam
dvp_033_place_134	Italy
dvp_033_place_135	Vietnam
dvp_033_place_136	Vietnam
dvp_033_place_137	Vietnam
dvp_033_place_138	Vietnam
dvp_033_place_139	Europe
dvp_033_place_140	Europe
dvp_033_place_141	Italy
dvp_033_place_142	D.C.
dvp_033_place_143	Rosslyn
dvp_033_place_144	Virginia
dvp_033_place_145	Potomac
dvp_033_place_146	D.C.
dvp_033_place_147	Vietnam
dvp_033_place_148	Vietnam
dvp_033_place_149	Vietnam
dvp_033_place_150	Vietnam
dvp_033_place_151	Vietnam
dvp_033_place_152	East Coast
dvp_033_place_153	the United States
dvp_033_place_154	the United States
dvp_033_place_155	Wisconsin
dvp_033_place_156	Chicago
dvp_033_place_157	Vietnam
dvp_033_place_158	Vietnam
dvp_033_place_159	Vietnam
dvp_033_place_160	Vietnam
dvp_033_place_161	Vietnam
dvp_033_place_162	Washington
dvp_033_place_163	Kansas
dvp_033_place_164	Hawaii
dvp_033_place_165	Hawaii
dvp_033_place_166	Vietnam
dvp_033_place_167	Saigon
dvp_033_place_168	USAID
dvp_033_place_169	Saigon
dvp_033_place_170	Saigon
dvp_033_place_171	Saigon
dvp_033_place_172	Washington
dvp_033_place_173	Vietnam
dvp_033_place_174	Washington
dvp_033_place_175	Vietnam
dvp_033_place_176	Washington
dvp_033_place_177	Vietnam
dvp_033_place_178	Vietnam
dvp_033_place_179	Vietnam
dvp_033_place_180	Red River
dvp_033_place_181	Delta
dvp_033_place_182	Vietnam
dvp_033_place_183	us
dvp_033_place_184	Vietnam
dvp_033_place_185	Vietnam
dvp_033_place_186	Hoi Chanh
dvp_033_place_187	Vietnam
dvp_033_place_188	CORDS
dvp_033_place_189	Saigon
dvp_033_place_190	Delta
dvp_033_place_191	Viet Cong
dvp_033_place_192	Delta
dvp_033_place_193	Saigon
dvp_033_place_194	the west coast
dvp_033_place_195	Viet Cong
dvp_033_place_196	Vietnam
dvp_033_place_197	the United States
dvp_033_place_198	Vietnam
dvp_033_place_199	Vietnam
dvp_033_place_200	Vietnam
dvp_033_place_201	Australia
dvp_033_place_202	Vietnam
dvp_033_place_203	Vietnam
dvp_033_place_204	States
dvp_033_place_205	Vietnam
dvp_033_place_206	Russia
dvp_033_place_207	Moscow
dvp_033_place_208	Europe
dvp_033_place_209	Russia
dvp_033_place_210	Vladivostok
dvp_033_place_211	Australia
dvp_033_place_212	Vietnam
dvp_033_place_213	Vietnam
dvp_033_place_214	Vietnam
dvp_033_place_215	Vietnam
dvp_033_place_216	Vietnam
dvp_033_place_217	Baghdad
dvp_033_place_218	Baghdad
dvp_033_place_219	Saigon
dvp_033_place_220	Delta
dvp_033_place_221	Vietnam
dvp_033_place_222	Vietnam
dvp_033_place_223	the United States
dvp_033_place_224	Vietnam
dvp_033_place_225	America
dvp_033_place_226	Vietnam
dvp_033_place_227	Hanoi
dvp_033_place_228	Washington
dvp_033_place_229	Vietnam
dvp_033_place_230	USAID
dvp_033_place_231	USAID
dvp_033_place_232	Chiêu Hồi
dvp_033_place_233	CORDS
dvp_033_place_234	Saigon
dvp_033_place_235	Vietnam
dvp_033_place_236	Vietnam
dvp_033_place_237	Vietnam
dvp_033_place_238	Vietnam
dvp_033_place_239	U.S.
dvp_033_place_240	Vietnam
dvp_033_place_241	Vietnam
dvp_033_place_242	Vietnam
dvp_033_place_243	Vietnam
dvp_033_place_244	Vietnam
dvp_033_place_245	Vietnam
dvp_033_place_246	Cambodia
dvp_033_place_247	the United States
dvp_033_place_248	Cambodia
dvp_033_place_249	Vietnam
dvp_033_place_250	Hanoi
dvp_033_place_251	Washington
dvp_033_place_252	Vietnam
dvp_033_place_253	Dupont Circle
dvp_033_place_254	Washington
dvp_033_place_255	Vietnam
dvp_033_place_256	Mistake
dvp_033_place_257	Vietnam
dvp_033_place_258	Vietnam
dvp_033_place_259	Vietnam
dvp_033_place_260	Vietnam
dvp_033_place_261	Vietnam
dvp_033_place_262	Vietnam
