id	orgName
dvp_032_org_0	Phillips Exeter Academy
dvp_032_org_1	Exeter
dvp_032_org_2	Harvard [University]
dvp_032_org_3	Yale [University]
dvp_032_org_4	Harvard
dvp_032_org_5	Dartmouth
dvp_032_org_6	Dartmouth
dvp_032_org_7	ROTC [Reserve Officers’ Training Corps]
dvp_032_org_8	Army
dvp_032_org_9	Phillips Exeter
dvp_032_org_10	Phillips Exeter Academy
dvp_032_org_11	Dartmouth
dvp_032_org_12	Exeter
dvp_032_org_13	Dartmouth
dvp_032_org_14	Exeter
dvp_032_org_15	Exeter
dvp_032_org_16	Harvard
dvp_032_org_17	Dartmouth
dvp_032_org_18	Exeter
dvp_032_org_19	Harvard
dvp_032_org_20	Phillips Academy] Andover
dvp_032_org_21	Yale
dvp_032_org_22	Harvard
dvp_032_org_23	Yale
dvp_032_org_24	Dartmouth
dvp_032_org_25	Princeton [University]
dvp_032_org_26	Andover
dvp_032_org_27	Harvard
dvp_032_org_28	Yale
dvp_032_org_29	Dartmouth
dvp_032_org_30	Class of 1953
dvp_032_org_31	Exeter
dvp_032_org_32	Dartmouth
dvp_032_org_33	Dartmouth
dvp_032_org_34	UNH [University of New Hampshire
dvp_032_org_35	Harvard
dvp_032_org_36	Harvard
dvp_032_org_37	Dartmouth
dvp_032_org_38	Harvard
dvp_032_org_39	Dartmouth
dvp_032_org_40	Dartmouth
dvp_032_org_41	Harvard
dvp_032_org_42	Exeter
dvp_032_org_43	Dartmouth
dvp_032_org_44	Harvard
dvp_032_org_45	Harvard
dvp_032_org_46	Dartmouth
dvp_032_org_47	Exeter
dvp_032_org_48	Dartmouth
dvp_032_org_49	Dartmouth
dvp_032_org_50	Exeter
dvp_032_org_51	Dartmouth
dvp_032_org_52	Dartmouth
dvp_032_org_53	Dartmouth
dvp_032_org_54	University of Salamanca
dvp_032_org_55	Salamanca
dvp_032_org_56	Dartmouth
dvp_032_org_57	ROTC
dvp_032_org_58	ROTC
dvp_032_org_59	Navy
dvp_032_org_60	Army ROTC
dvp_032_org_61	Dartmouth
dvp_032_org_62	University of Salamanca
dvp_032_org_63	Exeter
dvp_032_org_64	Dartmouth
dvp_032_org_65	Exeter
dvp_032_org_66	Exeter
dvp_032_org_67	Exeter
dvp_032_org_68	Dartmouth
dvp_032_org_69	Dartmouth
dvp_032_org_70	Dartmouth
dvp_032_org_71	Dartmouth
dvp_032_org_72	ROTC
dvp_032_org_73	ROTC
dvp_032_org_74	ROTC
dvp_032_org_75	Norwich [University]
dvp_032_org_76	Army
dvp_032_org_77	Air Force
dvp_032_org_78	Navy
dvp_032_org_79	Cornell [University]
dvp_032_org_80	Navy
dvp_032_org_81	Navy
dvp_032_org_82	Dartmouth
dvp_032_org_83	Navy
dvp_032_org_84	ROTC
dvp_032_org_85	Dartmouth
dvp_032_org_86	University of] Michigan
dvp_032_org_87	Army
dvp_032_org_88	army
dvp_032_org_89	Army
dvp_032_org_90	the [U.S. Army] Infantry School
dvp_032_org_91	IOBC
dvp_032_org_92	Infantry Officers [sic; Officer] Basic Course, IOBC
dvp_032_org_93	IOBC
dvp_032_org_94	Army
dvp_032_org_95	Army
dvp_032_org_96	IOBC
dvp_032_org_97	Monterey [Presidio of Monterey]
dvp_032_org_98	Ranger School
dvp_032_org_99	Airborne [School]
dvp_032_org_100	101st Military Intelligence Battalion
dvp_032_org_101	U.S. Army’s Special Security Group
dvp_032_org_102	USASSG
dvp_032_org_103	FBI [Federal Bureau of investigation
dvp_032_org_104	Army
dvp_032_org_105	Special Security Group
dvp_032_org_106	Army Materiel Command
dvp_032_org_107	VC [Viet Cong
dvp_032_org_108	North Vietnamese Army
dvp_032_org_109	the 1st Cav [1st Cavalry Division
dvp_032_org_110	the 4th Division [4th Infantry Division
dvp_032_org_111	the 1st Division [1st Infantry Division
dvp_032_org_112	Army
dvp_032_org_113	Army
dvp_032_org_114	SSG
dvp_032_org_115	Special Security Group
dvp_032_org_116	Army
dvp_032_org_117	1st Cav [1st Cavalry Division
dvp_032_org_118	1st Cav
dvp_032_org_119	Special Security Group
dvp_032_org_120	Special Security Group
dvp_032_org_121	Special Security Group
dvp_032_org_122	ICOR [Infantry Combat Regiment
dvp_032_org_123	the 1st Cav
dvp_032_org_124	the Viet Cong
dvp_032_org_125	the U.S. Army
dvp_032_org_126	1st Cavalry Division
dvp_032_org_127	Viet Cong
dvp_032_org_128	NVA [North Vietnamese Army
dvp_032_org_129	1st Cav
dvp_032_org_130	1st Cav
dvp_032_org_131	1st Cav
dvp_032_org_132	371st RRC [Radio Research Company]
dvp_032_org_133	RRC
dvp_032_org_134	RDF [radio direction finding
dvp_032_org_135	Bangkok] National [Museum
dvp_032_org_136	Viet Cong
dvp_032_org_137	White Horse Division [9th Infantry Division of the Republic of Korea
dvp_032_org_138	U.S.] Marines
dvp_032_org_139	Marines
dvp_032_org_140	Army
dvp_032_org_141	the Army Corps of Engineers
dvp_032_org_142	Army
dvp_032_org_143	Army
dvp_032_org_144	Army
dvp_032_org_145	Navy
dvp_032_org_146	Army
dvp_032_org_147	Walter Reed Hospital [Walter Reed National Military Medical Center
dvp_032_org_148	Walter Reed
dvp_032_org_149	Army
dvp_032_org_150	Navy
dvp_032_org_151	Dartmouth
dvp_032_org_152	Dartmouth
dvp_032_org_153	Navy
dvp_032_org_154	Asia Pacific Division
dvp_032_org_155	Hong Kong] International School
dvp_032_org_156	Exeter
dvp_032_org_157	Andover
dvp_032_org_158	Northfield Mount Hermon [School
dvp_032_org_159	Northfield Mount Hermon
dvp_032_org_160	United Nations
dvp_032_org_161	Free Polish Army
dvp_032_org_162	Wentworth Institute of Technology
dvp_032_org_163	New England Historic Genealogical Society
dvp_032_org_164	Genealogical Society
dvp_032_org_165	Genealogical Society
dvp_032_org_166	Wentworth Institute of Technology
dvp_032_org_167	MIT [Massachusetts Institute of Technology
dvp_032_org_168	Wentworth
dvp_032_org_169	Wentworth
dvp_032_org_170	Dartmouth
dvp_032_org_171	MIT
dvp_032_org_172	MIT
dvp_032_org_173	Wentworth
dvp_032_org_174	OSS [Office of Strategic Services
dvp_032_org_175	Dartmouth
dvp_032_org_176	Dartmouth
dvp_032_org_177	Exeter
