id	placeName	QID	dvp_id	coordinate location
dvp_032_place_0	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_1	United States of America	Q30		39.828175,-98.5795
dvp_032_place_2	Germany	Q183		51,10
dvp_032_place_3	Poland	Q36		52,19
dvp_032_place_4	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_5	United States of America	Q30		39.828175,-98.5795
dvp_032_place_6	United States of America	Q30		39.828175,-98.5795
dvp_032_place_7	Salem	Q54140		42.516845,-70.898503
dvp_032_place_8	Massachusetts	Q771		42.3,-71.8
dvp_032_place_9	New Hampshire	Q759		44,-71.5
dvp_032_place_10	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_11	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_12	Hanover	Q131908		43.7,-72.28333333333333
dvp_032_place_13	Littleton	Q1626213		44.306111111111,-71.77
dvp_032_place_14	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_15	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_16	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_032_place_17	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_18	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_19	New Hampshire	Q759		44,-71.5
dvp_032_place_20	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_21	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_22	Cambridge	Q49111		42.375,-71.106111111111
dvp_032_place_23	Hanover	Q131908		43.7,-72.28333333333333
dvp_032_place_24	Hanover	Q131908		43.7,-72.28333333333333
dvp_032_place_25	Hanover	Q131908		43.7,-72.28333333333333
dvp_032_place_26	Choate Cluster	Q101445656		43.7073705,-72.2905446
dvp_032_place_27	Choate Road	Q105087571		
dvp_032_place_28	North Main Street	Q48789846		
dvp_032_place_29	Spain	Q29		40.2,-3.5
dvp_032_place_30	Spain	Q29		40.2,-3.5
dvp_032_place_31	Hanover	Q131908		43.7,-72.28333333333333
dvp_032_place_32	Portsmouth Naval Shipyard	Q1778836		43.078888888889,-70.734166666667
dvp_032_place_33	Hanover	Q131908		43.7,-72.28333333333333
dvp_032_place_34	Hanover	Q131908		43.7,-72.28333333333333
dvp_032_place_35	Vietnam	Q881		16,108
dvp_032_place_36	Vietnam	Q881		16,108
dvp_032_place_37	University of Salamanca	Q308963		40.9616,-5.6676
