id	placeName	QID	dvp_id	coordinate location
dvp_031_place_0	Kearny	Q776648		40.7537,-74.1209
dvp_031_place_1	Hudson County	Q490505		40.73,-74.08
dvp_031_place_2	New York City	Q60		40.67,-73.94
dvp_031_place_3	Kearny	Q776648		40.7537,-74.1209
dvp_031_place_4	Ann Arbor	Q485172		42.28138889,-83.74833333
dvp_031_place_5	New Jersey	Q1408		40,-74.5
dvp_031_place_6	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_031_place_7	Vietnam	Q881		16,108
dvp_031_place_8	Fort Holabird	Q3077889		39.26667,-76.53361
dvp_031_place_9	Baltimore	Q5092		39.286388888889,-76.615
dvp_031_place_10	United States of America	Q30		39.828175,-98.5795
dvp_031_place_11	Hopkins Center for the Arts	Q3140375		43.701666666667,-72.288611111111
dvp_031_place_12	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_031_place_13	Webster Hall	Q7978928		40.7317,-73.9892
dvp_031_place_14	Chase Field	Q104904686		43.69826,-72.27943
dvp_031_place_15	Fort Devens	Q1413867		42.545022222222,-71.613336111111
dvp_031_place_16	Cần Thơ	Q216075		10.033333333333,105.78333333333
dvp_031_place_17	Phong Dinh province	Q10805424		10.12,105.535
dvp_031_place_18	Mekong Delta	Q1052867		10.009,105.824
dvp_031_place_19	Hanover	Q131908		43.7,-72.28333333333333
dvp_031_place_20	Vietnam	Q881		16,108
dvp_031_place_21	Germany	Q183		51,10
dvp_031_place_22	Germany	Q183		51,10
dvp_031_place_23	Germany	Q183		51,10
dvp_031_place_24	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_031_place_25	Vietnam	Q881		16,108
dvp_031_place_26	Germany	Q183		51,10
dvp_031_place_27	Vietnam	Q881		16,108
dvp_031_place_28	Germany	Q183		51,10
dvp_031_place_29	United States of America	Q30		39.828175,-98.5795
dvp_031_place_30	Vietnam	Q881		16,108
dvp_031_place_31	Michigan	Q1166		44.34,-85.58
dvp_031_place_32	University of Michigan Law School	Q911830		42.274138888889,-83.739333333333
dvp_031_place_33	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_031_place_34	Indochina	Q43467		16,102
dvp_031_place_35	French Indochina	Q185682		21.033333333333,105.85
dvp_031_place_36	Vietnam	Q881		16,108
dvp_031_place_37	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_031_place_38	Vietnam	Q881		16,108
dvp_031_place_39	Vietnam	Q881		16,108
dvp_031_place_40	Vietnam	Q881		16,108
dvp_031_place_41	Fort Holabird	Q3077889		39.26667,-76.53361
dvp_031_place_42	Fort Holabird	Q3077889		39.26667,-76.53361
dvp_031_place_43	Baltimore	Q5092		39.286388888889,-76.615
dvp_031_place_44	Vietnam	Q881		16,108
dvp_031_place_45	Vietnam	Q881		16,108
dvp_031_place_46	Vietnam	Q881		16,108
dvp_031_place_47	Germany	Q183		51,10
dvp_031_place_48	Vietnam	Q881		16,108
dvp_031_place_49	Europe	Q46		46,7
dvp_031_place_50	Vietnam	Q881		16,108
dvp_031_place_51	Vietnam	Q881		16,108
dvp_031_place_52	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_031_place_53	Fort Holabird	Q3077889		39.26667,-76.53361
dvp_031_place_54	Vietnam	Q881		16,108
dvp_031_place_55	Vietnam	Q881		16,108
dvp_031_place_56	Vietnam	Q881		16,108
dvp_031_place_57	South Vietnam	Q180573		10.75,106.66666666667
dvp_031_place_58	Ho Chi Minh trail	Q695916		18.6852,104.8373
dvp_031_place_59	Vietnam	Q881		16,108
dvp_031_place_60	Vietnam	Q881		16,108
dvp_031_place_61	Vietnam	Q881		16,108
dvp_031_place_62	Vietnam	Q881		16,108
dvp_031_place_63	Vietnam	Q881		16,108
dvp_031_place_64	Vietnam	Q881		16,108
dvp_031_place_65	Vietnam	Q881		16,108
dvp_031_place_66	Vietnam	Q881		16,108
dvp_031_place_67	Vietnam	Q881		16,108
dvp_031_place_68	Vietnam	Q881		16,108
dvp_031_place_69	Vietnam	Q881		16,108
dvp_031_place_70	Vietnam	Q881		16,108
dvp_031_place_71	Vietnam	Q881		16,108
dvp_031_place_72	Bien Hoa Air Base	Q619905		10.976944444444,106.81833333333
dvp_031_place_73	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_031_place_74	II Field Force, Vietnam			
dvp_031_place_75	Biên Hòa	Q19316		10.927686,106.868067
dvp_031_place_76	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_031_place_77	National Route 1A	Q1372266		10.883036, 106.817140
dvp_031_place_78	United States of America	Q30		39.828175,-98.5795
dvp_031_place_79	Mekong Delta	Q1052867		10.009,105.824
dvp_031_place_80	Vietnam	Q881		16,108
dvp_031_place_81	South Vietnam	Q180573		10.75,106.66666666667
dvp_031_place_82	Vietnam	Q881		16,108
dvp_031_place_83	Mekong Delta	Q1052867		10.009,105.824
dvp_031_place_84	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_031_place_85	Vietnam	Q881		16,108
dvp_031_place_86	Vietnam	Q881		16,108
dvp_031_place_87	United States of America	Q30		39.828175,-98.5795
dvp_031_place_88	Mekong Delta	Q1052867		10.009,105.824
dvp_031_place_89	Cần Thơ	Q216075		10.033333333333,105.78333333333
dvp_031_place_90	Vietnam	Q881		16,108
dvp_031_place_91	Normandy	Q15878		49.1223390972,-0.4366442916666
dvp_031_place_92	Cần Thơ	Q216075		10.033333333333,105.78333333333
dvp_031_place_93	Mekong Delta	Q1052867		10.009,105.824
dvp_031_place_94	Kankakee	Q578351		41.12,-87.86
dvp_031_place_95	Gulf of Thailand	Q131217		9.5,102
dvp_031_place_96	Cambodia	Q424		12.6,105
dvp_031_place_97	Mekong Delta	Q1052867		10.009,105.824
dvp_031_place_98	Mekong Delta	Q1052867		10.009,105.824
dvp_031_place_99	Embassy of the United States, Saigon	Q894834		10.783343,106.700372
dvp_031_place_100	United States of America	Q30		39.828175,-98.5795
dvp_031_place_101	United States Capitol	Q54109		38.889802777777774,-77.00911388888889
dvp_031_place_102	United States Capitol	Q54109		38.889802777777774,-77.00911388888889
dvp_031_place_103	New Jersey	Q1408		40,-74.5
dvp_031_place_104	Princeton University	Q21578		40.345277777778,-74.656111111111
dvp_031_place_105	Nassau Hall	Q6967574		40.348739,-74.65935
dvp_031_place_106	Nassau Hall	Q6967574		40.348739,-74.65935
dvp_031_place_107	United States of America	Q30		39.828175,-98.5795
dvp_031_place_108	United States of America	Q30		39.828175,-98.5795
dvp_031_place_109	Nassau Hall	Q6967574		40.348739,-74.65935
dvp_031_place_110	Vietnam	Q881		16,108
dvp_031_place_111	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_031_place_112	Mekong Delta	Q1052867		10.009,105.824
dvp_031_place_113	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_031_place_114	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_031_place_115	Vietnam	Q881		16,108
dvp_031_place_116	United States of America	Q30		39.828175,-98.5795
dvp_031_place_117	Vietnam	Q881		16,108
dvp_031_place_118	Vietnam	Q881		16,108
dvp_031_place_119	Vietnam	Q881		16,108
dvp_031_place_120	Mekong Delta	Q1052867		10.009,105.824
dvp_031_place_121	Vietnam	Q881		16,108
dvp_031_place_122	Georgia	Q1428		33,-83.5
dvp_031_place_123	Vietnam	Q881		16,108
dvp_031_place_124	Vietnam	Q881		16,108
dvp_031_place_125	Vietnam	Q881		16,108
dvp_031_place_126	Vietnam	Q881		16,108
dvp_031_place_127	Vietnam	Q881		16,108
dvp_031_place_128	Vietnam	Q881		16,108
