id	placeName	QID	dvp_id	coordinate location
dvp_042_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_042_place_1	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_042_place_2	Sturbridge	Q3976365		42.108333333333,-72.079166666667
dvp_042_place_3	United States of America	Q30		39.828175,-98.5795
dvp_042_place_4	Southbridge	Q1114083		42.075,-72.0339
dvp_042_place_5	Detroit	Q12439		42.331666666667,-83.0475
dvp_042_place_6	Michigan	Q1166		44.34,-85.58
dvp_042_place_7	Dayton	Q34739		39.766666666667,-84.2
dvp_042_place_8	Detroit	Q12439		42.331666666667,-83.0475
dvp_042_place_9	Detroit	Q12439		42.331666666667,-83.0475
dvp_042_place_10	Massachusetts	Q771		42.3,-71.8
dvp_042_place_11	Detroit	Q12439		42.331666666667,-83.0475
dvp_042_place_12	United States of America	Q30		39.828175,-98.5795
dvp_042_place_13	United States of America	Q30		39.828175,-98.5795
dvp_042_place_14	University of Detroit Mercy	Q1320232		42.4140,-83.1379
dvp_042_place_15	Coleman A. Young International Airport	Q1657858		42.409166666667,-83.01
dvp_042_place_16	Detroit	Q12439		42.331666666667,-83.0475
dvp_042_place_17	Jackson	Q984374		42.245833333333,-84.401388888889
dvp_042_place_18	Detroit	Q12439		42.331666666667,-83.0475
dvp_042_place_19	United States of America	Q30		39.828175,-98.5795
dvp_042_place_20	United States of America	Q30		39.828175,-98.5795
dvp_042_place_21	Vietnam	Q881		16,108
dvp_042_place_22	Korea	Q18097		38.316666666667,127.23333333333
dvp_042_place_23	Detroit	Q12439		42.331666666667,-83.0475
dvp_042_place_24	Sturbridge	Q3976365		42.108333333333,-72.079166666667
dvp_042_place_25	Georgia	Q1428		33,-83.5
dvp_042_place_26	Moody Air Force Base	Q2625576		30.9678,-83.1928
dvp_042_place_27	Moody Air Force Base	Q2625576		30.9678,-83.1928
dvp_042_place_28	Valdosta	Q1010240		30.846666666667,-83.283055555556
dvp_042_place_29	Georgia	Q1428		33,-83.5
dvp_042_place_30	Georgia	Q1428		33,-83.5
dvp_042_place_31	Michigan	Q1166		44.34,-85.58
dvp_042_place_32	Moody Air Force Base	Q2625576		30.9678,-83.1928
dvp_042_place_33	Moody Air Force Base	Q2625576		30.9678,-83.1928
dvp_042_place_34	Moody Air Force Base	Q2625576		30.9678,-83.1928
dvp_042_place_35	Vietnam	Q881		16,108
dvp_042_place_36	Vietnam	Q881		16,108
dvp_042_place_37	Castle Air Force Base	Q472049		37.38048056,-120.56818889
dvp_042_place_38	California	Q99		37,-120
dvp_042_place_39	Spokane	Q187805		47.658888888889,-117.5
dvp_042_place_40	Russia	Q159		66.41666666666667,94.25
dvp_042_place_41	Fairchild Air Force Base	Q1513045		47.615,-117.656
dvp_042_place_42	Washington	Q1223		47.5,-120.5
dvp_042_place_43	Castle Air Force Base	Q472049		37.38048056,-120.56818889
dvp_042_place_44	California	Q99		37,-120
dvp_042_place_45	California	Q99		37,-120
dvp_042_place_46	Moody Air Force Base	Q2625576		30.9678,-83.1928
dvp_042_place_47	Moody Air Force Base	Q2625576		30.9678,-83.1928
dvp_042_place_48	Castle Air Force Base	Q472049		37.38048056,-120.56818889
dvp_042_place_49	California	Q99		37,-120
dvp_042_place_50	Dyess Air Force Base	Q1268666		32.4208,-99.8547
dvp_042_place_51	Dyess	Q2660569		35.590277777778,-90.214444444444
dvp_042_place_52	Castle Air Force Base	Q472049		37.38048056,-120.56818889
dvp_042_place_53	Castle Air Force Base	Q472049		37.38048056,-120.56818889
dvp_042_place_54	Castle Air Force Base	Q472049		37.38048056,-120.56818889
dvp_042_place_55	Fort Worth	Q16558		32.756388888888885,-97.3325
dvp_042_place_56	Dyess	Q2660569		35.590277777778,-90.214444444444
dvp_042_place_57	Vietnam	Q881		16,108
dvp_042_place_58	Dyess	Q2660569		35.590277777778,-90.214444444444
dvp_042_place_59	Texas	Q1439		31,-100
dvp_042_place_60	Texas	Q1439		31,-100
dvp_042_place_61	Dyess Air Force Base	Q1268666		32.4208,-99.8547
dvp_042_place_62	Vietnam	Q881		16,108
dvp_042_place_63	Andersen Air Force Base	Q491372		13.583952777778,144.930025
dvp_042_place_64	Guam	Q16635		13.5,144.8
dvp_042_place_65	Okinawa	Q328615		26.334166666667,127.80555555556
dvp_042_place_66	Thailand	Q869		14,101
dvp_042_place_67	Texas	Q1439		31,-100
dvp_042_place_68	Russia	Q159		66.41666666666667,94.25
dvp_042_place_69	Texas	Q1439		31,-100
dvp_042_place_70	Russia	Q159		66.41666666666667,94.25
dvp_042_place_71	People's Republic of China	Q148		35.844722222222224,103.45194444444445
dvp_042_place_72	North Vietnam	Q172640		21.033333,105.85
dvp_042_place_73	Russia	Q159		66.41666666666667,94.25
dvp_042_place_74	Russia	Q159		66.41666666666667,94.25
dvp_042_place_75	Dyess	Q2660569		35.590277777778,-90.214444444444
dvp_042_place_76	Vietnam	Q881		16,108
dvp_042_place_77	United States of America	Q30		39.828175,-98.5795
dvp_042_place_78	Guam	Q16635		13.5,144.8
dvp_042_place_79	Vietnam	Q881		16,108
dvp_042_place_80	Guam	Q16635		13.5,144.8
dvp_042_place_81	Vietnam	Q881		16,108
dvp_042_place_82	Guam	Q16635		13.5,144.8
dvp_042_place_83	Guam	Q16635		13.5,144.8
dvp_042_place_84	Andersen Air Force Base	Q491372		13.583952777778,144.930025
dvp_042_place_85	North Vietnam	Q172640		21.033333,105.85
dvp_042_place_86	Ho Chi Minh trail	Q695916		18.6852,104.8373
