id	orgName	QID	dvp_id
dvp_043_org_0	Dartmouth Vietnam Project	Q104889683	
dvp_043_org_1	General Electric	Q54173	
dvp_043_org_2	Dartmouth College	Q49116	
dvp_043_org_3	United States Navy	Q11220	
dvp_043_org_4	Dartmouth College	Q49116	
dvp_043_org_5	Cornell University	Q49115	
dvp_043_org_6	Dartmouth College	Q49116	
dvp_043_org_7	Tufts University	Q49120	
dvp_043_org_8	Tufts University	Q49120	
dvp_043_org_9	Dartmouth College	Q49116	
dvp_043_org_10	Cornell University	Q49115	
dvp_043_org_11	Dartmouth College	Q49116	
dvp_043_org_12	Reserve Officers' Training Corps	Q489983	
dvp_043_org_13	United States Army	Q9212	
dvp_043_org_14	Reserve Officers' Training Corps	Q489983	
dvp_043_org_15	Dartmouth College	Q49116	
dvp_043_org_16	Dartmouth College	Q49116	
dvp_043_org_17	Reserve Officers' Training Corps	Q489983	
dvp_043_org_18	United States Army Reserve	Q2036662	
dvp_043_org_19	Regular Army	Q4992216	
dvp_043_org_20	United States Military Academy	Q9219	
dvp_043_org_21	Regular Army	Q4992216	
dvp_043_org_22	United States Army	Q9212	
dvp_043_org_23	United States Army	Q9212	
dvp_043_org_24	United States Army Special Forces	Q482421	
dvp_043_org_25	United States Army	Q9212	
dvp_043_org_26	Regular Army	Q4992216	
dvp_043_org_27	Reserve Officers' Training Corps	Q489983	
dvp_043_org_28	Reserve Officers' Training Corps	Q489983	
dvp_043_org_29	Reserve Officers' Training Corps	Q489983	
dvp_043_org_30	United States Army	Q9212	
dvp_043_org_31	Reserve Officers' Training Corps	Q489983	
dvp_043_org_32	Dartmouth College	Q49116	
dvp_043_org_33	Reserve Officers' Training Corps	Q489983	
dvp_043_org_34	Reserve Officers' Training Corps	Q489983	
dvp_043_org_35	Dartmouth College	Q49116	
dvp_043_org_36	Dartmouth College	Q49116	
dvp_043_org_37	United States Army	Q9212	
dvp_043_org_38	Dartmouth College	Q49116	
dvp_043_org_39	Alpha Theta	Q4735135	
dvp_043_org_40	Club Newman	Q1449516	
dvp_043_org_41	Colby–Sawyer College	Q5142055	
dvp_043_org_42	Colby–Sawyer College	Q5142055	
dvp_043_org_43	Vassar College	Q2093794	
dvp_043_org_44	Tanzi’s [Tanzi Brother’s Store]		dvp_0207
dvp_043_org_45	Alpha Theta	Q4735135	
dvp_043_org_46	Club Newman	Q1449516	
dvp_043_org_47	Dartmouth College	Q49116	
dvp_043_org_48	Dartmouth College	Q49116	
dvp_043_org_49	Reserve Officers' Training Corps	Q489983	
dvp_043_org_50	Dartmouth College	Q49116	
dvp_043_org_51	Dartmouth College	Q49116	
dvp_043_org_52	United States Army	Q9212	
dvp_043_org_53	United States Army	Q9212	
dvp_043_org_54	United States Army	Q9212	
dvp_043_org_55	United States Army	Q9212	
dvp_043_org_56	United States Army	Q9212	
dvp_043_org_57	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_58	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_59	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_60	Army of the Republic of Vietnam	Q18917	
dvp_043_org_61	North Vietnam	Q172640	
dvp_043_org_62	North Vietnam	Q172640	
dvp_043_org_63	United States Army	Q9212	
dvp_043_org_64	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_65	People's Army of Vietnam	Q3936506	
dvp_043_org_66	United States of America	Q30	
dvp_043_org_67	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_68	North Vietnam	Q172640	
dvp_043_org_69	North Vietnam	Q172640	
dvp_043_org_70	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_71	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_72	9th Infantry Division	Q2715566	
dvp_043_org_73	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_74	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_75	United States of America	Q30	
dvp_043_org_76	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_77	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_78	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_79	Stars and Stripes	Q1813221	
dvp_043_org_80	United States Marine Corps	Q11218	
dvp_043_org_81	National Front for the Liberation of South Vietnam	Q174423	
dvp_043_org_82	United States Army	Q9212	
dvp_043_org_83	United States Army	Q9212	
dvp_043_org_84	United States Army	Q9212	
dvp_043_org_85	United States Army	Q9212	
dvp_043_org_86	United States Army	Q9212	
dvp_043_org_87	University of Texas at Austin	Q49213	
dvp_043_org_88	Texas	Q1439	
dvp_043_org_89	Texas	Q1439	
dvp_043_org_90	Students for a Democratic Society	Q2250103	
dvp_043_org_91	Johnson ministry	Q65920370	
dvp_043_org_92	University of Texas at Austin	Q49213	
dvp_043_org_93	University of Texas at Austin	Q49213	
dvp_043_org_94	University of Texas at Austin	Q49213	
dvp_043_org_95	University of Texas at Austin	Q49213	
dvp_043_org_96	National Guard of the United States	Q928670	
dvp_043_org_97	National Guard of the United States	Q928670	
dvp_043_org_98	United States Navy	Q11220	
dvp_043_org_99	Harvard University	Q13371	
dvp_043_org_100	United States Army	Q9212	
dvp_043_org_101	University of Pennsylvania	Q49117	
dvp_043_org_102	University of Pennsylvania	Q49117	
dvp_043_org_103	University of Pennsylvania	Q49117	
dvp_043_org_104	University of Texas at Austin	Q49213	
dvp_043_org_105	University of Pennsylvania	Q49117	
dvp_043_org_106	University of Pennsylvania	Q49117	
dvp_043_org_107	University of Pennsylvania	Q49117	
dvp_043_org_108	University of Pennsylvania	Q49117	
dvp_043_org_109	University of Pennsylvania	Q49117	
dvp_043_org_110	University of Pennsylvania	Q49117	
dvp_043_org_111	University of Texas at Austin	Q49213	
dvp_043_org_112	University of Pennsylvania	Q49117	
dvp_043_org_113	University of Pennsylvania	Q49117	
dvp_043_org_114	University of Pennsylvania	Q49117	
dvp_043_org_115	Rutgers University	Q499451	
dvp_043_org_116	South Vietnam	Q180573	
dvp_043_org_117	France	Q142	
