id	placeName	QID	dvp_id	coordinate location
dvp_047_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_047_place_1	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_047_place_2	Hanover	Q131908		43.7,-72.28333333333333
dvp_047_place_3	Arlington County	Q107126		38.880277777778,-77.108333333333
dvp_047_place_4	Paterson	Q138391		40.915555555556,-74.163055555556
dvp_047_place_5	Paterson	Q138391		40.915555555556,-74.163055555556
dvp_047_place_6	New Jersey	Q1408		40,-74.5
dvp_047_place_7	New Jersey	Q1408		40,-74.5
dvp_047_place_8	New York City	Q60		40.67,-73.94
dvp_047_place_9	Paterson	Q138391		40.915555555556,-74.163055555556
dvp_047_place_10	Paterson	Q138391		40.915555555556,-74.163055555556
dvp_047_place_11	Ridgewood	Q1677925		40.983888888889,-74.114444444444
dvp_047_place_12	Paterson	Q138391		40.915555555556,-74.163055555556
dvp_047_place_13	Ridgewood	Q1677925		40.983888888889,-74.114444444444
dvp_047_place_14	Ridgewood	Q1677925		40.983888888889,-74.114444444444
dvp_047_place_15	Ridgewood	Q1677925		40.983888888889,-74.114444444444
dvp_047_place_16	Netherlands	Q55		52.316666666667,5.55
dvp_047_place_17	United States of America	Q30		39.828175,-98.5795
dvp_047_place_18	Netherlands	Q55		52.316666666667,5.55
dvp_047_place_19	Paterson	Q138391		40.915555555556,-74.163055555556
dvp_047_place_20	United States of America	Q30		39.828175,-98.5795
dvp_047_place_21	New Jersey	Q1408		40,-74.5
dvp_047_place_22	United States of America	Q30		39.828175,-98.5795
dvp_047_place_23	United States of America	Q30		39.828175,-98.5795
dvp_047_place_24	Friesland	Q770		53.166667,5.669444
dvp_047_place_25	Netherlands	Q55		52.316666666667,5.55
dvp_047_place_26	New York	Q1384		43,-75
dvp_047_place_27	High Falls	Q3460901		41.8269,-74.1222
dvp_047_place_28	Ridgewood	Q1677925		40.983888888889,-74.114444444444
dvp_047_place_29	Netherlands	Q55		52.316666666667,5.55
dvp_047_place_30	Friesland	Q770		53.166667,5.669444
dvp_047_place_31	Friesland	Q770		53.166667,5.669444
dvp_047_place_32	Prospect Park	Q1084381		40.9415,-74.1744
dvp_047_place_33	Friesland	Q770		53.166667,5.669444
dvp_047_place_34	Korean Peninsula	Q483134		37.5,127
dvp_047_place_35	Korean Peninsula	Q483134		37.5,127
dvp_047_place_36	California	Q99		37,-120
dvp_047_place_37	California	Q99		37,-120
dvp_047_place_38	Dallas	Q16557		32.779166666667,-96.808888888889
dvp_047_place_39	California	Q99		37,-120
dvp_047_place_40	California	Q99		37,-120
dvp_047_place_41	Wilmington	Q174224		39.748333333333,-75.551388888889
dvp_047_place_42	California	Q99		37,-120
dvp_047_place_43	San Francisco Bay	Q232264		37.6546543,-122.2374676
dvp_047_place_44	California	Q99		37,-120
dvp_047_place_45	San Francisco Bay Area	Q213205		37.75,-122.28333333333
dvp_047_place_46	Marin County	Q108117		38.04,-122.74
dvp_047_place_47	San Francisco	Q62		37.7775,-122.41638888888889
dvp_047_place_48	Larkspur	Q984595		37.934166666667,-122.53527777778
dvp_047_place_49	San Rafael	Q631915		37.973611111111,-122.53111111111
dvp_047_place_50	New Jersey	Q1408		40,-74.5
dvp_047_place_51	New York City	Q60		40.67,-73.94
dvp_047_place_52	Ridgewood	Q1677925		40.983888888889,-74.114444444444
dvp_047_place_53	Ridgewood	Q1677925		40.983888888889,-74.114444444444
dvp_047_place_54	Friesland	Q770		53.166667,5.669444
dvp_047_place_55	Ridgewood	Q1677925		40.983888888889,-74.114444444444
dvp_047_place_56	Philmont Scout Ranch	Q7185999		36.4542,-104.956
dvp_047_place_57	Netherlands	Q55		52.316666666667,5.55
dvp_047_place_58	Vietnam	Q881		16,108
dvp_047_place_59	Mount Moosilauke	Q3321961		44.024511111111,-71.830916666667
dvp_047_place_60	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_047_place_61	Vietnam	Q881		16,108
dvp_047_place_62	Vietnam	Q881		16,108
dvp_047_place_63	Hanover	Q131908		43.7,-72.28333333333333
dvp_047_place_64	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_047_place_65	Cleveland	Q37320		41.482222222222,-81.669722222222
dvp_047_place_66	Detroit	Q12439		42.331666666667,-83.0475
dvp_047_place_67	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_047_place_68	St. Louis	Q38022		38.616666666667,-90.2
dvp_047_place_69	Chattanooga	Q186702		35.045555555556,-85.267222222222
dvp_047_place_70	Florida	Q812		28.133333333333,-81.631666666667
dvp_047_place_71	Charlotte	Q16565		35.226944444444,-80.843333333333
dvp_047_place_72	Lou's Bakery & Restaurant	Q105427593		43.7015263,-72.2891712
dvp_047_place_73	Lou's Bakery & Restaurant	Q105427593		43.7015263,-72.2891712
dvp_047_place_74	Vietnam	Q881		16,108
dvp_047_place_75	Hanover	Q131908		43.7,-72.28333333333333
dvp_047_place_76	United Kingdom	Q145		54.6,-2
dvp_047_place_77	Boston	Q100		42.358333333333,-71.0625
dvp_047_place_78	Hanover	Q131908		43.7,-72.28333333333333
dvp_047_place_79	Boston	Q100		42.358333333333,-71.0625
dvp_047_place_80	Hanover	Q131908		43.7,-72.28333333333333
dvp_047_place_81	New Orleans	Q34404		29.95465,-90.07507
dvp_047_place_82	Austin Preparatory School	Q4823244		42.5297,-71.1269
dvp_047_place_83	Boston	Q100		42.358333333333,-71.0625
dvp_047_place_84	New Hampshire	Q759		44,-71.5
dvp_047_place_85	New Hampshire	Q759		44,-71.5
dvp_047_place_86	Concord	Q28249		43.206666666667,-71.538055555556
dvp_047_place_87	New Hampshire	Q759		44,-71.5
dvp_047_place_88	New Hampshire	Q759		44,-71.5
dvp_047_place_89	New Jersey	Q1408		40,-74.5
dvp_047_place_90	New Hampshire	Q759		44,-71.5
dvp_047_place_91	Vietnam	Q881		16,108
dvp_047_place_92	Vietnam	Q881		16,108
dvp_047_place_93	Vietnam	Q881		16,108
dvp_047_place_94	Vietnam	Q881		16,108
dvp_047_place_95	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_047_place_96	Vietnam	Q881		16,108
dvp_047_place_97	Vietnam	Q881		16,108
dvp_047_place_98	Vietnam	Q881		16,108
dvp_047_place_99	Vietnam	Q881		16,108
dvp_047_place_100	Vietnam	Q881		16,108
dvp_047_place_101	Vietnam	Q881		16,108
dvp_047_place_102	Vietnam	Q881		16,108
dvp_047_place_103	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_047_place_104	Vietnam	Q881		16,108
dvp_047_place_105	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_047_place_106	Vietnam	Q881		16,108
dvp_047_place_107	Hawaii	Q68740		19.566666666667,-155.5
dvp_047_place_108	Vietnam	Q881		16,108
dvp_047_place_109	Hawaii	Q68740		19.566666666667,-155.5
dvp_047_place_110	Japan	Q17		35,136
dvp_047_place_111	Kyoto	Q34600		35.011666666667,135.76805555556
dvp_047_place_112	Ōsaka	Q35765		34.693611111111,135.50194444444
dvp_047_place_113	Taiwan	Q865		24,121
dvp_047_place_114	Taiwan	Q865		24,121
dvp_047_place_115	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_047_place_116	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_117	Vietnam	Q881		16,108
dvp_047_place_118	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_047_place_119	Vietnam	Q881		16,108
dvp_047_place_120	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_121	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_122	Phú Yên	Q36725		13.166666666667,109.16666666667
dvp_047_place_123	Nha Trang	Q19491		12.249527,109.190764
dvp_047_place_124	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_125	Oklahoma	Q1649		35.5,-98
dvp_047_place_126	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_047_place_127	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_128	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_129	National Route 1A	Q1372266		
dvp_047_place_130	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_131	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_132	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_133	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_134	Hi Sung—no			
dvp_047_place_135	Sông Cầu	Q2052825		13.454222222222223,109.22093055555555
dvp_047_place_136	Hi Sung			
dvp_047_place_137	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_138	Vietnam	Q881		16,108
dvp_047_place_139	Tripoli	Q3579		32.87519,13.18746
dvp_047_place_140	Villa at 47 Phan Thanh Gian	Q105514479		10.79097,106.69826
dvp_047_place_141	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_142	Villa at 47 Phan Thanh Gian	Q105514479		10.79097,106.69826
dvp_047_place_143	Phú Yên	Q36725		13.166666666667,109.16666666667
dvp_047_place_144	Vietnam	Q881		16,108
dvp_047_place_145	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_146	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_047_place_147	Villa at 47 Phan Thanh Gian	Q105514479		10.79097,106.69826
dvp_047_place_148	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_149	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_150	Paris	Q90		48.856944444444,2.3513888888889
dvp_047_place_151	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_152	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_153	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_154	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_155	Sông Cầu	Q2052825		13.454222222222223,109.22093055555555
dvp_047_place_156	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_157	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_158	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_159	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_160	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_161	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_162	Tan Son Nhut Air Base	Q4115006		10.818888888889,106.65194444444
dvp_047_place_163	Tan Son Nhut Air Base	Q4115006		10.818888888889,106.65194444444
dvp_047_place_164	Tuy An	Q7857222		13.304393,109.218006
dvp_047_place_165	Vietnam	Q881		16,108
dvp_047_place_166	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_047_place_167	Australia	Q408		-28,137
dvp_047_place_168	Australia	Q408		-28,137
dvp_047_place_169	Singapore	Q334		1.3,103.8
