id	orgName	QID	dvp_id
dvp_044_org_0	Dartmouth Vietnam Project	Q104889683	
dvp_044_org_1	Dartmouth College	Q49116	
dvp_044_org_2	Class of ’27		dvp_0209
dvp_044_org_3	Dartmouth College	Q49116	
dvp_044_org_4	Class of ’69		dvp_0088
dvp_044_org_5	Class of ’71		dvp_0043
dvp_044_org_6	Class of ’72		dvp_0210
dvp_044_org_7	Western Electric	Q2031258	
dvp_044_org_8	The Saturday Evening Post	Q2302345	
dvp_044_org_9	Life	Q463198	
dvp_044_org_10	Dartmouth College	Q49116	
dvp_044_org_11	Thomas Jefferson High School	Q7791260	
dvp_044_org_12	Soviet Union	Q15180	
dvp_044_org_13	Dartmouth College	Q49116	
dvp_044_org_14	Princeton University	Q21578	
dvp_044_org_15	Time	Q43297	
dvp_044_org_16	Newsweek	Q188413	
dvp_044_org_17	Time	Q43297	
dvp_044_org_18	The New York Times	Q9684	
dvp_044_org_19	Dartmouth College	Q49116	
dvp_044_org_20	Dartmouth College	Q49116	
dvp_044_org_21	Fulbright Scholarship	Q253936	
dvp_044_org_22	Fulbright Scholarship	Q253936	
dvp_044_org_23	Federal Government of the United States of America	Q48525	
dvp_044_org_24	United States Marine Corps	Q11218	
dvp_044_org_25	Soviet Union	Q15180	
dvp_044_org_26	Thomas Jefferson High School	Q7791260	
dvp_044_org_27	Topeka Public Schools	Q7824816	
dvp_044_org_28	Highland Park High School	Q5758983	
dvp_044_org_29	Stanford University	Q41506	
dvp_044_org_30	Princeton University	Q21578	
dvp_044_org_31	Duke University	Q168751	
dvp_044_org_32	Dartmouth College	Q49116	
dvp_044_org_33	Dartmouth College	Q49116	
dvp_044_org_34	Dartmouth College	Q49116	
dvp_044_org_35	Dartmouth College	Q49116	
dvp_044_org_36	Ivy League	Q49113	
dvp_044_org_37	Dartmouth College	Q49116	
dvp_044_org_38	Dartmouth College	Q49116	
dvp_044_org_39	Southern Methodist University	Q1536258	
dvp_044_org_40	Dartmouth College	Q49116	
dvp_044_org_41	Dartmouth College	Q49116	
dvp_044_org_42	Dartmouth College	Q49116	
dvp_044_org_43	Dartmouth Skiway	Q5225725	
dvp_044_org_44	Dartmouth College	Q49116	
dvp_044_org_45	Harvard University	Q13371	
dvp_044_org_46	Princeton University	Q21578	
dvp_044_org_47	Cornell University	Q49115	
dvp_044_org_48	Smith College	Q49204	
dvp_044_org_49	The Dartmouth	Q7729068	
dvp_044_org_50	Kappa Sigma	Q6367086	
dvp_044_org_51	Kappa Sigma	Q6367086	
dvp_044_org_52	Kappa Sigma	Q6367086	
dvp_044_org_53	Dartmouth College	Q49116	
dvp_044_org_54	Reserve Officers' Training Corps	Q489983	
dvp_044_org_55	Reserve Officers' Training Corps	Q489983	
dvp_044_org_56	United States Navy	Q11220	
dvp_044_org_57	Reserve Officers' Training Corps	Q489983	
dvp_044_org_58	Dartmouth College	Q49116	
dvp_044_org_59	Stanford Graduate School of Business	Q1413558	
dvp_044_org_60	Dartmouth College	Q49116	
dvp_044_org_61	Fulbright Scholarship	Q253936	
dvp_044_org_62	Stanford Graduate School of Business	Q1413558	
dvp_044_org_63	Stanford University	Q41506	
dvp_044_org_64	Stanford University	Q41506	
dvp_044_org_65	Harvard Business School	Q49126	
dvp_044_org_66	Dartmouth College	Q49116	
dvp_044_org_67	Wellesley College	Q49205	
dvp_044_org_68	Smith College	Q49204	
