id	persName
dvp_044_person_0	Josh Pearl
dvp_044_person_1	[Kenneth F.] “Ken” Meyercord
dvp_044_person_2	Ken
dvp_044_person_3	Ken
dvp_044_person_4	Ken
dvp_044_person_5	David [K. Meyercord]
dvp_044_person_6	[Andrew N.] “Andy,”
dvp_044_person_7	Philip [L.]
dvp_044_person_8	Khaldun [Meyercord]
dvp_044_person_9	Nadia [Meyercord]
dvp_044_person_10	Kennedy
dvp_044_person_11	[Alabama Governor] George [C.] Wallace [Jr.]
dvp_044_person_12	Thomas Jefferson
dvp_044_person_13	Brown
dvp_044_person_14	Martin Luther King Jr.
dvp_044_person_15	John [G.] Kemeny
dvp_044_person_16	Mirkil
dvp_044_person_17	Kemeny
dvp_044_person_18	Jacqueline [Bouvier] Kennedy
dvp_044_person_19	Kennedy
dvp_044_person_20	[William B.] “Bill” Hayden [Class of 1966]
dvp_044_person_21	[former Vice President Richard Bruce] “Dick” Cheney
dvp_044_person_22	David [V.] Harris
dvp_044_person_23	Joan [C.] Baez
dvp_044_person_24	David Harris
dvp_044_person_25	David Harris
dvp_044_person_26	President [Lyndon B.] Johnson
dvp_044_person_27	Salvador Allende
dvp_044_person_28	Maria Innes
dvp_044_person_29	Maria Innes
dvp_044_person_30	Maria Innes
dvp_044_person_31	[Ernesto] “Che” Guevara
dvp_044_person_32	David Harris
dvp_044_person_33	Frantz Fanon
dvp_044_person_34	Eugene [V.] Rostow
dvp_044_person_35	Eugene
dvp_044_person_36	Eugene
dvp_044_person_37	Walt [W.]
dvp_044_person_38	[Walt W.]
dvp_044_person_39	George [S.] McGovern
dvp_044_person_40	Johnson
dvp_044_person_41	[Richard M.] Nixon
dvp_044_person_42	David
dvp_044_person_43	Philip
dvp_044_person_44	Philip
dvp_044_person_45	David
dvp_044_person_46	Andy
dvp_044_person_47	Andy
dvp_044_person_48	Andy
dvp_044_person_49	Andy
dvp_044_person_50	[Israeli prime minister] Golda Meir
dvp_044_person_51	King Hussein
dvp_044_person_52	Samira
dvp_044_person_53	Walter [L.] Cronkite [Jr.]
dvp_044_person_54	Prince [Norodom] Sihanouk [pronouncing it see-HA-nook]
dvp_044_person_55	Prince Sihanouk
dvp_044_person_56	Henry [A.] Kissinger
dvp_044_person_57	[Thomas A.] “Tom” Lehrer
dvp_044_person_58	Henry Kissinger
dvp_044_person_59	David
dvp_044_person_60	Samira
dvp_044_person_61	[L.] Eldridge Cleaver
dvp_044_person_62	Carter
dvp_044_person_63	Carter
dvp_044_person_64	[President Gerald R.] Ford [Jr.]
dvp_044_person_65	Ford
dvp_044_person_66	Henry Kissinger
dvp_044_person_67	Kissinger
dvp_044_person_68	Nixon
dvp_044_person_69	Samira
dvp_044_person_70	Leila Khaled
dvp_044_person_71	George Habash
dvp_044_person_72	Saeb Salam
dvp_044_person_73	Sarah T[ilghman] Hughes
dvp_044_person_74	LBJ
dvp_044_person_75	Jacqueline
dvp_044_person_76	LBJ
dvp_044_person_77	Sarah T. Hughes
dvp_044_person_78	[Leon] Trotsky
dvp_044_person_79	David Harris
dvp_044_person_80	roommate [Brad Stein]
dvp_044_person_81	Carter
dvp_044_person_82	Carter
dvp_044_person_83	Ken
