id	name	QID	start time	end time	point in time
dvp_045_event_0	Normandy landings	Q16470	1944-06-06T00:00:00Z	1944-08-29T00:00:00Z	
dvp_045_event_1	Battle of the Bulge	Q151018	1944-12-16T00:00:00Z	1945-01-25T00:00:00Z	
dvp_045_event_2	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_045_event_3	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_045_event_4	Bay of Pigs invasion	Q191721	1961-04-17T00:00:00Z	1961-04-19T00:00:00Z	
dvp_045_event_5	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_045_event_6	Tet Offensive	Q82542	1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_045_event_7	Tet Offensive	Q82542	1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_045_event_8	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_045_event_9	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_045_event_10	World War I	Q361	1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
dvp_045_event_11	World War I	Q361	1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
dvp_045_event_12	World War I	Q361	1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
dvp_045_event_13	World War I	Q361	1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
dvp_045_event_14	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
