id	placeName
dvp_014_place_0	Rauner [Special Collections] Library
dvp_014_place_1	Dartmouth College
dvp_014_place_2	Hanover, New Hampshire
dvp_014_place_3	Keene, New Hampshire
dvp_014_place_4	Walpole, New Hampshire
dvp_014_place_5	Walpole
dvp_014_place_6	Tilton
dvp_014_place_7	Middlebury [College]
dvp_014_place_8	Tilton
dvp_014_place_9	Dartmouth
dvp_014_place_10	Middlebury
dvp_014_place_11	Hopkins Center [for the Arts]
dvp_014_place_12	Dartmouth
dvp_014_place_13	Dartmouth
dvp_014_place_14	Middlebury
dvp_014_place_15	Dartmouth
dvp_014_place_16	Middlebury
dvp_014_place_17	Middlebury
dvp_014_place_18	Dartmouth
dvp_014_place_19	Tilton
dvp_014_place_20	Laconia, New Hampshire
dvp_014_place_21	USA
dvp_014_place_22	New Hampshire
dvp_014_place_23	Laconia, New Hampshire
dvp_014_place_24	Middlebury
dvp_014_place_25	Lyndonville, Vermont
dvp_014_place_26	U.S.
dvp_014_place_27	Tilton
dvp_014_place_28	Middlebury
dvp_014_place_29	Middlebury
dvp_014_place_30	Tilton
dvp_014_place_31	Laconia
dvp_014_place_32	Middlebury
dvp_014_place_33	Middlebury
dvp_014_place_34	Middlebury
dvp_014_place_35	Alaska
dvp_014_place_36	[Fort] Indiantown Gap, Pennsylvania
dvp_014_place_37	Fort Benning, Georgia
dvp_014_place_38	West Point
dvp_014_place_39	VMI
dvp_014_place_40	Vietnam
dvp_014_place_41	Middlebury
dvp_014_place_42	Fort Benning
dvp_014_place_43	Olson Hall
dvp_014_place_44	West Point
dvp_014_place_45	Fort Benning
dvp_014_place_46	Fort Polk, Louisiana
dvp_014_place_47	Vietnam
dvp_014_place_48	Alaska
dvp_014_place_49	Fort Benning
dvp_014_place_50	Washington, D.C.
dvp_014_place_51	Alaska
dvp_014_place_52	Biathlon Training Center
dvp_014_place_53	Alaska
dvp_014_place_54	Vietnam
dvp_014_place_55	Vietnam
dvp_014_place_56	Vietnam
dvp_014_place_57	Elmendorf Air Force Base
dvp_014_place_58	Alaska
dvp_014_place_59	Saigon
dvp_014_place_60	Tan Son Nhut [Air Base]
dvp_014_place_61	Vietnam
dvp_014_place_62	Anchorage
dvp_014_place_63	Japan
dvp_014_place_64	Vietnam
dvp_014_place_65	U.S.
dvp_014_place_66	Alaska
dvp_014_place_67	Alaska
dvp_014_place_68	Vietnam
dvp_014_place_69	Alaska
dvp_014_place_70	Fort Richardson
dvp_014_place_71	Vietnam
dvp_014_place_72	Alaska
dvp_014_place_73	Alaska
dvp_014_place_74	Vietnam
dvp_014_place_75	Vietnam
dvp_014_place_76	Vietnam
dvp_014_place_77	States
dvp_014_place_78	Vietnam
dvp_014_place_79	Alaska
dvp_014_place_80	Alaska
dvp_014_place_81	Biathlon Training Center
dvp_014_place_82	Vietnam
dvp_014_place_83	Vietnam
dvp_014_place_84	Vietnam
dvp_014_place_85	Vietnam
dvp_014_place_86	[Mekong] Delta
dvp_014_place_87	South Vietnam
dvp_014_place_88	South Vietnam
dvp_014_place_89	Phong Dinh Province
dvp_014_place_90	Phong Dinh Province
dvp_014_place_91	Ton Phuoc Hung
dvp_014_place_92	Tom Phuoc Hung
dvp_014_place_93	Araska
dvp_014_place_94	Alaska
dvp_014_place_95	Tan Phuoc Hung
dvp_014_place_96	Mekong
dvp_014_place_97	Phung Hiep
dvp_014_place_98	Saigon
dvp_014_place_99	Ho Chi Minh City
dvp_014_place_100	Can Tho
dvp_014_place_101	Mekong Delta
dvp_014_place_102	Can Tho
dvp_014_place_103	Phong Hiep
dvp_014_place_104	Tan Phuoc Hung
dvp_014_place_105	Long Mỹ
dvp_014_place_106	Can Tho
dvp_014_place_107	Saigon
dvp_014_place_108	Hồ Chí Minh trail
dvp_014_place_109	Hồ Chí Minh trail
