id	orgName	QID	dvp_id
dvp_050_org_0	Dartmouth	Q49116	
dvp_050_org_1	Dartmouth	Q49116	
dvp_050_org_2	Dartmouth	Q49116	
dvp_050_org_3	Warner Bros.	Q126399	
dvp_050_org_4	Dartmouth	Q49116	
dvp_050_org_5	Dartmouth	Q49116	
dvp_050_org_6	Harvard [University]	Q13371	
dvp_050_org_7	Yale [University]	Q49112	
dvp_050_org_8	Dartmouth	Q49116	
dvp_050_org_9	Dartmouth	Q49116	
dvp_050_org_10	Princeton University	Q21578	
dvp_050_org_11	Dartmouth	Q49116	
dvp_050_org_12	Dartmouth	Q49116	
dvp_050_org_13	Class of 1929		dvp_0066
dvp_050_org_14	Pennsylvania Medical Society	Q7164005	
dvp_050_org_15	Dartmouth	Q49116	
dvp_050_org_16	Dartmouth	Q49116	
dvp_050_org_17	Dartmouth	Q49116	
dvp_050_org_18	’55		dvp_0171
dvp_050_org_19	Dartmouth	Q49116	
dvp_050_org_20	Dartmouth	Q49116	
dvp_050_org_21	Dartmouth	Q49116	
dvp_050_org_22	New Castle Junior/Senior High School	Q7006431	
dvp_050_org_23	Dartmouth	Q49116	
dvp_050_org_24	Tau Epsilon Phi	Q7688615	
dvp_050_org_25	Dartmouth	Q49116	
dvp_050_org_26	Dartmouth	Q49116	
dvp_050_org_27	Dartmouth	Q49116	
dvp_050_org_28	Dartmouth	Q49116	
dvp_050_org_29	TEP	Q7688615	
dvp_050_org_30	University of Pittsburgh	Q235034	
dvp_050_org_31	University of Pittsburgh	Q235034	
dvp_050_org_32	Dartmouth	Q49116	
dvp_050_org_33	University of Pittsburgh	Q235034	
dvp_050_org_34	University of Pittsburgh	Q235034	
dvp_050_org_35	AOA [Alpha Omega Alpha]	Q4735087	
dvp_050_org_36	Mount Sinai [Hospital, now Mount Sinai Health System]	Q1476505	
dvp_050_org_37	Sinai	Q1476505	
dvp_050_org_38	Columbia Presbyterian [Hospital, now NewYork-Presbyterian/Columbia University Medical Center]	Q975653	
dvp_050_org_39	Dartmouth	Q49116	
dvp_050_org_40	Wellesley [College]	Q49205	
dvp_050_org_41	Nautilus Hotel [now Nautilus South Beach]		
dvp_050_org_42	Wellesley	Q49205	
dvp_050_org_43	ROTC [in the Reserve Officers’ Training Corps]	Q489983	
dvp_050_org_44	Columbia	Q49088	
dvp_050_org_45	ROTC	Q489983	
dvp_050_org_46	12th Evac[uation Hospital]	Q104883008	
dvp_050_org_47	12th Evac Hospital	Q104883008	
dvp_050_org_48	21st Evacuation Hospital	Q105569159	
dvp_050_org_49	12th Evac	Q104883008	
dvp_050_org_50	the 6th Convalescent Center		
dvp_050_org_51	Army	Q9212	
dvp_050_org_52	United States Army	Q9212	
dvp_050_org_53	Army	Q9212	
dvp_050_org_54	Army	Q9212	
dvp_050_org_55	12th Evac	Q104883008	
dvp_050_org_56	Viet Cong	Q174423	
dvp_050_org_57	Red Cross	Q470110	
dvp_050_org_58	12th Evac	Q104883008	
dvp_050_org_59	6th Surgical Hospital		
dvp_050_org_60	Valley Forge [Army Hospital, now Valley Forge General Hospital]	Q7912062	
dvp_050_org_61	Viet Cong	Q174423	
dvp_050_org_62	Columbia Presbyterian	Q975653	
dvp_050_org_63	Army	Q9212	
dvp_050_org_64	Columbia	Q49088	
dvp_050_org_65	Columbia	Q49088	
dvp_050_org_66	Americans	Q11211	
dvp_050_org_67	Chinese	Q16189636	
dvp_050_org_68	Chinese	Q16189636	
dvp_050_org_69	America		
dvp_050_org_70	Americans	Q11211	
dvp_050_org_71	Marine	Q11218	
dvp_050_org_72	VA [U.S. Department of Veterans Affairs, also known as the Veterans Administration]	Q592576	
dvp_050_org_73	Army	Q9212	
dvp_050_org_74	The New York Times	Q9684	
