id	placeName	QID	dvp_id	coordinate location
dvp_015_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_015_place_1	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_2	First Ward		dvp_0176	42.8667, -78.8623
dvp_015_place_3	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_4	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_5	Great Lakes	Q7347		45.75,-84
dvp_015_place_6	Pillsbury Flour Mill			
dvp_015_place_7	First Ward		dvp_0176	42.8667, -78.8623
dvp_015_place_8	South Buffalo	Q7566450		42.847,-78.824
dvp_015_place_9	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_10	South Buffalo	Q7566450		42.847,-78.824
dvp_015_place_11	United States of America	Q30		39.828175,-98.5795
dvp_015_place_12	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_13	South Buffalo	Q7566450		42.847,-78.824
dvp_015_place_14	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_15	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_16	First Ward		dvp_0176	
dvp_015_place_17	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_18	Republic [Steel]			
dvp_015_place_19	Bethlehem Steel [Corporation]			
dvp_015_place_20	Bethlehem Steel			
dvp_015_place_21	Lake Erie	Q5492		42.149115,-81.24101
dvp_015_place_22	Hermosillo Stamping & Assembly	Q5742089		29.01361111,-110.91694444
dvp_015_place_23	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_24	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_25	South Buffalo	Q7566450		42.847,-78.824
dvp_015_place_26	Ridgewood Road		dvp_0177	42.8388256,-78.8200476
dvp_015_place_27	First Ward		dvp_0176	42.8667, -78.8623
dvp_015_place_28	First Ward		dvp_0176	42.8667, -78.8623
dvp_015_place_29	South Buffalo	Q7566450		42.847,-78.824
dvp_015_place_30	United States of America	Q30		39.828175,-98.5795
dvp_015_place_31	Georgia	Q1428		33,-83.5
dvp_015_place_32	Philippines	Q928		12,123
dvp_015_place_33	Philippines	Q928		12,123
dvp_015_place_34	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_35	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_36	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_37	Canisius High School	Q5032454		42.9164,-78.8697
dvp_015_place_38	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_39	United States of America	Q30		39.828175,-98.5795
dvp_015_place_40	South Buffalo	Q7566450		42.847,-78.824
dvp_015_place_41	South Boston	Q1759693		42.28582,-71.12909
dvp_015_place_42	United States of America	Q30		39.828175,-98.5795
dvp_015_place_43	Vietnam	Q881		16,108
dvp_015_place_44	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_45	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_015_place_46	United States of America	Q30		39.828175,-98.5795
dvp_015_place_47	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_48	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_015_place_49	Vietnam	Q881		16,108
dvp_015_place_50	United States of America	Q30		39.828175,-98.5795
dvp_015_place_51	Vietnam	Q881		16,108
dvp_015_place_52	France	Q142		47,2
dvp_015_place_53	Điện Biên Phủ	Q36027		21.383333333333,103.01694444444
