id	persName
dvp_046_person_0	Anne Reed-Weston
dvp_046_person_1	Bruce Pacht
dvp_046_person_2	Victor Bruce Pacht
dvp_046_person_3	Bruce Pacht
dvp_046_person_4	Harold Pacht
dvp_046_person_5	Jeanette Pacht
dvp_046_person_6	Harold
dvp_046_person_7	Jeanette
dvp_046_person_8	Michael [Pacht]
dvp_046_person_9	Bob Dylan
dvp_046_person_10	Joan Baez
dvp_046_person_11	[Robert B.] Bob Reich
dvp_046_person_12	Bob Reich
dvp_046_person_13	[President William J.] Bill Clinton
dvp_046_person_14	Clinton
dvp_046_person_15	Reich
dvp_046_person_16	Clinton
dvp_046_person_17	Bob
dvp_046_person_18	Bill
dvp_046_person_19	Bob Blackman
dvp_046_person_20	[Lawrence] Larry Harvey
dvp_046_person_21	David Sices
dvp_046_person_22	[Richard E.] Dick Gregerson
dvp_046_person_23	Larry Harvey
dvp_046_person_24	Dick Gregerson
dvp_046_person_25	Gregerson
dvp_046_person_26	Dick
dvp_046_person_27	Paul Bunyan
dvp_046_person_28	[David H.] Dave Green
dvp_046_person_29	[Donald E.] Don Miller
dvp_046_person_30	Nelson Mandela
dvp_046_person_31	David [H.] Guest
dvp_046_person_32	[Edward M.] Ed Levin
dvp_046_person_33	[Robert G.] Rob Nichols
dvp_046_person_34	Rob
dvp_046_person_35	Ed
dvp_046_person_36	Odessa [Piper]
dvp_046_person_37	Carol [Pacht]
dvp_046_person_38	Jake
dvp_046_person_39	Andrew Leddy
dvp_046_person_40	Ed
dvp_046_person_41	Rob
dvp_046_person_42	Jake
dvp_046_person_43	Carol
dvp_046_person_44	Carol
dvp_046_person_45	Jake
dvp_046_person_46	Jesse
dvp_046_person_47	Carol
dvp_046_person_48	Orin [Pacht]
dvp_046_person_49	Asher [Pacht]
dvp_046_person_50	Asher
dvp_046_person_51	Murray Bookchin
dvp_046_person_52	Carol
dvp_046_person_53	Carol
dvp_046_person_54	Rudy Pacht
dvp_046_person_55	Rudy
dvp_046_person_56	Jerry [J.] Zaks
dvp_046_person_57	Jerry
dvp_046_person_58	Jerry
dvp_046_person_59	Jerry
dvp_046_person_60	Mao [Zedong]
dvp_046_person_61	Confucius
dvp_046_person_62	Mao
dvp_046_person_63	Norman
dvp_046_person_64	John
dvp_046_person_65	David [F.] DeSante
dvp_046_person_66	Frank [A.] Mwine
dvp_046_person_67	[Samuel D.] Sammy Ostrow
dvp_046_person_68	Nixon
dvp_046_person_69	Nixon
dvp_046_person_70	[Anwar El] Sadat
dvp_046_person_71	[David] Ben-Gurion
dvp_046_person_72	Ben-Gurion
dvp_046_person_73	Golda Meir
dvp_046_person_74	Lori [Fortini]
dvp_046_person_75	Carol
dvp_046_person_76	Ed
dvp_046_person_77	Ed Levin
dvp_046_person_78	Carol
dvp_046_person_79	Ed
dvp_046_person_80	Carol
dvp_046_person_81	Ed
dvp_046_person_82	Jake
dvp_046_person_83	Ed
dvp_046_person_84	Carol
dvp_046_person_85	George Papademas
dvp_046_person_86	George
dvp_046_person_87	Carol
dvp_046_person_88	Carol’s
dvp_046_person_89	Ed
dvp_046_person_90	Carol
dvp_046_person_91	Carol
dvp_046_person_92	Don
dvp_046_person_93	Carol
dvp_046_person_94	Ed
dvp_046_person_95	Ingmar Bergman
dvp_046_person_96	Bergman
dvp_046_person_97	Don
dvp_046_person_98	Carol
dvp_046_person_99	Jesse
dvp_046_person_100	David
dvp_046_person_101	Lori
dvp_046_person_102	Thaddeus Seymour
dvp_046_person_103	[Waldo (Spike)] Chamberlain
dvp_046_person_104	Spike, Spike Chamberlain
dvp_046_person_105	[William A.] Bill Baker
dvp_046_person_106	Bill Baker
dvp_046_person_107	Don Miller
dvp_046_person_108	Don
dvp_046_person_109	Jake
dvp_046_person_110	Don
dvp_046_person_111	Don
dvp_046_person_112	Don
dvp_046_person_113	Bill Baker
dvp_046_person_114	Bill
dvp_046_person_115	Jonathan
dvp_046_person_116	Jonathan
dvp_046_person_117	[Dartmouth president John Sloan] Dickey
dvp_046_person_118	[Governor Walter R.] Peterson’s
dvp_046_person_119	Bill
dvp_046_person_120	[President John G.] Kemeny
dvp_046_person_121	[Philip J.] Hanlon
dvp_046_person_122	Hanlon
dvp_046_person_123	Phil
dvp_046_person_124	Kemeny
dvp_046_person_125	Phil
dvp_046_person_126	Kemeny
dvp_046_person_127	John Sloan
dvp_046_person_128	Peterson
dvp_046_person_129	Dave Green
dvp_046_person_130	Dean Seymour
dvp_046_person_131	Dickey
dvp_046_person_132	Kemeny
dvp_046_person_133	James O. [James Oliver Freedman]
dvp_046_person_134	Freedman
dvp_046_person_135	Hanlon’s
dvp_046_person_136	Don
dvp_046_person_137	Carol
dvp_046_person_138	Carol
dvp_046_person_139	Jesse
dvp_046_person_140	Bruce
dvp_046_person_141	Lori
dvp_046_person_142	Lori
dvp_046_person_143	Lori
dvp_046_person_144	Lori
dvp_046_person_145	Lori
dvp_046_person_146	Jesse
dvp_046_person_147	Jesse
dvp_046_person_148	Carol
dvp_046_person_149	Odessa
dvp_046_person_150	Esther
dvp_046_person_151	Ann
dvp_046_person_152	Jake
dvp_046_person_153	Ed
dvp_046_person_154	Rob
dvp_046_person_155	Shirley
dvp_046_person_156	Carol
dvp_046_person_157	Carol
dvp_046_person_158	Orin
dvp_046_person_159	Jesse
dvp_046_person_160	May
dvp_046_person_161	Carol
dvp_046_person_162	Craig Benson
dvp_046_person_163	John [H.] Vogle [Jr.]
dvp_046_person_164	Lori
