id	placeName	QID	dvp_id	coordinate location
dvp_049_place_0	Los Angeles	Q65		34.05223,-118.24368
dvp_049_place_1	Los Angeles	Q65		34.05223,-118.24368
dvp_049_place_2	United States of America	Q30		39.828175,-98.5795
dvp_049_place_3	United States of America	Q30		39.828175,-98.5795
dvp_049_place_4	California	Q99		37,-120
dvp_049_place_5	California	Q99		37,-120
dvp_049_place_6	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_049_place_7	The Green	Q7738117		43.7033,-72.2886
dvp_049_place_8	The Green	Q7738117		43.7033,-72.2886
dvp_049_place_9	California	Q99		37,-120
dvp_049_place_10	Hanover	Q131908		43.7,-72.28333333333333
dvp_049_place_11	United States of America	Q30		39.828175,-98.5795
dvp_049_place_12	Los Angeles	Q65		34.05223,-118.24368
dvp_049_place_13	New Hampshire	Q759		44,-71.5
dvp_049_place_14	Los Angeles	Q65		34.05223,-118.24368
dvp_049_place_15	United States of America	Q30		39.828175,-98.5795
dvp_049_place_16	Hanover	Q131908		43.7,-72.28333333333333
dvp_049_place_17	Arizona	Q816		34.286667,-111.656944
dvp_049_place_18	Los Angeles	Q65		34.05223,-118.24368
dvp_049_place_19	Arizona	Q816		34.286667,-111.656944
dvp_049_place_20	Vietnam	Q881		16,108
dvp_049_place_21	Vietnam	Q881		16,108
dvp_049_place_22	United States of America	Q30		39.828175,-98.5795
dvp_049_place_23	Vietnam	Q881		16,108
dvp_049_place_24	United States of America	Q30		39.828175,-98.5795
dvp_049_place_25	Los Angeles	Q65		34.05223,-118.24368
dvp_049_place_26	Hanover	Q131908		43.7,-72.28333333333333
dvp_049_place_27	Los Angeles	Q65		34.05223,-118.24368
dvp_049_place_28	Watts	Q1687279		33.941666666667,-118.24166666667
dvp_049_place_29	South Los Angeles	Q587064		33.982,-118.24
dvp_049_place_30	California	Q99		37,-120
dvp_049_place_31	University of Southern California	Q4614		34.021667,-118.285278
dvp_049_place_32	United States of America	Q30		39.828175,-98.5795
dvp_049_place_33	United States of America	Q30		39.828175,-98.5795
dvp_049_place_34	United States of America	Q30		39.828175,-98.5795
dvp_049_place_35	Webster Avenue	Q105454005		43.70652,-72.29225
dvp_049_place_36	United States of America	Q30		39.828175,-98.5795
dvp_049_place_37	United States of America	Q30		39.828175,-98.5795
dvp_049_place_38	Connecticut	Q779		41.6,-72.7
dvp_049_place_39	Watts	Q1687279		33.941666666667,-118.24166666667
dvp_049_place_40	Alabama	Q173		32.7,-86.7
dvp_049_place_41	Talladega	Q79975		33.434728,-86.101299
dvp_049_place_42	Watts	Q1687279		33.941666666667,-118.24166666667
dvp_049_place_43	Talladega	Q79975		33.434728,-86.101299
dvp_049_place_44	Collis Center for Student Involvement	Q100725367		43.70277,-72.28991
dvp_049_place_45	Collis Center for Student Involvement	Q100725367		43.70277,-72.28991
dvp_049_place_46	Collis Center for Student Involvement	Q100725367		43.70277,-72.28991
dvp_049_place_47	Talladega College	Q7680006		33.4321,-86.1133
dvp_049_place_48	Tennessee	Q1509		36,-86
dvp_049_place_49	Vermont	Q16551		44,-72.7
dvp_049_place_50	Choate Rosemary Hall	Q5103452		41.4577,-72.8097
dvp_049_place_51	Talladega	Q79975		33.434728,-86.101299
dvp_049_place_52	Alabama	Q173		32.7,-86.7
