id	orgName
dvp_056_org_0	U.S. Army Medical Corps
dvp_056_org_1	Iowa State University
dvp_056_org_2	Army
dvp_056_org_3	Army
dvp_056_org_4	Navy ROTC [Reserve Officers’ Training Corps]
dvp_056_org_5	Iowa State
dvp_056_org_6	Navy ROTC
dvp_056_org_7	Dartmouth
dvp_056_org_8	Navy ROTC
dvp_056_org_9	Dartmouth
dvp_056_org_10	Iowa State [University]
dvp_056_org_11	Dartmouth
dvp_056_org_12	Dartmouth
dvp_056_org_13	Dartmouth
dvp_056_org_14	Dartmouth
dvp_056_org_15	Dartmouth
dvp_056_org_16	[University of] Michigan
dvp_056_org_17	Dartmouth
dvp_056_org_18	Duke [University]
dvp_056_org_19	Iowa State
dvp_056_org_20	Dartmouth
dvp_056_org_21	Michigan
dvp_056_org_22	Michigan
dvp_056_org_23	Dartmouth
dvp_056_org_24	Dartmouth
dvp_056_org_25	Navy ROTC
dvp_056_org_26	Navy
dvp_056_org_27	Dartmouth
dvp_056_org_28	Michigan
dvp_056_org_29	Dartmouth
dvp_056_org_30	Union Pacific [Railroad]
dvp_056_org_31	New York Central [Railroad]
dvp_056_org_32	Dartmouth
dvp_056_org_33	Dartmouth
dvp_056_org_34	Navy
dvp_056_org_35	Navy
dvp_056_org_36	Dartmouth
dvp_056_org_37	Kap Sig [Kappa Sigma, now Chi Gamma Epsilon]
dvp_056_org_38	Dartmouth
dvp_056_org_39	ROTC
dvp_056_org_40	Dartmouth
dvp_056_org_41	Navy
dvp_056_org_42	Navy
dvp_056_org_43	Navy
dvp_056_org_44	Navy
dvp_056_org_45	Dartmouth
dvp_056_org_46	Navy ROTC
dvp_056_org_47	Army
dvp_056_org_48	Navy
dvp_056_org_49	Navy ROTC
dvp_056_org_50	ROTC
dvp_056_org_51	Navy
dvp_056_org_52	Dartmouth
dvp_056_org_53	Dartmouth
dvp_056_org_54	ROTC
dvp_056_org_55	Naval Academy
dvp_056_org_56	Naval Academy
dvp_056_org_57	Marine
dvp_056_org_58	ROTC
dvp_056_org_59	Marine
dvp_056_org_60	Dartmouth
dvp_056_org_61	Tuck [School of Business]
dvp_056_org_62	ROTC
dvp_056_org_63	ROTC
dvp_056_org_64	Tuck
dvp_056_org_65	Dartmouth
dvp_056_org_66	Tuck
dvp_056_org_67	Dartmouth
dvp_056_org_68	Yale [University]
dvp_056_org_69	Yale
dvp_056_org_70	Tuck
dvp_056_org_71	Navy ROTC
dvp_056_org_72	Tuck
dvp_056_org_73	Tuck School
dvp_056_org_74	Smith [College]
dvp_056_org_75	ROTC
dvp_056_org_76	ROTC
dvp_056_org_77	Dartmouth
dvp_056_org_78	Chase [Manhattan] Bank [now JPMorgan Chase Bank, N.A.]
dvp_056_org_79	Chase Bank
dvp_056_org_80	Navy
dvp_056_org_81	Navy
dvp_056_org_82	USS Arneb
dvp_056_org_83	Arneb
dvp_056_org_84	Navy
dvp_056_org_85	Navy
dvp_056_org_86	Navy
dvp_056_org_87	Navy
dvp_056_org_88	Navy
dvp_056_org_89	Arneb
dvp_056_org_90	[USS] Goldsborough
dvp_056_org_91	Goldsborough
dvp_056_org_92	North Vietnamese
dvp_056_org_93	Goldsborough
dvp_056_org_94	Army
dvp_056_org_95	Goldsborough
dvp_056_org_96	USS Force
dvp_056_org_97	USS Pueblo
dvp_056_org_98	Pueblo
dvp_056_org_99	Navy
dvp_056_org_100	USS Goldsborough
dvp_056_org_101	Navy
dvp_056_org_102	Arneb
dvp_056_org_103	Goldsborough
dvp_056_org_104	[USS] Oklahoma City
dvp_056_org_105	Navy
dvp_056_org_106	Navy
dvp_056_org_107	Dartmouth
dvp_056_org_108	Oklahoma City
dvp_056_org_109	Oklahoma City
dvp_056_org_110	Oklahoma City
dvp_056_org_111	ROTC
dvp_056_org_112	Dartmouth
dvp_056_org_113	Class of ’66
dvp_056_org_114	SEAL [Sea, Air and Land]
dvp_056_org_115	SEAL
dvp_056_org_116	SEAL
dvp_056_org_117	Viet Cong
dvp_056_org_118	Pentagon
dvp_056_org_119	Pentagon
dvp_056_org_120	Viet Cong
dvp_056_org_121	Navy
dvp_056_org_122	Navy
dvp_056_org_123	Navy
dvp_056_org_124	[USS] Force
dvp_056_org_125	Navy
dvp_056_org_126	Navy
dvp_056_org_127	Force
dvp_056_org_128	Goldsborough
dvp_056_org_129	Navy
dvp_056_org_130	Pentagon
dvp_056_org_131	Navy
dvp_056_org_132	Air Force
dvp_056_org_133	Air Force
dvp_056_org_134	Air Force
dvp_056_org_135	Air Force
dvp_056_org_136	Air Force
dvp_056_org_137	Air Force
dvp_056_org_138	Navy
dvp_056_org_139	Navy
dvp_056_org_140	University of Hawaii
dvp_056_org_141	Tuck
dvp_056_org_142	Harvard [University]
dvp_056_org_143	Stanford [University]
dvp_056_org_144	University of Hawaii
dvp_056_org_145	University of Hawaii
dvp_056_org_146	Harvard
dvp_056_org_147	Harvard
dvp_056_org_148	Creare [pronounced cree-AHR-ee]
dvp_056_org_149	Navy
dvp_056_org_150	Navy
dvp_056_org_151	Navy
dvp_056_org_152	Navy
dvp_056_org_153	Navy
dvp_056_org_154	Austin College
