id	persName
dvp_056_person_0	Ellen Li
dvp_056_person_1	Joseph [C.] Picken [III]
dvp_056_person_2	Dr. Joseph [C.] Picken [Jr.]
dvp_056_person_3	Dorothy Parrish Picken
dvp_056_person_4	[Presidential candidate Dwight D.] Eisenhower
dvp_056_person_5	Eisenhower
dvp_056_person_6	General Eisenhower
dvp_056_person_7	[Antone L., II] “Tony” Lott [Class of 1964]
dvp_056_person_8	Tony
dvp_056_person_9	[director John A.] Belushi
dvp_056_person_10	Tony Lott
dvp_056_person_11	[David L.] Wagner [Class of 1965, Tuck 1966]
dvp_056_person_12	Kurt [D.] Findeisen [Class of 1965]
dvp_056_person_13	Findeisen
dvp_056_person_14	Findeisen
dvp_056_person_15	David [L.] Nicholas
dvp_056_person_16	Dave
dvp_056_person_17	Dave Nicholas
dvp_056_person_18	[J.] Brian Quinn
dvp_056_person_19	[Robert M.] “Bob” Gates
dvp_056_person_20	John F. Kennedy
dvp_056_person_21	Johnson
dvp_056_person_22	Johnson
dvp_056_person_23	Kennedy
dvp_056_person_24	Kennedy
dvp_056_person_25	JFK
dvp_056_person_26	[President Harry S.] Truman
dvp_056_person_27	[Franklin D.] Roosevelt
dvp_056_person_28	Eisenhower
dvp_056_person_29	[Donald J.] Trump
dvp_056_person_30	Hillary [Rodham] Clinton
