id	placeName	QID	dvp_id	coordinate location
dvp_055_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_055_place_1	Hanover	Q131908		43.7,-72.28333333333333
dvp_055_place_2	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_055_place_3	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_055_place_4	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_055_place_5	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_055_place_6	Maryland	Q1391		39,-76.7
dvp_055_place_7	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_055_place_8	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_055_place_9	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_055_place_10	Russia	Q159		66.41666666666667,94.25
dvp_055_place_11	Russia	Q159		66.41666666666667,94.25
dvp_055_place_12	New York City	Q60		40.67,-73.94
dvp_055_place_13	Long Beach	Q16739		33.768321,-118.1956168
dvp_055_place_14	Long Island	Q18438		40.805805,-73.253616
dvp_055_place_15	Brooklyn	Q18419		40.692777777778,-73.990277777778
dvp_055_place_16	Brooklyn	Q18419		40.692777777778,-73.990277777778
dvp_055_place_17	Vietnam	Q881		16,108
dvp_055_place_18	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_055_place_19	New York City	Q60		40.67,-73.94
dvp_055_place_20	New York City	Q60		40.67,-73.94
dvp_055_place_21	United States of America	Q30		39.828175,-98.5795
dvp_055_place_22	United States of America	Q30		39.828175,-98.5795
dvp_055_place_23	United States of America	Q30		39.828175,-98.5795
dvp_055_place_24	Vietnam	Q881		16,108
dvp_055_place_25	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_055_place_26	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_055_place_27	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_055_place_28	Vietnam	Q881		16,108
dvp_055_place_29	Vietnam	Q881		16,108
dvp_055_place_30	California	Q99		37,-120
dvp_055_place_31	California	Q99		37,-120
dvp_055_place_32	Vietnam	Q881		16,108
dvp_055_place_33	New Hampshire	Q759		44,-71.5
dvp_055_place_34	Israel	Q801		31,35
dvp_055_place_35	El Salvador	Q792		13.668889,-88.866111
dvp_055_place_36	El Salvador	Q792		13.668889,-88.866111
dvp_055_place_37	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_055_place_38	Israel	Q801		31,35
dvp_055_place_39	El Salvador	Q792		13.668889,-88.866111
dvp_055_place_40	France	Q142		47,2
dvp_055_place_41	Israel	Q801		31,35
dvp_055_place_42	Israel	Q801		31,35
dvp_055_place_43	Israel	Q801		31,35
dvp_055_place_44	Israel	Q801		31,35
dvp_055_place_45	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_055_place_46	Israel	Q801		31,35
dvp_055_place_47	Auschwitz-Birkenau	Q7341		50.0262,19.2041
dvp_055_place_48	United States of America	Q30		39.828175,-98.5795
dvp_055_place_49	Israel	Q801		31,35
dvp_055_place_50	Israel	Q801		31,35
dvp_055_place_51	Israel	Q801		31,35
dvp_055_place_52	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_055_place_53	Hanover	Q131908		43.7,-72.28333333333333
dvp_055_place_54	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_055_place_55	United States of America	Q30		39.828175,-98.5795
dvp_055_place_56	Israel	Q801		31,35
dvp_055_place_57	Hopkins Center for the Arts	Q3140375		43.701666666667,-72.288611111111
dvp_055_place_58	Hopkins Center for the Arts	Q3140375		43.701666666667,-72.288611111111
dvp_055_place_59	Vietnam	Q881		16,108
dvp_055_place_60	Vietnam	Q881		16,108
dvp_055_place_61	Hopkins Center for the Arts	Q3140375		43.701666666667,-72.288611111111
dvp_055_place_62	Hopkins Center for the Arts	Q3140375		43.701666666667,-72.288611111111
dvp_055_place_63	Boston	Q100		42.358333333333,-71.0625
dvp_055_place_64	Hopkins Center for the Arts	Q3140375		43.701666666667,-72.288611111111
dvp_055_place_65	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_055_place_66	Boston University	Q49110		42.3496,-71.0997
dvp_055_place_67	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_055_place_68	Vietnam	Q881		16,108
dvp_055_place_69	Vietnam	Q881		16,108
dvp_055_place_70	France	Q142		47,2
dvp_055_place_71	France	Q142		47,2
dvp_055_place_72	Bourges	Q132404		47.083611111111,2.3955555555556
dvp_055_place_73	Israel	Q801		31,35
dvp_055_place_74	England	Q21		53,-1
dvp_055_place_75	Vietnam	Q881		16,108
dvp_055_place_76	San Diego	Q16552		32.715,-117.1625
dvp_055_place_77	San Diego	Q16552		32.715,-117.1625
dvp_055_place_78	San Diego	Q16552		32.715,-117.1625
dvp_055_place_79	San Diego	Q16552		32.715,-117.1625
dvp_055_place_80	Vietnam	Q881		16,108
dvp_055_place_81	Vietnam	Q881		16,108
dvp_055_place_82	San Diego	Q16552		32.715,-117.1625
