id	name
dvp_200_event_0	World War II
dvp_200_event_1	war
dvp_200_event_2	war
dvp_200_event_3	war
dvp_200_event_4	World War II
dvp_200_event_5	invasion of Poland
dvp_200_event_6	World War II
dvp_200_event_7	Cold War
dvp_200_event_8	McCarthy era
dvp_200_event_9	Cold War
dvp_200_event_10	Cold War
dvp_200_event_11	Cold War
dvp_200_event_12	Cold War
dvp_200_event_13	war
dvp_200_event_14	Korean War
dvp_200_event_15	Korean War
dvp_200_event_16	Korean War
dvp_200_event_17	Korean War
dvp_200_event_18	World War II
dvp_200_event_19	World War II
dvp_200_event_20	World War II
dvp_200_event_21	World War II
dvp_200_event_22	World War II
dvp_200_event_23	1960 Winter Olympics
dvp_200_event_24	Vietnam
dvp_200_event_25	Cuban Missile Crisis
dvp_200_event_26	Bay of Pigs [Invasion]
dvp_200_event_27	Cuban Missile Crisis
dvp_200_event_28	Vietnam
dvp_200_event_29	Vietnam
dvp_200_event_30	war
dvp_200_event_31	Vietnam
dvp_200_event_32	Vietnam War
dvp_200_event_33	war
dvp_200_event_34	war
dvp_200_event_35	war
dvp_200_event_36	war
dvp_200_event_37	war
dvp_200_event_38	war
dvp_200_event_39	war
dvp_200_event_40	Vietnam
dvp_200_event_41	Vietnam
dvp_200_event_42	Depression
dvp_200_event_43	war
dvp_200_event_44	abandonment of Saigon
dvp_200_event_45	Vietnam War
dvp_200_event_46	Vietnam War
dvp_200_event_47	Vietnam War
dvp_200_event_48	Vietnam War
dvp_200_event_49	Vietnam
