id	name	QID	dvp_id	start time	end time	point in time
dvp_053_event_0	Great Depression	Q8698		1929-10-24T00:00:00Z	1941-01-01T00:00:00Z	
dvp_053_event_1	assassination of John F. Kennedy	Q193484				1963-11-22T00:00:00Z
dvp_053_event_2	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_053_event_3	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_053_event_4	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_053_event_5	Watergate scandal	Q42761				1972-06-17T00:00:00Z
dvp_053_event_6	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_053_event_7	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_053_event_8	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_053_event_9	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_053_event_10	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_053_event_11	Watergate scandal	Q42761				1972-06-17T00:00:00Z
dvp_053_event_12	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_053_event_13	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_053_event_14	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_053_event_15	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
