id	name	point in time	end time	start time	QID	dvp_id
dvp_052_event_0	World War II		1945-09-02T00:00:00Z	1939-09-01T00:00:00Z	Q362	
dvp_052_event_1	World War II		1945-09-02T00:00:00Z	1939-09-01T00:00:00Z	Q362	
dvp_052_event_2	Sputnik being put up in the middle ’50s					
dvp_052_event_3	Cuban Missile Crisis	1962-01-01T00:00:00Z	1962-10-28T00:00:00Z	1962-10-14T00:00:00Z	Q128160	
dvp_052_event_4	assassination of John F. Kennedy	1963-11-22T00:00:00Z			Q193484	
dvp_052_event_5	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_6	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_7	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_8	assassination of John F. Kennedy	1963-11-22T00:00:00Z			Q193484	
dvp_052_event_9	World War II		1945-09-02T00:00:00Z	1939-09-01T00:00:00Z	Q362	
dvp_052_event_10	assassination of John F. Kennedy	1963-11-22T00:00:00Z			Q193484	
dvp_052_event_11	Bobby Kennedy assassination					
dvp_052_event_12	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_13	Watergate scandal	1972-06-17T00:00:00Z			Q42761	
dvp_052_event_14	Woodstock Festival		1969-08-18T00:00:00Z	1969-08-15T00:00:00Z	Q164815	
dvp_052_event_15	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_16	Gulf of Tonkin incident	1964-08-02T00:00:00Z	1964-08-04T00:00:00Z	1964-08-02T00:00:00Z	Q482402	
dvp_052_event_17	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_18	Tet Offensive	1968-09-23T00:00:00Z	1968-09-23T00:00:00Z	1968-01-30T00:00:00Z	Q82542	
dvp_052_event_19	World War II		1945-09-02T00:00:00Z	1939-09-01T00:00:00Z	Q362	
dvp_052_event_20	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_21	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_22	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
