id	orgName
dvp_052_org_0	[U.S.] Navy
dvp_052_org_1	Sidwell Friends School
dvp_052_org_2	Sidwell Friends
dvp_052_org_3	Sidwell Friends
dvp_052_org_4	Sidwell Friends
dvp_052_org_5	Sidwell
dvp_052_org_6	Sidwell
dvp_052_org_7	Sidwell Friends
dvp_052_org_8	Dartmouth
dvp_052_org_9	Bethesda Elementary
dvp_052_org_10	Sidwell Friends
dvp_052_org_11	Sidwell
dvp_052_org_12	Bethesda Elementary
dvp_052_org_13	Sidwell
dvp_052_org_14	Sidwell
dvp_052_org_15	America
dvp_052_org_16	Soviet Union
dvp_052_org_17	Republican Party
dvp_052_org_18	TIME
dvp_052_org_19	Sidwell Friends
dvp_052_org_20	Sidwell
dvp_052_org_21	Sidwell Friends
dvp_052_org_22	Sidwell
dvp_052_org_23	Sidwell
dvp_052_org_24	Dartmouth
dvp_052_org_25	Sidwell Friends
dvp_052_org_26	Ivy League
dvp_052_org_27	Dartmouth
dvp_052_org_28	Harvard [University]
dvp_052_org_29	Yale [University]
dvp_052_org_30	Cornell [University]
dvp_052_org_31	Princeton [University]
dvp_052_org_32	Ivy League
dvp_052_org_33	Yale
dvp_052_org_34	Dartmouth
dvp_052_org_35	Colgate [University]
dvp_052_org_36	Colgate
dvp_052_org_37	Dartmouth
dvp_052_org_38	Dartmouth
dvp_052_org_39	Dartmouth
dvp_052_org_40	Dartmouth
dvp_052_org_41	Dartmouth
dvp_052_org_42	Dartmouth
dvp_052_org_43	Dartmouth
dvp_052_org_44	Dartmouth
dvp_052_org_45	Dartmouth
dvp_052_org_46	Dartmouth
dvp_052_org_47	Dartmouth
dvp_052_org_48	Dartmouth
dvp_052_org_49	Dartmouth
dvp_052_org_50	Dartmouth
dvp_052_org_51	Dartmouth
dvp_052_org_52	[U.S.] Marines
dvp_052_org_53	Marines
dvp_052_org_54	Dartmouth
dvp_052_org_55	Dartmouth
dvp_052_org_56	Dartmouth
dvp_052_org_57	Sidwell Friends
dvp_052_org_58	Harvard Medical School
dvp_052_org_59	Dartmouth
dvp_052_org_60	Dartmouth
dvp_052_org_61	Dartmouth
dvp_052_org_62	Sidwell Friends
dvp_052_org_63	Harvard Medical School
dvp_052_org_64	Dartmouth
dvp_052_org_65	Dartmouth
dvp_052_org_66	Rhodes
dvp_052_org_67	Harvard
dvp_052_org_68	Harvard Medical School
dvp_052_org_69	Rhodes
dvp_052_org_70	Rhodes
dvp_052_org_71	Harvard Medical School
dvp_052_org_72	Harvard Medical School
dvp_052_org_73	Dartmouth
dvp_052_org_74	Harvard Medical School
dvp_052_org_75	Congress
dvp_052_org_76	[U.S.] Army
dvp_052_org_77	Army
dvp_052_org_78	Harvard Medical School
dvp_052_org_79	Dartmouth
dvp_052_org_80	Army
dvp_052_org_81	Navy Officer Candidate School
dvp_052_org_82	Officer Candidate School
dvp_052_org_83	Navy
dvp_052_org_84	Army
dvp_052_org_85	Marines
dvp_052_org_86	Officer Candidate School
dvp_052_org_87	Navy
dvp_052_org_88	Navy
dvp_052_org_89	Officer Candidate School
dvp_052_org_90	Marines
dvp_052_org_91	Army Rangers
dvp_052_org_92	SEALs [U.S. Navy’s Sea, Air, Land teams]
dvp_052_org_93	Officer Candidate School
dvp_052_org_94	Navy
dvp_052_org_95	OCS
dvp_052_org_96	Officer Candidate School
dvp_052_org_97	Dartmouth College
dvp_052_org_98	Dartmouth
dvp_052_org_99	Dartmouth
dvp_052_org_100	Dartmouth
dvp_052_org_101	Sidwell Friends
dvp_052_org_102	Yale Law School
dvp_052_org_103	Dartmouth
dvp_052_org_104	Dartmouth
dvp_052_org_105	OCS
dvp_052_org_106	Dartmouth
dvp_052_org_107	Navy
dvp_052_org_108	Dartmouth
dvp_052_org_109	Harvard Medical School
dvp_052_org_110	OCS
dvp_052_org_111	OCS
dvp_052_org_112	Dartmouth
dvp_052_org_113	Harvard Medical School
dvp_052_org_114	Sidwell Friends
dvp_052_org_115	OCS
dvp_052_org_116	Office of Naval Personnel
dvp_052_org_117	Navy
dvp_052_org_118	Officer Candidate School
dvp_052_org_119	Selective Service [System]
dvp_052_org_120	Selective Service
dvp_052_org_121	OCS
dvp_052_org_122	OCS
dvp_052_org_123	USS Repose
dvp_052_org_124	Repose
dvp_052_org_125	Navy
dvp_052_org_126	Navy
dvp_052_org_127	Navy
dvp_052_org_128	Navy
dvp_052_org_129	Red Cross
dvp_052_org_130	Marines
dvp_052_org_131	Marines
dvp_052_org_132	Marines
dvp_052_org_133	Army
dvp_052_org_134	Navy
dvp_052_org_135	Navy
dvp_052_org_136	South Vietnamese Army [Army of the Republic of Vietnam]
dvp_052_org_137	Viet Cong
dvp_052_org_138	U.S.
dvp_052_org_139	sappers [Viet Cong or NVA solders who got inside a perimeter, armed with explosives; members of the Viet Cong elite C-10 Sapper Battalion]
dvp_052_org_140	Navy
dvp_052_org_141	Harvard Med
dvp_052_org_142	American Navy
dvp_052_org_143	Armed Forces Radio [and Television Service]
dvp_052_org_144	Red Cross
dvp_052_org_145	defense
dvp_052_org_146	Pentagon
dvp_052_org_147	U.S. Navy
dvp_052_org_148	Vietnam Navy
dvp_052_org_149	[U.S. Navy] Reserves
dvp_052_org_150	Vietnamese Navy
dvp_052_org_151	Vietnam
dvp_052_org_152	Yale Law School
dvp_052_org_153	Sidwell Friends
dvp_052_org_154	Dartmouth
dvp_052_org_155	EPA [the U.S. Environmental Protection Agency]
dvp_052_org_156	federal government
dvp_052_org_157	Congress
dvp_052_org_158	Congress
dvp_052_org_159	Pentagon
dvp_052_org_160	Dartmouth
