id	placeName	QID	dvp_id	coordinate location
dvp_052_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_052_place_1	Portland	Q6106		45.516666666667,-122.66666666667
dvp_052_place_2	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_3	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_4	Bethesda	Q584451		38.9806658,-77.100256
dvp_052_place_5	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_6	Maryland	Q1391		39,-76.7
dvp_052_place_7	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_8	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_9	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_10	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_11	Bethesda Elementary [School]	Q105669821		38.98658,-77.09989
dvp_052_place_12	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_13	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_14	Bethesda	Q584451		38.9806658,-77.100256
dvp_052_place_15	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_16	United States of America	Q30		39.828175,-98.5795
dvp_052_place_17	Soviet Union	Q15180		65,90
dvp_052_place_18	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_19	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_20	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_21	Sidwell Friends School	Q3439758		38.939217,-77.074628
dvp_052_place_22	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_23	Bethesda Elementary	Q105669821		38.98658,-77.09989
dvp_052_place_24	Sidwell Friends School	Q3439758		38.939217,-77.074628
dvp_052_place_25	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_26	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_27	Portland	Q6106		45.516666666667,-122.66666666667
dvp_052_place_28	The Green	Q7738117		43.7033,-72.2886
dvp_052_place_29	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_30	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_052_place_31	Main Street	Q104906192		43.7017,-72.2894
dvp_052_place_32	The Green	Q7738117		43.7033,-72.2886
dvp_052_place_33	Boston	Q100		42.358333333333,-71.0625
dvp_052_place_34	The Pentagon	Q11208		38.871111,-77.055833
dvp_052_place_35	Hanover	Q38249825		43.70222222,-72.28944444
dvp_052_place_36	United States of America	Q30		39.828175,-98.5795
dvp_052_place_37	United States of America	Q30		39.828175,-98.5795
dvp_052_place_38	Da Nang	Q25282		16.031944444444445,108.22055555555555
dvp_052_place_39	Baker Memorial Library	Q4849183		43.705,-72.289166666667
dvp_052_place_40	Hanover	Q38249825		43.70222222,-72.28944444
dvp_052_place_41	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_052_place_42	Boston	Q100		42.358333333333,-71.0625
dvp_052_place_43	Harvard Medical School	Q49121		42.335743,-71.105138
dvp_052_place_44	Cambridge	Q49111		42.375,-71.106111111111
dvp_052_place_45	Boston	Q100		42.358333333333,-71.0625
dvp_052_place_46	Vietnam	Q881		16,108
dvp_052_place_47	Vietnam	Q881		16,108
dvp_052_place_48	Vietnam	Q881		16,108
dvp_052_place_49	Vietnam	Q881		16,108
dvp_052_place_50	Vietnam	Q881		16,108
dvp_052_place_51	Canada	Q16		56,-109
dvp_052_place_52	Newport	Q54264		41.488002,-71.312622
dvp_052_place_53	Newport	Q54264		41.488002,-71.312622
dvp_052_place_54	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_052_place_55	Harvard Medical School	Q49121		42.335743,-71.105138
dvp_052_place_56	Dartmouth Hall	Q105669850		43.70376,-72.28706
dvp_052_place_57	Baker Memorial Library	Q4849183		43.705,-72.289166666667
dvp_052_place_58	Newport	Q54264		41.488002,-71.312622
dvp_052_place_59	Vietnam	Q881		16,108
dvp_052_place_60	Vietnam	Q881		16,108
dvp_052_place_61	Vietnam	Q881		16,108
dvp_052_place_62	Vietnam	Q881		16,108
dvp_052_place_63	Vietnam	Q881		16,108
dvp_052_place_64	Vietnam	Q881		16,108
dvp_052_place_65	Vietnam	Q881		16,108
dvp_052_place_66	Hawaiian Islands	Q192626		19.366666666666667,-155.33333333333334
dvp_052_place_67	Vietnam	Q881		16,108
dvp_052_place_68	Vietnam	Q881		16,108
