id	placeName
dvp_054_place_0	Webster Hall [in Rauner Special Collections Libraryat Dartmouth College]
dvp_054_place_1	California
dvp_054_place_2	Nebraska
dvp_054_place_3	California
dvp_054_place_4	Oregon
dvp_054_place_5	Corona, California
dvp_054_place_6	Riverside, California
dvp_054_place_7	Corona
dvp_054_place_8	[Lake] Elsinore, California
dvp_054_place_9	Banning, California
dvp_054_place_10	Banning, California
dvp_054_place_11	Guadalcanal [in the Solomon Islands]
dvp_054_place_12	Los Angeles
dvp_054_place_13	Los Angeles
dvp_054_place_14	Los Angeles
dvp_054_place_15	Pennsylvania
dvp_054_place_16	Nebraska
dvp_054_place_17	Nebraska
dvp_054_place_18	Pennsylvania
dvp_054_place_19	Pennsylvania
dvp_054_place_20	Nebraska
dvp_054_place_21	Wyoming
dvp_054_place_22	Nebraska
dvp_054_place_23	Kearney
dvp_054_place_24	Grand Island, Nebraska
dvp_054_place_25	Nebraska
dvp_054_place_26	Banning
dvp_054_place_27	Banning, California
dvp_054_place_28	Sandhills
dvp_054_place_29	Massachusetts
dvp_054_place_30	Banning
dvp_054_place_31	Washington, D.C.
dvp_054_place_32	Washington, D.C.
dvp_054_place_33	Nebraska
dvp_054_place_34	Nebraska
dvp_054_place_35	Washington, D.C.
dvp_054_place_36	New Hampshire
dvp_054_place_37	Boston
dvp_054_place_38	Nebraska
dvp_054_place_39	Pennsylvania
dvp_054_place_40	Pennsylvania
dvp_054_place_41	Connecticut
dvp_054_place_42	New York City
dvp_054_place_43	Stanford, Connecticut
dvp_054_place_44	Hanover
dvp_054_place_45	Hanover
dvp_054_place_46	Hanover
dvp_054_place_47	Russia
dvp_054_place_48	United States
dvp_054_place_49	Nebraska
dvp_054_place_50	Valley Forge
dvp_054_place_51	California
dvp_054_place_52	[Dartmouth] Green
dvp_054_place_53	Green
dvp_054_place_54	College Hall, Collis [Center for Student Involvement]
dvp_054_place_55	Parkhurst [Hall]
dvp_054_place_56	Parkhurst
dvp_054_place_57	Parkhurst
dvp_054_place_58	Vietnam
dvp_054_place_59	Hanover
dvp_054_place_60	Vietnam
dvp_054_place_61	Nebraska
dvp_054_place_62	Vietnam
dvp_054_place_63	Vietnam
dvp_054_place_64	Vietnam
dvp_054_place_65	Afghanistan
dvp_054_place_66	United States
dvp_054_place_67	Vietnam
dvp_054_place_68	Vietnam
dvp_054_place_69	Russia
dvp_054_place_70	Vermont
dvp_054_place_71	Valley Forge
dvp_054_place_72	Hanover
dvp_054_place_73	Webb [Air Force Base, Texas]
dvp_054_place_74	Dallas
dvp_054_place_75	El Paso
dvp_054_place_76	California
dvp_054_place_77	Thailand
dvp_054_place_78	North Vietnam
dvp_054_place_79	Laos
dvp_054_place_80	Thailand
dvp_054_place_81	Thailand
dvp_054_place_82	Thailand
dvp_054_place_83	Vietnam
dvp_054_place_84	Thailand
dvp_054_place_85	Hanover
dvp_054_place_86	Big Spring, Texas
dvp_054_place_87	Victorville, California
dvp_054_place_88	Nebraska
dvp_054_place_89	Boston
dvp_054_place_90	New York
dvp_054_place_91	Los Angeles
dvp_054_place_92	Hanover
dvp_054_place_93	Big Spring
dvp_054_place_94	Moscow
dvp_054_place_95	Hanover
dvp_054_place_96	Sodtown
dvp_054_place_97	Ravenna, Nebraska
dvp_054_place_98	Banning, California
dvp_054_place_99	Thailand
dvp_054_place_100	Laos
dvp_054_place_101	North Vietnam
dvp_054_place_102	South Vietnam
dvp_054_place_103	Cambodia
dvp_054_place_104	Laos
dvp_054_place_105	North Vietnam
dvp_054_place_106	Ubon
dvp_054_place_107	Laos
dvp_054_place_108	North Vietnam
dvp_054_place_109	North Vietnam
dvp_054_place_110	Laos
dvp_054_place_111	North Vietnam
dvp_054_place_112	Laos
dvp_054_place_113	South Vietnam
dvp_054_place_114	North Vietnam
dvp_054_place_115	North
dvp_054_place_116	South Vietnam
dvp_054_place_117	South Vietnam
dvp_054_place_118	South Vietnam
dvp_054_place_119	South Vietnam
dvp_054_place_120	South Vietnam
dvp_054_place_121	South Vietnam
dvp_054_place_122	Webster Hall
dvp_054_place_123	New Mexico
dvp_054_place_124	Vietnam
dvp_054_place_125	Ubon Thailand
dvp_054_place_126	United States
dvp_054_place_127	Thailand
dvp_054_place_128	Vietnam
dvp_054_place_129	United States
dvp_054_place_130	U.S.
dvp_054_place_131	Ubon
dvp_054_place_132	United States
dvp_054_place_133	States
dvp_054_place_134	Ubon
dvp_054_place_135	Cambodia
dvp_054_place_136	Laos
dvp_054_place_137	North Vietnam
dvp_054_place_138	Gulf of Tonkin
dvp_054_place_139	South Vietnam
dvp_054_place_140	DMZ [demilitarized zone]
dvp_054_place_141	Da Nang
dvp_054_place_142	Da Nang
dvp_054_place_143	United States
dvp_054_place_144	Boston
dvp_054_place_145	Hanover
dvp_054_place_146	Hanover
dvp_054_place_147	Gulf of Tonkin
dvp_054_place_148	Ubon
dvp_054_place_149	Ubon
dvp_054_place_150	Kent State
dvp_054_place_151	Ohio
dvp_054_place_152	Thailand
dvp_054_place_153	United States
dvp_054_place_154	United States
dvp_054_place_155	United States
dvp_054_place_156	Hanover
dvp_054_place_157	Parkhurst
dvp_054_place_158	Collis
dvp_054_place_159	Psi Upsilon
dvp_054_place_160	College Hall
dvp_054_place_161	Parkhurst
dvp_054_place_162	Boston
dvp_054_place_163	Boston
dvp_054_place_164	Nebraska
dvp_054_place_165	California
dvp_054_place_166	California
dvp_054_place_167	California
