id	name	QID	dvp_id	start time	end time	point in time
dvp_054_event_0	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_054_event_1	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_054_event_2	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_054_event_3	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_054_event_4	Kent State shootings	Q482635				1970-05-04T00:00:00Z
dvp_054_event_5	Kent State shootings	Q482635				1970-05-04T00:00:00Z
dvp_054_event_6	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_054_event_7	fall of the Berlin Wall	Q69163529				1989-11-09T00:00:00Z
dvp_054_event_8	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_054_event_9	2003 invasion of Iraq	Q107802		2003-03-20T00:00:00Z	2003-05-01T00:00:00Z	
