id	placeName	QID	dvp_id	coordinate location
dvp_051_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_051_place_1	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_051_place_2	Hanover	Q131908		43.7,-72.28333333333333
dvp_051_place_3	Scarsdale	Q2300959		40.992222222222,-73.786944444444
dvp_051_place_4	Mediterranean Sea	Q4918		38,17
dvp_051_place_5	Westhampton Beach	Q3453197		40.8089,-72.6461
dvp_051_place_6	Scarsdale	Q2300959		40.992222222222,-73.786944444444
dvp_051_place_7	Mediterranean Sea	Q4918		38,17
dvp_051_place_8	Galveston	Q135744		29.3013889,-94.7977778
dvp_051_place_9	Galveston	Q135744		29.3013889,-94.7977778
dvp_051_place_10	Scarsdale	Q2300959		40.992222222222,-73.786944444444
dvp_051_place_11	White Plains	Q462177		41.04,-73.778611111111
dvp_051_place_12	Elmsford	Q1019259		41.055,-73.82
dvp_051_place_13	Long Island	Q18438		40.805805,-73.253616
dvp_051_place_14	The Green	Q7738117		43.7033,-72.2886
dvp_051_place_15	Vietnam	Q881		16,108
dvp_051_place_16	Vietnam	Q881		16,108
dvp_051_place_17	Vietnam	Q881		16,108
dvp_051_place_18	Fort Campbell	Q1385040		36.65,-87.4667
dvp_051_place_19	Governors Island	Q1190547		40.691388888889,-74.016111111111
dvp_051_place_20	New York City	Q60		40.67,-73.94
dvp_051_place_21	Fort Campbell	Q1385040		36.65,-87.4667
dvp_051_place_22	Fort Campbell	Q1385040		36.65,-87.4667
dvp_051_place_23	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_051_place_24	Fort Campbell	Q1385040		36.65,-87.4667
dvp_051_place_25	Vietnam	Q881		16,108
dvp_051_place_26	Vietnam	Q881		16,108
dvp_051_place_27	Vietnam	Q881		16,108
dvp_051_place_28	National Route 19	Q10810947		
dvp_051_place_29	Vietnam	Q881		16,108
dvp_051_place_30	Vietnam	Q881		16,108
dvp_051_place_31	Philippines	Q928		12,123
dvp_051_place_32	Fort Campbell	Q1385040		36.65,-87.4667
dvp_051_place_33	Oakland	Q17042		37.8,-122.25
dvp_051_place_34	Vietnam	Q881		16,108
