id	placeName	QID	dvp_id	coordinate location
dvp_059_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_059_place_1	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_059_place_2	Hanover	Q131908		43.7,-72.28333333333333
dvp_059_place_3	Plainfield	Q544890		40.615277777778,-74.416111111111
dvp_059_place_4	Plainfield	Q544890		40.615277777778,-74.416111111111
dvp_059_place_5	Ithaca	Q217346		42.443333333333,-76.5
dvp_059_place_6	Annville Township	Q143027		40.33,-76.5125
dvp_059_place_7	Bethany	Q3313676		40.206388888889,-80.559722222222
dvp_059_place_8	Waynesburg	Q1186435		39.8975,-80.1856
dvp_059_place_9	Fairfield	Q1913937		41.007222222222,-91.965833333333
dvp_059_place_10	Italy	Q38		42.5,12.5
dvp_059_place_11	Italy	Q38		42.5,12.5
dvp_059_place_12	Alps	Q1286		46,10
dvp_059_place_13	Italy	Q38		42.5,12.5
dvp_059_place_14	Stalag Luft III	Q700634		51.59861,15.3075
dvp_059_place_15	German Democratic Republic	Q16957		52.052,12.389
dvp_059_place_16	United States of America	Q30		39.828175,-98.5795
dvp_059_place_17	United States of America	Q30		39.828175,-98.5795
dvp_059_place_18	Ithaca	Q217346		42.443333333333,-76.5
dvp_059_place_19	Ukraine	Q212		49,32
dvp_059_place_20	Ithaca	Q217346		42.443333333333,-76.5
dvp_059_place_21	Ithaca	Q217346		42.443333333333,-76.5
dvp_059_place_22	Ithaca	Q217346		42.443333333333,-76.5
dvp_059_place_23	Annville Township	Q143027		40.33,-76.5125
dvp_059_place_24	Annville Township	Q143027		40.33,-76.5125
dvp_059_place_25	Annville Township	Q143027		40.33,-76.5125
dvp_059_place_26	Annville Township	Q143027		40.33,-76.5125
dvp_059_place_27	Lebanon	Q993523		43.6422,-72.2517
dvp_059_place_28	Annville Township	Q143027		40.33,-76.5125
dvp_059_place_29	Fairfield	Q1913937		41.007222222222,-91.965833333333
dvp_059_place_30	Iowa	Q1546		42,-93
dvp_059_place_31	Iowa	Q1546		42,-93
dvp_059_place_32	Iowa	Q1546		42,-93
dvp_059_place_33	Waynesburg	Q1186435		39.8975,-80.1856
dvp_059_place_34	Iowa	Q1546		42,-93
dvp_059_place_35	Iowa	Q1546		42,-93
dvp_059_place_36	Iowa	Q1546		42,-93
dvp_059_place_37	Iowa	Q1546		42,-93
dvp_059_place_38	United States of America	Q30		39.828175,-98.5795
dvp_059_place_39	Iowa	Q1546		42,-93
dvp_059_place_40	Peterson Air Force Base	Q772391		38.805805555556,-104.70077777778
dvp_059_place_41	Colorado	Q1261		39,-105.5
dvp_059_place_42	Hanover	Q131908		43.7,-72.28333333333333
dvp_059_place_43	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_059_place_44	Vietnam	Q881		16,108
dvp_059_place_45	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_059_place_46	United States of America	Q30		39.828175,-98.5795
dvp_059_place_47	United States of America	Q30		39.828175,-98.5795
dvp_059_place_48	Vietnam	Q881		16,108
dvp_059_place_49	Hopkins Center for the Arts	Q3140375		43.701666666667,-72.288611111111
dvp_059_place_50	Hopkins Center for the Arts	Q3140375		43.701666666667,-72.288611111111
dvp_059_place_51	Collis Center for Student Involvement	Q100725367		43.70277,-72.28991
dvp_059_place_52	Dartmouth Hall	Q105669850		43.70376,-72.28706
dvp_059_place_53	Russia	Q159		66.41666666666667,94.25
dvp_059_place_54	United States of America	Q30		39.828175,-98.5795
dvp_059_place_55	Mississippi	Q1494		33,-90
dvp_059_place_56	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_059_place_57	Capitol Hill	Q1041704		47.6229,-122.316
dvp_059_place_58	United States of America	Q30		39.828175,-98.5795
dvp_059_place_59	United States of America	Q30		39.828175,-98.5795
dvp_059_place_60	United States of America	Q30		39.828175,-98.5795
dvp_059_place_61	United States of America	Q30		39.828175,-98.5795
dvp_059_place_62	United States of America	Q30		39.828175,-98.5795
dvp_059_place_63	Vietnam	Q881		16,108
dvp_059_place_64	United States of America	Q30		39.828175,-98.5795
dvp_059_place_65	United States of America	Q30		39.828175,-98.5795
dvp_059_place_66	Iowa	Q1546		42,-93
dvp_059_place_67	Iowa	Q1546		42,-93
dvp_059_place_68	Bedford–Stuyvesant	Q1156982		40.683333333333,-73.941111111111
dvp_059_place_69	Iraq	Q796		33,43
dvp_059_place_70	Iraq	Q796		33,43
dvp_059_place_71	Afghanistan	Q889		34,66
dvp_059_place_72	Afghanistan	Q889		34,66
dvp_059_place_73	Iraq	Q796		33,43
dvp_059_place_74	Fort Gordon	Q1368958		33.413333333333,-82.135277777778
dvp_059_place_75	Iraq	Q796		33,43
dvp_059_place_76	Iraq	Q796		33,43
dvp_059_place_77	Cambodia	Q424		12.6,105
dvp_059_place_78	Laos	Q819		18.2,104
dvp_059_place_79	Cambodia	Q424		12.6,105
dvp_059_place_80	France	Q142		47,2
dvp_059_place_81	Vietnam	Q881		16,108
dvp_059_place_82	Fort Gordon	Q1368958		33.413333333333,-82.135277777778
dvp_059_place_83	Fort Lewis	Q3505731		47.1058,-122.564
dvp_059_place_84	Fort Lewis	Q3505731		47.1058,-122.564
dvp_059_place_85	Fort Lewis	Q3505731		47.1058,-122.564
dvp_059_place_86	Vietnam	Q881		16,108
dvp_059_place_87	Vietnam	Q881		16,108
dvp_059_place_88	Travis Air Force Base	Q3497425		38.262777777778,-121.9275
dvp_059_place_89	Oakland	Q17042		37.8,-122.25
dvp_059_place_90	Anchorage	Q39450		61.218333333333,-149.89916666667
dvp_059_place_91	Japan	Q17		35,136
dvp_059_place_92	Okinawa	Q328615		26.334166666667,127.80555555556
dvp_059_place_93	Vietnam	Q881		16,108
dvp_059_place_94	Long Binh Post	Q27627856		10.931672,106.837462
dvp_059_place_95	Vietnam	Q881		16,108
dvp_059_place_96	Institute of Infection and Immunity	Q30264176		46.769473,-71.282797
dvp_059_place_97	IV Corps	Q105670558		10.1226,105.5356
dvp_059_place_98	I Corps	Q98611610		15.33349, 108.719
dvp_059_place_99	II Corps	Q105670549		13.8011,108.1624
dvp_059_place_100	Institute of Infection and Immunity	Q30264176		46.769473,-71.282797
dvp_059_place_101	Vision Institute	Q3152038		48.85018,2.37279
dvp_059_place_102	South Vietnam	Q180573		10.75,106.66666666667
dvp_059_place_103	Long Binh Post	Q27627856		10.931672,106.837462
dvp_059_place_104	Vietnam	Q881		16,108
dvp_059_place_105	Long Binh Post	Q27627856		10.931672,106.837462
dvp_059_place_106	Laos	Q819		18.2,104
dvp_059_place_107	Cambodia	Q424		12.6,105
dvp_059_place_108	Long Binh Post	Q27627856		10.931672,106.837462
dvp_059_place_109	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_110	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_111	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_112	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_113	Vietnam	Q881		16,108
dvp_059_place_114	Vietnam	Q881		16,108
dvp_059_place_115	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_116	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_117	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_118	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_119	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_120	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_121	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_122	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_123	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_124	Vietnam	Q881		16,108
dvp_059_place_125	Vũng Tàu	Q21194		10.404166666667,107.14166666667
dvp_059_place_126	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_127	Điện Biên Phủ	Q36027		21.383333333333,103.01694444444
dvp_059_place_128	Điện Biên Phủ	Q36027		21.383333333333,103.01694444444
dvp_059_place_129	United States of America	Q30		39.828175,-98.5795
dvp_059_place_130	United States of America	Q30		39.828175,-98.5795
dvp_059_place_131	South Vietnam	Q180573		10.75,106.66666666667
dvp_059_place_132	Vietnam	Q881		16,108
dvp_059_place_133	Vietnam	Q881		16,108
dvp_059_place_134	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_059_place_135	Vietnam	Q881		16,108
dvp_059_place_136	People's Republic of China	Q148		35.844722222222224,103.45194444444445
dvp_059_place_137	Vietnam	Q881		16,108
dvp_059_place_138	People's Republic of China	Q148		35.844722222222224,103.45194444444445
dvp_059_place_139	People's Republic of China	Q148		35.844722222222224,103.45194444444445
dvp_059_place_140	People's Republic of China	Q148		35.844722222222224,103.45194444444445
dvp_059_place_141	Tibet	Q2444884		29.6,91.1
dvp_059_place_142	Tibet	Q2444884		29.6,91.1
