id	persName
dvp_057_person_0	Sean [P.] Connolly
dvp_057_person_1	Mr. John Spritzler
dvp_057_person_2	Mr. John Spritzler
dvp_057_person_3	John
dvp_057_person_4	Rose Gilbert
dvp_057_person_5	President [John F.] Kennedy
dvp_057_person_6	[Barry Morris] Goldwater
dvp_057_person_7	Goldwater
dvp_057_person_8	Kennedy
dvp_057_person_9	[William] Shakespeare
dvp_057_person_10	[Adlai Ewing] Stevenson [II]
dvp_057_person_11	Goldwater
dvp_057_person_12	Albert Einstein
dvp_057_person_13	O.J. Simpson
dvp_057_person_14	O.J. Simpson
dvp_057_person_15	Louis [pronounced LOO-ee] Sobel
dvp_057_person_16	Walter Winchell
dvp_057_person_17	Walter Winchell
dvp_057_person_18	Mr. John Spritzler
dvp_057_person_19	John
dvp_057_person_20	Senator [Ernest H.] Gruening
dvp_057_person_21	Louis Sobel
dvp_057_person_22	David [G. Stratman]
dvp_057_person_23	David
dvp_057_person_24	Kennedy
dvp_057_person_25	[Donald M.] Pehlke
dvp_057_person_26	[Robert B.] Bob Reich
dvp_057_person_27	[President William J. (Bill)] Clinton
dvp_057_person_28	Bob Reich
dvp_057_person_29	[Irwin] Allen Ginsberg
dvp_057_person_30	Allen Ginsberg
dvp_057_person_31	Allen Ginsberg
dvp_057_person_32	Peter Orlovsky
dvp_057_person_33	Allen Ginsberg
dvp_057_person_34	Stokely Carmichael
dvp_057_person_35	[Tantely H.] Andriamanatenasoa
dvp_057_person_36	Andriamanatenasoa
dvp_057_person_37	[Ludwig van] Beethoven
dvp_057_person_38	President [John Sloan] Dickey
dvp_057_person_39	Andri
dvp_057_person_40	James Bond
dvp_057_person_41	Ed Strauss
dvp_057_person_42	Allen Ginsberg
dvp_057_person_43	Einstein
dvp_057_person_44	Richard Feynman
dvp_057_person_45	Richard Feynman
dvp_057_person_46	Richard Feynman
dvp_057_person_47	Goldwater
dvp_057_person_48	Mr. Spritzler
dvp_057_person_49	Rev. George Kalbfleisch
dvp_057_person_50	President [Dwight D.] Eisenhower
dvp_057_person_51	Ho Chi Minh
dvp_057_person_52	[Ernest P.] Ernie Young
dvp_057_person_53	[David C.] Kubrin
dvp_057_person_54	Mr. John Spritzler
dvp_057_person_55	Mr. Spritzler
dvp_057_person_56	President Dickey
dvp_057_person_57	Spritzler
dvp_057_person_58	Spritzler
dvp_057_person_59	Ronald Reagan
dvp_057_person_60	[William J.] Bennett
dvp_057_person_61	William S. Lind
dvp_057_person_62	William S. Lind
dvp_057_person_63	Mr. John Spritzler
dvp_057_person_64	Dickey
dvp_057_person_65	John Reah [pronouncing it as RAY] [sic; John C. Rhead]
dvp_057_person_66	[James A.] Jim Van Hoy
dvp_057_person_67	Guy [F.] Brandenburg
dvp_057_person_68	[Peter T.] Pete Muilenburg
dvp_057_person_69	John Reah [sic; Rhead]
dvp_057_person_70	John Rhea [sic; Rhead]
dvp_057_person_71	Reah
dvp_057_person_72	[James M.] Jim Sober
dvp_057_person_73	Professor [John] Halstead
dvp_057_person_74	Professor Halstead
dvp_057_person_75	Professor Halstead
dvp_057_person_76	Professor Halstead
dvp_057_person_77	[Fyodor] Dostoyevsky
dvp_057_person_78	[Leo] Tolstoy
dvp_057_person_79	Dostoyevsky
dvp_057_person_80	Tolstoy
dvp_057_person_81	Gen. [Claire L.] Chennault
dvp_057_person_82	John
dvp_057_person_83	Lee J. Cobb
dvp_057_person_84	Lee J. Cobb
dvp_057_person_85	Lee J. Cobb
dvp_057_person_86	Marlon Brando
dvp_057_person_87	Marlon Brando
dvp_057_person_88	Lee J. Cobb
dvp_057_person_89	McCarthy
dvp_057_person_90	Lee J. Cobb
dvp_057_person_91	Eisenhower
dvp_057_person_92	Ho Chi Minh
dvp_057_person_93	Mr. John Spritzler
dvp_057_person_94	[Joseph] Stalin
dvp_057_person_95	Stalin
dvp_057_person_96	Louise Day Hicks
dvp_057_person_97	[U.S. District Court] judge, [W. Arthur] Garrity [Jr.]
dvp_057_person_98	David Stratman
dvp_057_person_99	David Stratman
dvp_057_person_100	David Stratman
dvp_057_person_101	David
dvp_057_person_102	David
dvp_057_person_103	David
dvp_057_person_104	David
dvp_057_person_105	[John] Lennon
dvp_057_person_106	David Stratman
dvp_057_person_107	David
