id	placeName
dvp_057_place_0	Boston, Massachusetts
dvp_057_place_1	Brookline, Massachusetts
dvp_057_place_2	Brookline
dvp_057_place_3	Brookline, Massachusetts
dvp_057_place_4	Los Angeles, California
dvp_057_place_5	Russia
dvp_057_place_6	California
dvp_057_place_7	United States
dvp_057_place_8	L.A.
dvp_057_place_9	Brentwood
dvp_057_place_10	Los Angeles
dvp_057_place_11	Los Angeles
dvp_057_place_12	Los Angeles
dvp_057_place_13	New York City
dvp_057_place_14	Switzerland
dvp_057_place_15	London
dvp_057_place_16	New York
dvp_057_place_17	New York City
dvp_057_place_18	New York City
dvp_057_place_19	Los Angeles
dvp_057_place_20	New York
dvp_057_place_21	Vietnam
dvp_057_place_22	L.A.
dvp_057_place_23	L.A.
dvp_057_place_24	UCLA [University of California, Los Angeles]
dvp_057_place_25	Russia
dvp_057_place_26	U.S.
dvp_057_place_27	New York City
dvp_057_place_28	Philadelphia
dvp_057_place_29	Hanover
dvp_057_place_30	Green
dvp_057_place_31	Green
dvp_057_place_32	New York City
dvp_057_place_33	South Africa
dvp_057_place_34	South Africa
dvp_057_place_35	South Africa
dvp_057_place_36	Cohen [Hall]
dvp_057_place_37	Cohen
dvp_057_place_38	Cohen Hall
dvp_057_place_39	Cohen
dvp_057_place_40	Madagascar
dvp_057_place_41	Madagascar
dvp_057_place_42	Nugget theater
dvp_057_place_43	Saratoga
dvp_057_place_44	Saratoga
dvp_057_place_45	Vermont
dvp_057_place_46	Vietnam
dvp_057_place_47	United States
dvp_057_place_48	United States
dvp_057_place_49	Vietnam
dvp_057_place_50	China
dvp_057_place_51	U.S.
dvp_057_place_52	United States
dvp_057_place_53	U.S.
dvp_057_place_54	U.S.
dvp_057_place_55	Japan
dvp_057_place_56	China
dvp_057_place_57	U.S.
dvp_057_place_58	Vermont
dvp_057_place_59	Parkhurst [Hall]
dvp_057_place_60	McNutt [Hall]
dvp_057_place_61	McNutt
dvp_057_place_62	Collis
dvp_057_place_63	Collis Center
dvp_057_place_64	Robinson Hall
dvp_057_place_65	Robinson Hall
dvp_057_place_66	Washington, D.C.
dvp_057_place_67	Dien Bien Phu
dvp_057_place_68	Vietnam
dvp_057_place_69	North
dvp_057_place_70	South Vietnam
dvp_057_place_71	Dien Bien Phu
dvp_057_place_72	French
dvp_057_place_73	U.S.
dvp_057_place_74	Green
dvp_057_place_75	Hop
dvp_057_place_76	Hop
dvp_057_place_77	Hopkins Center [for the Arts]
dvp_057_place_78	Hopkins Center
dvp_057_place_79	Parkhurst
dvp_057_place_80	Vietnam
dvp_057_place_81	Boston
dvp_057_place_82	Green
dvp_057_place_83	Green
dvp_057_place_84	South Africa
dvp_057_place_85	North Vietnam
dvp_057_place_86	Green
dvp_057_place_87	Green
dvp_057_place_88	Parkhurst
dvp_057_place_89	Parkhurst
dvp_057_place_90	Parkhurst
dvp_057_place_91	United States
dvp_057_place_92	Wheelock [Street]
dvp_057_place_93	Main
dvp_057_place_94	Green
dvp_057_place_95	Robinson building
dvp_057_place_96	Robinson
dvp_057_place_97	Robinson
dvp_057_place_98	Robinson
dvp_057_place_99	Vietnam
dvp_057_place_100	Ann Arbor
dvp_057_place_101	Los Angeles
dvp_057_place_102	American
dvp_057_place_103	Connecticut
dvp_057_place_104	Buffalo, New York
dvp_057_place_105	Erie County Penitentiary
dvp_057_place_106	Buffalo
dvp_057_place_107	China
dvp_057_place_108	Hollywood
dvp_057_place_109	Los Angeles
dvp_057_place_110	Boston
dvp_057_place_111	Boston
dvp_057_place_112	Hanover
dvp_057_place_113	Boston
dvp_057_place_114	Lake Erie
dvp_057_place_115	Boston
dvp_057_place_116	Buffalo
dvp_057_place_117	Boston
dvp_057_place_118	Boston
dvp_057_place_119	Boston
dvp_057_place_120	Boston
dvp_057_place_121	U.S.
dvp_057_place_122	Boston
dvp_057_place_123	Jamaica Plain
