id	name	QID	dvp_id	start time	end time	point in time
dvp_057_event_0	Cuban Missile Crisis	Q128160		1962-10-14T00:00:00Z	1962-10-28T00:00:00Z	
dvp_057_event_1	Cuban Missile Crisis	Q128160		1962-10-14T00:00:00Z	1962-10-28T00:00:00Z	
dvp_057_event_2	Cuban Missile Crisis	Q128160		1962-10-14T00:00:00Z	1962-10-28T00:00:00Z	
dvp_057_event_3	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_057_event_4	Space Shuttle Challenger disaster	Q858145				1986-01-28T00:00:00Z
dvp_057_event_5	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_057_event_6	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_057_event_7	Geneva Conference (1954)	Q482407		1954-04-26T00:00:00Z	1954-07-20T00:00:00Z	
dvp_057_event_8	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_057_event_9	Attica Prison riot	Q2710498				1971-09-09T00:00:00Z
dvp_057_event_10	Attica Prison riot	Q2710498				1971-09-09T00:00:00Z
dvp_057_event_11	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_057_event_12	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_057_event_13	1968 Democratic National Convention protest activity	Q4381720				1968-01-01T00:00:00Z
