id	orgName
dvp_201_org_0	’18
dvp_201_org_1	Dartmouth
dvp_201_org_2	Army
dvp_201_org_3	Army
dvp_201_org_4	Armed Forces
dvp_201_org_5	Army
dvp_201_org_6	Signal Corps
dvp_201_org_7	Dartmouth
dvp_201_org_8	Dartmouth
dvp_201_org_9	Army
dvp_201_org_10	Reserves
dvp_201_org_11	Reserve
dvp_201_org_12	Reserve
dvp_201_org_13	New Jersey Bell Telephone Company
dvp_201_org_14	Signal Corps
dvp_201_org_15	Dartmouth
dvp_201_org_16	Dartmouth
dvp_201_org_17	Dartmouth
dvp_201_org_18	Reserve
dvp_201_org_19	Reserves
dvp_201_org_20	Dartmouth
dvp_201_org_21	ROTC [Reserve Officer Training Corps]
dvp_201_org_22	ROTC
dvp_201_org_23	Dartmouth
dvp_201_org_24	Dartmouth
dvp_201_org_25	Dartmouth
dvp_201_org_26	SAT
dvp_201_org_27	Dartmouth
dvp_201_org_28	Colgate [University, Hamilton, NY]
dvp_201_org_29	Dartmouth
dvp_201_org_30	Dartmouth
dvp_201_org_31	Dartmouth
dvp_201_org_32	Dartmouth
dvp_201_org_33	Army
dvp_201_org_34	Army
dvp_201_org_35	ROTC
dvp_201_org_36	Judicial Council
dvp_201_org_37	Interfraternity Council
dvp_201_org_38	Sphinx
dvp_201_org_39	ROTC
dvp_201_org_40	ROTC
dvp_201_org_41	ROTC
dvp_201_org_42	ROTC
dvp_201_org_43	Dartmouth
dvp_201_org_44	ROTC
dvp_201_org_45	Army
dvp_201_org_46	ROTC
dvp_201_org_47	ROTC
dvp_201_org_48	Army
dvp_201_org_49	ROTC
dvp_201_org_50	ROTC
dvp_201_org_51	ROTC
dvp_201_org_52	ROTC
dvp_201_org_53	Dartmouth
dvp_201_org_54	ROTC
dvp_201_org_55	ROTC
dvp_201_org_56	ROTC
dvp_201_org_57	ROTC
dvp_201_org_58	ROTC
dvp_201_org_59	ROTC
dvp_201_org_60	ROTC
dvp_201_org_61	Naval ROTC
dvp_201_org_62	Dartmouth
dvp_201_org_63	ROTC
dvp_201_org_64	ROTC
dvp_201_org_65	ROTC
dvp_201_org_66	Dartmouth
dvp_201_org_67	ROTC
dvp_201_org_68	ROTC
dvp_201_org_69	Army
dvp_201_org_70	Dartmouth
dvp_201_org_71	ROTC
dvp_201_org_72	Dartmouth
dvp_201_org_73	Army
dvp_201_org_74	Dartmouth
dvp_201_org_75	Army
dvp_201_org_76	Army
dvp_201_org_77	Army
dvp_201_org_78	Army
dvp_201_org_79	Signal Corps
dvp_201_org_80	Signal
dvp_201_org_81	ROTC
dvp_201_org_82	Army
dvp_201_org_83	Dartmouth
dvp_201_org_84	Dartmouth
dvp_201_org_85	Dartmouth
dvp_201_org_86	Army
dvp_201_org_87	Army
dvp_201_org_88	Army
dvp_201_org_89	Army
dvp_201_org_90	2nd Armored Cavalry Regiment
dvp_201_org_91	2nd Armored Cavalry Regiment
dvp_201_org_92	Army
dvp_201_org_93	NATO
dvp_201_org_94	Bundesgrenzschutz
dvp_201_org_95	NATO
dvp_201_org_96	Bundesgrenzschutz
dvp_201_org_97	Air Force
dvp_201_org_98	Army
dvp_201_org_99	AFN
dvp_201_org_100	Armed Forces Network
dvp_201_org_101	AFN
dvp_201_org_102	101st Airborne Division
dvp_201_org_103	101st Airborne Division
dvp_201_org_104	Army
dvp_201_org_105	Congress
dvp_201_org_106	MACV [Military Assistance Command, Vietnam]
dvp_201_org_107	Vietnamese
dvp_201_org_108	44th Special Tactical Zone
dvp_201_org_109	South Vietnamese
dvp_201_org_110	Vietnamese
dvp_201_org_111	Viet Cong
dvp_201_org_112	North Vietnamese
dvp_201_org_113	Americans
dvp_201_org_114	MACV
dvp_201_org_115	VC [Viet Cong]
dvp_201_org_116	Vietnamese
dvp_201_org_117	Vietnamese
dvp_201_org_118	Vietnamese
dvp_201_org_119	Special Forces
dvp_201_org_120	Special Forces
dvp_201_org_121	Special Forces
dvp_201_org_122	Vietnamese
dvp_201_org_123	Viet Cong
dvp_201_org_124	North Vietnamese
dvp_201_org_125	Americans
dvp_201_org_126	Viet Cong
dvp_201_org_127	North Vietnamese
dvp_201_org_128	Viet Cong
dvp_201_org_129	ARVN [Army of the Republic of Vietnam]
dvp_201_org_130	Viet Cong
dvp_201_org_131	Vietnamese
dvp_201_org_132	Vietnamese
dvp_201_org_133	ARVN
dvp_201_org_134	ARVN
dvp_201_org_135	ARVN
dvp_201_org_136	USO
dvp_201_org_137	Army
dvp_201_org_138	ARVN
dvp_201_org_139	Viet Cong
dvp_201_org_140	Viet Cong
dvp_201_org_141	US military
dvp_201_org_142	National Liberation Front
dvp_201_org_143	ARVN
dvp_201_org_144	VC
dvp_201_org_145	ARVN
dvp_201_org_146	44th Special Tactical Zone
dvp_201_org_147	Viet Cong
dvp_201_org_148	North Vietnamese
dvp_201_org_149	North Vietnamese
dvp_201_org_150	Army
dvp_201_org_151	Plain of Reeds
dvp_201_org_152	ARVN
dvp_201_org_153	National Liberation Front
dvp_201_org_154	Viet Cong
dvp_201_org_155	Viet Cong
dvp_201_org_156	American
dvp_201_org_157	ARVN Air Force
dvp_201_org_158	US
dvp_201_org_159	ARVN
dvp_201_org_160	Viet Cong
dvp_201_org_161	Viet Cong
dvp_201_org_162	Viet Cong
dvp_201_org_163	Viet Cong
dvp_201_org_164	VC
dvp_201_org_165	VC
dvp_201_org_166	government
dvp_201_org_167	government
dvp_201_org_168	Viet Cong
dvp_201_org_169	ARVN Ranger
dvp_201_org_170	Special Forces
dvp_201_org_171	Special Forces
dvp_201_org_172	[Ho Chi Minh] Trail
dvp_201_org_173	Special Forces
dvp_201_org_174	South Vietnamese
dvp_201_org_175	Viet Cong
dvp_201_org_176	Special Forces
dvp_201_org_177	Navy
dvp_201_org_178	Vietnamese Army
dvp_201_org_179	Special Forces
dvp_201_org_180	Special Forces
dvp_201_org_181	Special Forces
dvp_201_org_182	ARVN
dvp_201_org_183	MACV
dvp_201_org_184	Special Forces
dvp_201_org_185	Army
dvp_201_org_186	Army
dvp_201_org_187	Army
dvp_201_org_188	American
dvp_201_org_189	American
dvp_201_org_190	American
dvp_201_org_191	Marine
dvp_201_org_192	North Vietnamese
dvp_201_org_193	North Vietnamese
dvp_201_org_194	North Vietnamese
dvp_201_org_195	Dartmouth
