id	orgName
dvp_061_org_0	KKK [Ku Klux Klan]
dvp_061_org_1	Klan
dvp_061_org_2	Dartmouth [College]
dvp_061_org_3	Dartmouth
dvp_061_org_4	Dartmouth
dvp_061_org_5	Dartmouth
dvp_061_org_6	Dartmouth
dvp_061_org_7	[Dartmouth] Outing Club
dvp_061_org_8	Phi Psi [Phi Sigma Psi]
dvp_061_org_9	Phi Kappa Psi
dvp_061_org_10	Phi Sigma Psi
dvp_061_org_11	Rotary [International]
dvp_061_org_12	Mary Hitchcock [Memorial Hospital, now Dartmouth-Hitchcock Medical Center]
dvp_061_org_13	Dartmouth
dvp_061_org_14	SDS
dvp_061_org_15	Students for a Democratic Society
dvp_061_org_16	SDS
dvp_061_org_17	SDS
dvp_061_org_18	Army
dvp_061_org_19	Army
dvp_061_org_20	Army
dvp_061_org_21	’67
dvp_061_org_22	Marines for Officer Candidate School
dvp_061_org_23	University of Buffalo
dvp_061_org_24	Air Force
dvp_061_org_25	Air Force ROTC [Reserve Officer Training Corps]
dvp_061_org_26	Air Force
dvp_061_org_27	Air Force
dvp_061_org_28	ROTC
dvp_061_org_29	Air Force
dvp_061_org_30	Army
dvp_061_org_31	Army
dvp_061_org_32	Marine Officer Candidate School
dvp_061_org_33	Army
dvp_061_org_34	Marines
dvp_061_org_35	Marines
dvp_061_org_36	Marines
dvp_061_org_37	Marines
dvp_061_org_38	Army
dvp_061_org_39	CSU Monterey [California State University, Monterey Bay]
dvp_061_org_40	Army
dvp_061_org_41	Army
dvp_061_org_42	Army
dvp_061_org_43	Dartmouth
dvp_061_org_44	Army
dvp_061_org_45	Army
dvp_061_org_46	Pentagon
dvp_061_org_47	Army
dvp_061_org_48	MOS
dvp_061_org_49	Army
dvp_061_org_50	MOS
dvp_061_org_51	MOS
dvp_061_org_52	MOS
dvp_061_org_53	IBM
dvp_061_org_54	OCS
dvp_061_org_55	MOS
dvp_061_org_56	Boeing
dvp_061_org_57	Air Force
dvp_061_org_58	U.S. Army
dvp_061_org_59	Army
dvp_061_org_60	Viet Cong
dvp_061_org_61	Army
dvp_061_org_62	U.N. [United Nations]
dvp_061_org_63	Pentagon
dvp_061_org_64	Navy
dvp_061_org_65	Army
dvp_061_org_66	Dartmouth
dvp_061_org_67	Army
dvp_061_org_68	Army
dvp_061_org_69	Army
dvp_061_org_70	Army Reserve
dvp_061_org_71	Army
dvp_061_org_72	Army
dvp_061_org_73	Army Reserve
dvp_061_org_74	Army
dvp_061_org_75	Army
dvp_061_org_76	Congress
dvp_061_org_77	Air Force Reserve
dvp_061_org_78	Congress
dvp_061_org_79	House of Representatives
dvp_061_org_80	Army
dvp_061_org_81	Army
dvp_061_org_82	University of California, Santa Barbara
dvp_061_org_83	Army
dvp_061_org_84	Army
dvp_061_org_85	University of California
dvp_061_org_86	Dartmouth
dvp_061_org_87	University of California
dvp_061_org_88	Burroughs [Corporation]
dvp_061_org_89	Burroughs
dvp_061_org_90	IBM
dvp_061_org_91	Burroughs
dvp_061_org_92	Burroughs
dvp_061_org_93	Army
dvp_061_org_94	Army
dvp_061_org_95	Vietnam Veterans Against [the] War
dvp_061_org_96	American Legion
dvp_061_org_97	American Legion
dvp_061_org_98	American Legion
dvp_061_org_99	Rotary [International]
dvp_061_org_100	Rotary
dvp_061_org_101	Rotary
dvp_061_org_102	Rotary Foundation
dvp_061_org_103	Rotary
dvp_061_org_104	Sankara [Eye Foundation]
dvp_061_org_105	Shin Shin [Educational Foundation]
dvp_061_org_106	Shin Shin
dvp_061_org_107	Army
dvp_061_org_108	UCSB
dvp_061_org_109	Dartmouth
dvp_061_org_110	University of Georgia
dvp_061_org_111	ROTC
dvp_061_org_112	Dartmouth
dvp_061_org_113	Dartmouth
dvp_061_org_114	Army
dvp_061_org_115	the Dartmouth Vietnam Project
