id	orgName
dvp_062_org_0	Dartmouth College
dvp_062_org_1	[U.S.] Navy
dvp_062_org_2	Navy
dvp_062_org_3	Navy
dvp_062_org_4	Navy
dvp_062_org_5	Piper Aircraft [Inc.]
dvp_062_org_6	R.A.F.
dvp_062_org_7	R.A.F.
dvp_062_org_8	Navy
dvp_062_org_9	Navy
dvp_062_org_10	[U.S.] Naval Research Lab[oratory]
dvp_062_org_11	[U.S.] Army
dvp_062_org_12	[U.S.] Army Air Corps
dvp_062_org_13	Navy
dvp_062_org_14	Lockheed [Corporation, now part of Lockheed Martin]
dvp_062_org_15	Navy
dvp_062_org_16	Navy
dvp_062_org_17	Navy
dvp_062_org_18	Navy
dvp_062_org_19	Navy
dvp_062_org_20	Dartmouth
dvp_062_org_21	Dartmouth
dvp_062_org_22	Dartmouth
dvp_062_org_23	Class of ’66
dvp_062_org_24	[U.S.] Naval Academy
dvp_062_org_25	t[he U.S. Military Academy at] West Point
dvp_062_org_26	 West Point
dvp_062_org_27	Army
dvp_062_org_28	West Point
dvp_062_org_29	Navy
dvp_062_org_30	West Point
dvp_062_org_31	NROTC [Naval Reserve Officers Training Corps]
dvp_062_org_32	Hobart College
dvp_062_org_33	University of Minnesota
dvp_062_org_34	NROTC
dvp_062_org_35	Naval Reserve Officer [Officers] Training Corps
dvp_062_org_36	Naval Academy
dvp_062_org_37	West Point
dvp_062_org_38	West Point
dvp_062_org_39	Army
dvp_062_org_40	West Point
dvp_062_org_41	NROTC
dvp_062_org_42	Dartmouth
dvp_062_org_43	West Point
dvp_062_org_44	Dartmouth
dvp_062_org_45	Naval Academy
dvp_062_org_46	Naval Academy
dvp_062_org_47	Dartmouth
dvp_062_org_48	Naval Academy
dvp_062_org_49	Navy
dvp_062_org_50	Navy
dvp_062_org_51	Navy
dvp_062_org_52	Navy
dvp_062_org_53	Dartmouth
dvp_062_org_54	Dartmouth
dvp_062_org_55	University of Minnesota
dvp_062_org_56	NROTC
dvp_062_org_57	Ivy League
dvp_062_org_58	Dartmouth
dvp_062_org_59	Dartmouth
dvp_062_org_60	Northwestern [University]
dvp_062_org_61	Dartmouth
dvp_062_org_62	Dartmouth
dvp_062_org_63	Dartmouth
dvp_062_org_64	Dartmouth
dvp_062_org_65	NROTC
dvp_062_org_66	NROTC
dvp_062_org_67	NROTC
dvp_062_org_68	NROTC
dvp_062_org_69	Dartmouth
dvp_062_org_70	Dartmouth NROTC
dvp_062_org_71	NROTC
dvp_062_org_72	Dartmouth
dvp_062_org_73	Dartmouth NROTC
dvp_062_org_74	[U.S.] Air Force ROTC
dvp_062_org_75	Dartmouth
dvp_062_org_76	Dartmouth
dvp_062_org_77	NROTC
dvp_062_org_78	Navy
dvp_062_org_79	Dartmouth
dvp_062_org_80	Dartmouth
dvp_062_org_81	Navy
dvp_062_org_82	Dartmouth
dvp_062_org_83	Dartmouth
dvp_062_org_84	Dartmouth
dvp_062_org_85	Dartmouth
dvp_062_org_86	Winona State
dvp_062_org_87	Winona State College
dvp_062_org_88	Winona State University
dvp_062_org_89	Dartmouth
dvp_062_org_90	Dartmouth
dvp_062_org_91	YMCA [Young Men’s Christian Association]
dvp_062_org_92	Army
dvp_062_org_93	Army ROTC
dvp_062_org_94	DVP, the Dartmouth Vietnam Project
dvp_062_org_95	Dartmouth
dvp_062_org_96	Dartmouth
dvp_062_org_97	ROTC
dvp_062_org_98	ROTC
dvp_062_org_99	Navy
dvp_062_org_100	ROTC
dvp_062_org_101	ROTC
dvp_062_org_102	ROTC
dvp_062_org_103	ROTC
dvp_062_org_104	Navy
dvp_062_org_105	Navy
dvp_062_org_106	Navy
dvp_062_org_107	Marine
dvp_062_org_108	Marine
dvp_062_org_109	Dartmouth
dvp_062_org_110	Dartmouth
dvp_062_org_111	Navy ROTC
dvp_062_org_112	NROTC
dvp_062_org_113	USS Albany
dvp_062_org_114	Radcliffe [College, now Radcliffe Institute for Advanced Study at Harvard University]
dvp_062_org_115	ROTC
dvp_062_org_116	Dartmouth
dvp_062_org_117	Dartmouth
dvp_062_org_118	U.S.
dvp_062_org_119	Navy ROTC
dvp_062_org_120	Dartmouth College
dvp_062_org_121	Naval ROTC
dvp_062_org_122	[USS] Intrepid
dvp_062_org_123	USS John W. Weeks
dvp_062_org_124	Naval ROTC
dvp_062_org_125	Dartmouth Naval ROTC
dvp_062_org_126	NROTC
dvp_062_org_127	Army
dvp_062_org_128	Navy
dvp_062_org_129	Dartmouth
dvp_062_org_130	Navy
dvp_062_org_131	Navy
dvp_062_org_132	Dartmouth
dvp_062_org_133	NROTC
dvp_062_org_134	ROTCs
dvp_062_org_135	Dartmouth
dvp_062_org_136	Ivy [League]
dvp_062_org_137	Columbia [University]
dvp_062_org_138	Dartmouth
dvp_062_org_139	Navy
dvp_062_org_140	Navy
dvp_062_org_141	Navy
dvp_062_org_142	ROTC
dvp_062_org_143	Marines
dvp_062_org_144	Army
dvp_062_org_145	Air Force
dvp_062_org_146	Navy
dvp_062_org_147	USS Lexington
dvp_062_org_148	Dartmouth
dvp_062_org_149	Dartmouth Class of ’66
dvp_062_org_150	Thayer [School of Engineering]
dvp_062_org_151	Dartmouth
dvp_062_org_152	[Marine Corps Base] Quantico
dvp_062_org_153	Dartmouth
dvp_062_org_154	Lexington
dvp_062_org_155	Saufley Field
dvp_062_org_156	Lexington
dvp_062_org_157	Navy
dvp_062_org_158	Army
dvp_062_org_159	Navy Seabees
dvp_062_org_160	Navy
dvp_062_org_161	Navy
dvp_062_org_162	Army
