id	persName
dvp_062_person_0	Sandor Farkas
dvp_062_person_1	Nicholas Steffen
dvp_062_person_2	Nicholas Steffen
dvp_062_person_3	Nicholas Steffen
dvp_062_person_4	Robert
dvp_062_person_5	Betty Steffen
dvp_062_person_6	[Maximilian] “Max” Conrad
dvp_062_person_7	Max Conrad
dvp_062_person_8	Max Conrad
dvp_062_person_9	Deacon [William] Peck
dvp_062_person_10	Charlemagne
dvp_062_person_11	Rollo
dvp_062_person_12	Pappy
dvp_062_person_13	Sandor Farkas
dvp_062_person_14	Nicholas Steffen
dvp_062_person_15	[Edward F.] “Ed” Brown [Class of 1966]
dvp_062_person_16	Ed Brown
dvp_062_person_17	Bob
dvp_062_person_18	Sandor Farkas
dvp_062_person_19	Nicholas Steffen
dvp_062_person_20	Admiral [Hyman G.] Rickover
dvp_062_person_21	Kirk [J.] Ditzler
dvp_062_person_22	[Peter B.] “Pete” Richardson [Class of 1966]
dvp_062_person_23	[William B.] “Bill” Hayden
dvp_062_person_24	Evan [K.] “Pat” Woodworth [Class of 1966]
dvp_062_person_25	Sandor
dvp_062_person_26	Sandor
dvp_062_person_27	John Wayne
dvp_062_person_28	Mai Ly
dvp_062_person_29	Nick
dvp_062_person_30	Pete Richardson
dvp_062_person_31	[President Richard M.] Nixon
dvp_062_person_32	Nixon
dvp_062_person_33	Nixon
dvp_062_person_34	[President Lyndon B.] Johnson
dvp_062_person_35	Johnson
dvp_062_person_36	Nixon
dvp_062_person_37	[President Gerald R.] Ford [Jr.]
dvp_062_person_38	Nixon
dvp_062_person_39	Sandor
dvp_062_person_40	Nixon
dvp_062_person_41	[Lt. William L.] [Calley] [Jr., who was convicted for murdering 22 Vietnamese civilians in what became known as the My Lai Massacre]
dvp_062_person_42	Jane Fonda
dvp_062_person_43	Hanoi Jane
dvp_062_person_44	Nixon
dvp_062_person_45	Ford
dvp_062_person_46	Sandor
dvp_062_person_47	Eledenia [H.]
dvp_062_person_48	[Stephen R.] “Steve” Farrow
dvp_062_person_49	Saddam Hussein [Abd al-Majid al-Tikriti]
dvp_062_person_50	Johnson
