id	placeName	QID	dvp_id	coordinate location
dvp_062_place_0	Webster Hall	Q7978928		40.7317,-73.9892
dvp_062_place_1	Henderson	Q49267		36.031666666667,-114.98138888889
dvp_062_place_2	Winona	Q773527		44.047888888889,-91.640438888889
dvp_062_place_3	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_062_place_4	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_062_place_5	Australia	Q3960		-26,141
dvp_062_place_6	Korea	Q18097		38.316666666667,127.23333333333
dvp_062_place_7	Minnesota River	Q1136502		45.302777777778,-96.451944444444
dvp_062_place_8	Minnesota River	Q1136502		45.302777777778,-96.451944444444
dvp_062_place_9	California	Q99		37,-120
dvp_062_place_10	Burbank	Q39561		34.180277777778,-118.32833333333
dvp_062_place_11	Los Angeles	Q65		34.05223,-118.24368
dvp_062_place_12	Minnesota River	Q1136502		45.302777777778,-96.451944444444
dvp_062_place_13	Los Angeles	Q65		34.05223,-118.24368
dvp_062_place_14	Minnesota River	Q1136502		45.302777777778,-96.451944444444
dvp_062_place_15	Los Angeles	Q65		34.05223,-118.24368
dvp_062_place_16	Luxembourg, Germany			
dvp_062_place_17	Prussia	Q918723		53,14
dvp_062_place_18	United States of America	Q30		39.828175,-98.5795
dvp_062_place_19	England	Q21		53,-1
dvp_062_place_20	English Channel	Q34640		50,-2
dvp_062_place_21	Cerin	Q2946657		45.7797,5.54929
dvp_062_place_22	Norway	Q20		65,11
dvp_062_place_23	Ireland	Q22890		53.333333333333,-8
dvp_062_place_24	Winona	Q773527		44.047888888889,-91.640438888889
dvp_062_place_25	Minnesota River	Q1136502		45.302777777778,-96.451944444444
dvp_062_place_26	Minnesota River	Q1136502		45.302777777778,-96.451944444444
dvp_062_place_27	Fort Sheridan	Q1172945		42.2125,-87.8106
dvp_062_place_28	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_062_place_29	Vietnam	Q881		16,108
dvp_062_place_30	French Indochina	Q185682		21.033333333333,105.85
dvp_062_place_31	Điện Biên Phủ	Q36027		21.383333333333,103.01694444444
dvp_062_place_32	Điện Biên Phủ	Q36027		21.383333333333,103.01694444444
dvp_062_place_33	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_062_place_34	Minnesota River	Q1136502		45.302777777778,-96.451944444444
dvp_062_place_35	New York City	Q60		40.712728,-74.006015
dvp_062_place_36	Boston	Q100		42.358333333333,-71.0625
dvp_062_place_37	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_062_place_38	Minneapolis	Q36091		44.981944444444444,-93.26916666666666
dvp_062_place_39	Vietnam	Q881		16,108
dvp_062_place_40	New Hampshire	Q759		44,-71.5
dvp_062_place_41	Brown Hall	Q107671350		43.707306,-72.290344
dvp_062_place_42	Choate Cluster	Q101445656		43.707306,-72.291034
dvp_062_place_43	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_062_place_44	Ledyard Bridge	Q6512790		43.7036,-72.2997
dvp_062_place_45	Vermont	Q16551		44,-72.7
dvp_062_place_46	Ledyard Bridge	Q6512790		43.7036,-72.2997
dvp_062_place_47	New Hampshire	Q759		44,-71.5
dvp_062_place_48	New York State Thruway	Q736574		42.9585979,76.9087202
dvp_062_place_49	Rutland	Q25893		43.6089,-72.9797
dvp_062_place_50	White River Junction	Q1898562		43.6503,-72.3214
dvp_062_place_51	Minnesota River	Q1136502		45.302777777778,-96.451944444444
dvp_062_place_52	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_062_place_53	Long Island	Q18438		40.805805,-73.253616
dvp_062_place_54	Long Island	Q18438		40.805805,-73.253616
dvp_062_place_55	Vietnam	Q881		16,108
dvp_062_place_56	Vietnam	Q881		16,108
dvp_062_place_57	Reed Hall	Q106807202		43.7031,-72.28742
dvp_062_place_58	The Green	Q7738117		43.7033,-72.2886
dvp_062_place_59	McNutt Hall	Q105715821		43.70356,-72.28991
dvp_062_place_60	Parkhurst Hall	Q100952777		43.70404,-72.28995
dvp_062_place_61	Parkhurst Hall	Q100952777		43.70404,-72.28995
dvp_062_place_62	Theatr Myfanwy	Q47004368		51.746151,-3.383134
dvp_062_place_63	Collis Center for Student Involvement	Q100725367		43.70277,-72.28991
dvp_062_place_64	Leverone Field House	Q105046139		43.70091,-72.28271
dvp_062_place_65	The Green	Q7738117		43.7033,-72.2886
dvp_062_place_66	Naval Amphibious Base Little Creek	Q3337215		36.917,-76.164
dvp_062_place_67	Corpus Christi	Q49242		27.742777777778,-97.401944444444
dvp_062_place_68	Boston	Q100		42.358333333333,-71.0625
dvp_062_place_69	Colby–Sawyer College	Q5142055		43.4122,-71.9778
dvp_062_place_70	New London	Q2417089		43.413888888889,-71.985277777778
dvp_062_place_71	Green Mountain College	Q14711908		43.5171,-73.2396
dvp_062_place_72	Vermont	Q16551		44,-72.7
dvp_062_place_73	Smith College	Q49204		42.3175,-72.6375
dvp_062_place_74	Vassar College	Q2093794		41.686866666667,-73.895188888889
dvp_062_place_75	Wellesley College	Q49205		42.29528,-71.30667
dvp_062_place_76	Mount Holyoke College	Q1140542		42.255586,-72.574503
dvp_062_place_77	Boston	Q100		42.358333333333,-71.0625
dvp_062_place_78	Vietnam	Q881		16,108
dvp_062_place_79	Webster Hall	Q7978928		40.7317,-73.9892
dvp_062_place_80	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_062_place_81	Henderson	Q49267		36.031666666667,-114.98138888889
dvp_062_place_82	Vietnam	Q881		16,108
dvp_062_place_83	Vietnam	Q881		16,108
dvp_062_place_84	Newport	Q54264		41.488002,-71.312622
dvp_062_place_85	Newport	Q54264		41.488002,-71.312622
dvp_062_place_86	Norfolk	Q49231		36.854627777778,-76.274394444444
dvp_062_place_87	Boston	Q100		42.358333333333,-71.0625
dvp_062_place_88	Salem	Q54140		42.516845,-70.898503
dvp_062_place_89	Salem	Q54140		42.516845,-70.898503
dvp_062_place_90	Boston	Q100		42.358333333333,-71.0625
dvp_062_place_91	Canada	Q16		56,-109
dvp_062_place_92	Quebec City	Q2145		46.816111,-71.224167
dvp_062_place_93	Quebec City	Q2145		46.816111,-71.224167
dvp_062_place_94	St. Lawrence River	Q134750		49.666666666667,-64.5
dvp_062_place_95	Norfolk	Q23109		52.666666666667,1
dvp_062_place_96	United States of America	Q30		39.828175,-98.5795
dvp_062_place_97	Corpus Christi	Q49242		27.742777777778,-97.401944444444
dvp_062_place_98	Naval Station Norfolk	Q1627684		36.945,-76.3133
dvp_062_place_99	South Weymouth	Q54195		42.1315,70.5625
dvp_062_place_100	Boston	Q100		42.358333333333,-71.0625
dvp_062_place_101	Pensacola	Q486306		30.433333333333,-87.2
dvp_062_place_102	BEMA [Big Empty Meeting Area]	Q98636182		43.70521,-72.28445
dvp_062_place_103	BEMA [Big Empty Meeting Area]	Q98636182		43.70521,-72.28445
dvp_062_place_104	Baker Memorial Library	Q4849183		43.705,-72.289166666667
dvp_062_place_105	Minnesota River	Q1136502		45.302777777778,-96.451944444444
dvp_062_place_106	Pensacola	Q486306		30.433333333333,-87.2
dvp_062_place_107	Pensacola	Q486306		30.433333333333,-87.2
dvp_062_place_108	Pensacola	Q486306		30.433333333333,-87.2
dvp_062_place_109	Patuxent River	Q432641		39.348611111111,-77.1775
dvp_062_place_110	Vietnam	Q881		16,108
dvp_062_place_111	Vietnam	Q881		16,108
dvp_062_place_112	Da Nang	Q25282		16.069444444444443,108.20972222222223
dvp_062_place_113	Pensacola	Q486306		30.433333333333,-87.2
dvp_062_place_114	Pensacola	Q486306		30.433333333333,-87.2
dvp_062_place_115	Naval Air Station Patuxent River	Q1972204		38.2837401,-76.4185285
dvp_062_place_116	Pensacola	Q486306		30.433333333333,-87.2
dvp_062_place_117	Naval Air Station Whiting Field	Q4468454		30.7125,-87.0183
dvp_062_place_118	Vietnam	Q881		16,108
dvp_062_place_119	Vietnam	Q881		16,108
dvp_062_place_120	Vietnam	Q881		16,108
dvp_062_place_121	Vietnam	Q881		16,108
dvp_062_place_122	Corpus Christi	Q49242		27.742777777778,-97.401944444444
dvp_062_place_123	Vietnam	Q881		16,108
dvp_062_place_124	Patuxent River	Q432641		39.348611111111,-77.1775
dvp_062_place_125	Vietnam	Q881		16,108
dvp_062_place_126	Vietnam	Q881		16,108
dvp_062_place_127	Vietnam	Q881		16,108
dvp_062_place_128	Vietnam	Q881		16,108
dvp_062_place_129	Patuxent River	Q432641		39.348611111111,-77.1775
dvp_062_place_130	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_062_place_131	Baltimore	Q5092		39.286388888889,-76.615
dvp_062_place_132	Hawaii	Q782		21.3075,-157.8575
dvp_062_place_133	Magallanes	Q31810196		12.82917,123.83639
dvp_062_place_134	Tan Son Nhut Air Base	Q4115006		10.818888888889,106.65194444444
dvp_062_place_135	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_062_place_136	Vietnam	Q881		16,108
dvp_062_place_137	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_062_place_138	Tan Son Nhut Air Base	Q4115006		10.818888888889,106.65194444444
