id	name
dvp_063_event_0	Vietnam
dvp_063_event_1	World War II
dvp_063_event_2	Korea [the Korean War]
dvp_063_event_3	Vietnam [the Vietnam War]
dvp_063_event_4	Korea War
dvp_063_event_5	March on Washington
dvp_063_event_6	March on Washington
dvp_063_event_7	Woodstock [Music & Art Fair]
dvp_063_event_8	Vietnam
dvp_063_event_9	Vietnam
dvp_063_event_10	[the Battle of] Điện Biên Phủ
dvp_063_event_11	assassination of Điện
dvp_063_event_12	Gulf of Tonkin incident
dvp_063_event_13	Gulf of Tonkin
dvp_063_event_14	Winter Carnival on my freshman year
dvp_063_event_15	Vietnam
dvp_063_event_16	Vietnam
dvp_063_event_17	Vietnam
dvp_063_event_18	World War II
dvp_063_event_19	World War II
dvp_063_event_20	World War II
dvp_063_event_21	[the atomic bombing by the U.S. of] Hiroshima
dvp_063_event_22	Vietnam
dvp_063_event_23	Vietnam War
dvp_063_event_24	Vietnam War
dvp_063_event_25	dropping the bomb on Hiroshima
dvp_063_event_26	Gulf of Tonkin
dvp_063_event_27	Iraq
dvp_063_event_28	Iraq
dvp_063_event_29	Afghanistan [wars]
dvp_063_event_30	Mỹ Lai [Massacre]
dvp_063_event_31	assassination of Martin Luther King
dvp_063_event_32	[Robert F.] “Bobby” Kennedy
dvp_063_event_33	JFK [President John F. Kennedy]
dvp_063_event_34	Watergate
dvp_063_event_35	Watergate
dvp_063_event_36	fall of Saigon
dvp_063_event_37	invasion of Iraq
dvp_063_event_38	Gulf of Tonkin
dvp_063_event_39	Vietnam
dvp_063_event_40	dropping the bomb on Hiroshima
dvp_063_event_41	Iraq
dvp_063_event_42	Afghanistan
dvp_063_event_43	Vietnam
dvp_063_event_44	World War II
dvp_063_event_45	Vietnam
dvp_063_event_46	Vietnam
dvp_063_event_47	Vietnam
