id	orgName
dvp_064_org_0	Detecto Scales [sic; Detecto Scale Company]
dvp_064_org_1	Detecto Scales
dvp_064_org_2	Shellbank [Jewish Center]
dvp_064_org_3	Sheepshead Bay High School
dvp_064_org_4	Sheepshead Bay High School
dvp_064_org_5	Brooklyn College
dvp_064_org_6	Hunter College
dvp_064_org_7	Brooklyn College
dvp_064_org_8	Hunter College
dvp_064_org_9	Brooklyn College
dvp_064_org_10	Hunter College
dvp_064_org_11	Grand Lake Lodge
dvp_064_org_12	Hunter
dvp_064_org_13	Hunter
dvp_064_org_14	Hunter
dvp_064_org_15	AEPi [alpha Epsilon Pi]
dvp_064_org_16	AEPi
dvp_064_org_17	New York Rangers
dvp_064_org_18	UConn [University of Connecticut]
dvp_064_org_19	Hunter
dvp_064_org_20	Hunter
dvp_064_org_21	University of Miami
dvp_064_org_22	Hunter
dvp_064_org_23	Peace Corps
dvp_064_org_24	[U.S.] Army
dvp_064_org_25	Peace Corps
dvp_064_org_26	Peace Corps
dvp_064_org_27	Army
dvp_064_org_28	Army
dvp_064_org_29	Army
dvp_064_org_30	Army
dvp_064_org_31	[U.S.] Coast Guard
dvp_064_org_32	Coast Guard
dvp_064_org_33	Peace Corps
dvp_064_org_34	Peace Corps
dvp_064_org_35	Army
dvp_064_org_36	Peace Corps
dvp_064_org_37	Army
dvp_064_org_38	Peace Corps
dvp_064_org_39	Peace Corps
dvp_064_org_40	Peace Corps
dvp_064_org_41	Peace Corps
dvp_064_org_42	Peace Corps
dvp_064_org_43	Peace Corps
dvp_064_org_44	Peace Corps
dvp_064_org_45	Dartmouth
dvp_064_org_46	Dartmouth
dvp_064_org_47	Dartmouth
dvp_064_org_48	Dartmouth
dvp_064_org_49	Peace Corps
dvp_064_org_50	Peace Corps
dvp_064_org_51	Dartmouth
dvp_064_org_52	Dartmouth
dvp_064_org_53	Peace Corps
dvp_064_org_54	Peace Corps
dvp_064_org_55	Dartmouth
dvp_064_org_56	Dartmouth
dvp_064_org_57	Peace Corps
dvp_064_org_58	Peace Corps
dvp_064_org_59	Dartmouth
dvp_064_org_60	Armed Forces Radio [and Television Service, now Armed Forces Network]
dvp_064_org_61	Peace Corps
dvp_064_org_62	Peace Corps
dvp_064_org_63	Peace Corps
dvp_064_org_64	Peace Corps
dvp_064_org_65	Peace Corps
dvp_064_org_66	Peace Corps
dvp_064_org_67	Peace Corps
dvp_064_org_68	Peace Corps
dvp_064_org_69	Peace Corps
dvp_064_org_70	Peace Corps
dvp_064_org_71	Peace Corps
dvp_064_org_72	Peace Corps
dvp_064_org_73	Peace Corps
dvp_064_org_74	Peace Corps
dvp_064_org_75	Kentucky Fried [Chicken, commonly known as KFC]
dvp_064_org_76	Peace Corps
dvp_064_org_77	Peace Corps
dvp_064_org_78	Peace Corps
dvp_064_org_79	Chuck’s Steakhouse
dvp_064_org_80	Peace Corps
dvp_064_org_81	Peace Corps
dvp_064_org_82	Armed Forces Radio
dvp_064_org_83	Armed Forces Radio
dvp_064_org_84	BBC [British Broadcasting Corporation]
dvp_064_org_85	Armed Forces Radio
dvp_064_org_86	Peace Corps
dvp_064_org_87	Peace Corps
dvp_064_org_88	Peace Corps
dvp_064_org_89	Peace Corps
dvp_064_org_90	Peace Corps
dvp_064_org_91	Peace Corps
dvp_064_org_92	Peace Corps
dvp_064_org_93	Peace Corps
dvp_064_org_94	Peace Corps
dvp_064_org_95	Southern [Connecticut State University]
dvp_064_org_96	UConn
dvp_064_org_97	UConn
dvp_064_org_98	UConn
dvp_064_org_99	University of Connecticut
dvp_064_org_100	UConn
dvp_064_org_101	UConn
dvp_064_org_102	Manchester Association for Retarded Citizens
dvp_064_org_103	North Vietnamese
dvp_064_org_104	Peace Corps
dvp_064_org_105	Peace Corps
dvp_064_org_106	Hockanum Industries
dvp_064_org_107	State of Connecticut
dvp_064_org_108	Peace Corps
