id	placeName
dvp_064_place_0	Dartmouth College
dvp_064_place_1	Rauner Special Collections Library
dvp_064_place_2	Hanover, New Hampshire
dvp_064_place_3	Vernon, Connecticut
dvp_064_place_4	New York City
dvp_064_place_5	New York
dvp_064_place_6	Brooklyn
dvp_064_place_7	New York
dvp_064_place_8	Manhattan
dvp_064_place_9	Garment District
dvp_064_place_10	Brooklyn
dvp_064_place_11	New York City
dvp_064_place_12	Sheepshead Bay
dvp_064_place_13	Sheepshead Bay
dvp_064_place_14	New York
dvp_064_place_15	Manhattan
dvp_064_place_16	Connecticut
dvp_064_place_17	Connecticut
dvp_064_place_18	Lebanon
dvp_064_place_19	Catskills (the Catskill Mountains)
dvp_064_place_20	New York
dvp_064_place_21	Colchester [Connecticut]
dvp_064_place_22	Colchester
dvp_064_place_23	Hunter
dvp_064_place_24	Brooklyn
dvp_064_place_25	Brooklyn
dvp_064_place_26	Brooklyn
dvp_064_place_27	Madison Square Garden
dvp_064_place_28	Garden
dvp_064_place_29	Storrs [Connecticut]
dvp_064_place_30	Canada
dvp_064_place_31	Canada
dvp_064_place_32	Dartmouth
dvp_064_place_33	[John F.] Kennedy [International] Airport
dvp_064_place_34	LaGuardia [Airport]
dvp_064_place_35	Hanover, New Hampshire
dvp_064_place_36	Dartmouth
dvp_064_place_37	Dartmouth College
dvp_064_place_38	New Hampshire
dvp_064_place_39	French West Africa
dvp_064_place_40	French West Africa
dvp_064_place_41	French West Africa
dvp_064_place_42	Micronesia
dvp_064_place_43	French West Africa
dvp_064_place_44	French West Africa
dvp_064_place_45	New York City
dvp_064_place_46	Dartmouth
dvp_064_place_47	Quebec
dvp_064_place_48	French West Africa
dvp_064_place_49	French West Africa
dvp_064_place_50	Ivory Coast
dvp_064_place_51	Brooklyn
dvp_064_place_52	Togo
dvp_064_place_53	Togo
dvp_064_place_54	JFK
dvp_064_place_55	France
dvp_064_place_56	France
dvp_064_place_57	Togo
dvp_064_place_58	French West Africa
dvp_064_place_59	Togo
dvp_064_place_60	Togo
dvp_064_place_61	Lomé
dvp_064_place_62	Togo
dvp_064_place_63	Bafilo
dvp_064_place_64	Israel
dvp_064_place_65	Togo
dvp_064_place_66	America
dvp_064_place_67	United States
dvp_064_place_68	United States
dvp_064_place_69	United States
dvp_064_place_70	Togo
dvp_064_place_71	Kenya
dvp_064_place_72	Tanzania
dvp_064_place_73	Togo
dvp_064_place_74	Togo
dvp_064_place_75	Togo
dvp_064_place_76	Togo
dvp_064_place_77	Togo
dvp_064_place_78	Togo
dvp_064_place_79	North Africa
dvp_064_place_80	Spain
dvp_064_place_81	Portugal
dvp_064_place_82	France
dvp_064_place_83	Marrakesh
dvp_064_place_84	Morocco
dvp_064_place_85	The Ivory Coast
dvp_064_place_86	Portugal
dvp_064_place_87	Spain
dvp_064_place_88	JFK
dvp_064_place_89	Brooklyn
dvp_064_place_90	Manhattan
dvp_064_place_91	Connecticut
dvp_064_place_92	Manhattan
dvp_064_place_93	Harlem
dvp_064_place_94	New York
dvp_064_place_95	United States
dvp_064_place_96	Canada
dvp_064_place_97	States
dvp_064_place_98	Manhattan
dvp_064_place_99	Vietnam
dvp_064_place_100	Manhattan
dvp_064_place_101	Harlem
dvp_064_place_102	Harlem
dvp_064_place_103	Manhattan
dvp_064_place_104	Harlem
dvp_064_place_105	Manhattan
dvp_064_place_106	Harlem
dvp_064_place_107	Manhattan
dvp_064_place_108	Harlem
dvp_064_place_109	Manhattan
dvp_064_place_110	Harlem
dvp_064_place_111	New York
dvp_064_place_112	Harlem
dvp_064_place_113	Harlem
dvp_064_place_114	Harlem
dvp_064_place_115	Harlem
dvp_064_place_116	New York
dvp_064_place_117	Connecticut
dvp_064_place_118	Harlem
dvp_064_place_119	Connecticut
dvp_064_place_120	Connecticut
dvp_064_place_121	UConn
dvp_064_place_122	Kentucky
dvp_064_place_123	Danbury
dvp_064_place_124	Danbury [Connecticut]
dvp_064_place_125	New York
dvp_064_place_126	Manchester
dvp_064_place_127	Vernon
dvp_064_place_128	Vietnam
dvp_064_place_129	Vietnam
dvp_064_place_130	Saigon
dvp_064_place_131	Connecticut
dvp_064_place_132	Brewster, New York
dvp_064_place_133	Manchester [Connecticut]
dvp_064_place_134	[Connecticut] Route 44
dvp_064_place_135	Greenhouse
