id	name	QID	dvp_id	start time	end time	point in time
dvp_017_event_0	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_1	The Holocaust	Q2763		1941-01-01T00:00:00Z	1945-01-01T00:00:00Z	
dvp_017_event_2	The Holocaust	Q2763		1941-01-01T00:00:00Z	1945-01-01T00:00:00Z	
dvp_017_event_3	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_4	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_5	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_6	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_7	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_8	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_9	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_10	Parkhurst Hall Takeover	Q101424872		1969-05-06T00:00:00Z	1969-05-07T00:00:00Z	1969-05-06T00:00:00Z
dvp_017_event_11	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_12	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_13	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_14	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_017_event_15	The Holocaust	Q2763		1941-01-01T00:00:00Z	1945-01-01T00:00:00Z	
dvp_017_event_16	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_17	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_017_event_18	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	
