id	orgName	QID	dvp_id
dvp_066_org_0	Dartmouth Vietnam Project	Q108871744	
dvp_066_org_1	Dartmouth College	Q49116	
dvp_066_org_2	Ku Klux Klan	Q47131	
dvp_066_org_3	Terra Haute		
dvp_066_org_4	Milwaukee Journal Sentinel	Q1765623	
dvp_066_org_5	Dartmouth College	Q49116	
dvp_066_org_6	Dartmouth College	Q49116	
dvp_066_org_7	Dartmouth College	Q49116	
dvp_066_org_8	Dartmouth College	Q49116	
dvp_066_org_9	Dartmouth College	Q49116	
dvp_066_org_10	Dartmouth College	Q49116	
dvp_066_org_11	Dartmouth College	Q49116	
dvp_066_org_12	A Better Chance	Q25469497	
dvp_066_org_13	A Better Chance	Q25469497	
dvp_066_org_14	Everybody Can Win program	Q109269723	
dvp_066_org_15	United States Army	Q9212	
dvp_066_org_16	Dartmouth College	Q49116	
dvp_066_org_17	Johns Hopkins University	Q193727	
dvp_066_org_18	University of Maryland	Q503415	
dvp_066_org_19	Valparaiso University	Q186047	
dvp_066_org_20	Dartmouth College	Q49116	
dvp_066_org_21	Dartmouth College	Q49116	
dvp_066_org_22	University of Maryland	Q503415	
dvp_066_org_23	United States Navy Medical Service Corps	Q1764464	
dvp_066_org_24	United States Army	Q9212	
dvp_066_org_25	United States Navy Medical Service Corps	Q1764464	
dvp_066_org_26	Ireland Army Community Hospital	Q6068528	
dvp_066_org_27	University of Maryland	Q503415	
dvp_066_org_28	United States Army 2nd General Hospital	Q70599623	
dvp_066_org_29	United States Army	Q9212	
dvp_066_org_30	United States Army	Q9212	
dvp_066_org_31	United States Navy Medical Service Corps	Q1764464	
dvp_066_org_32	Small Business Administration	Q495354	
dvp_066_org_33	Small Business Administration	Q495354	
dvp_066_org_34	United States Navy Medical Service Corps	Q1764464	
dvp_066_org_35	Medical Civic Action Program in South Viet Nam	Q72779402	
dvp_066_org_36	United States Department of Veterans Affairs	Q592576	
dvp_066_org_37	Republican Party	Q29468	
dvp_066_org_38	United States Department of Veterans Affairs	Q592576	
dvp_066_org_39	KBR, Inc.	Q596499	
dvp_066_org_40	KBR, Inc.	Q596499	
dvp_066_org_41	The Supreme Court	Q55025499	
dvp_066_org_42	Occupational Safety and Health Review Commission	Q7075792	
dvp_066_org_43	United States Army	Q9212	
dvp_066_org_44	Harvard Stem Cell Institute	Q40771227	
dvp_066_org_45	Dartmouth College	Q49116	
dvp_066_org_46	Johns Hopkins University	Q193727	
dvp_066_org_47	Republican Party	Q29468	
dvp_066_org_48	Democratic Party	Q29552	
dvp_066_org_49	Democratic Party	Q29552	
dvp_066_org_50	presidency of Richard Nixon	Q7241106	
