id	name
dvp_067_event_0	World War II
dvp_067_event_1	war in Vietnam
dvp_067_event_2	Vietnam War
dvp_067_event_3	Vietnam
dvp_067_event_4	Vietnam
dvp_067_event_5	Tet Offensive
dvp_067_event_6	Tet Offensive
dvp_067_event_7	Tet Offensive
dvp_067_event_8	Tet Offensive
dvp_067_event_9	Tet Offensive
dvp_067_event_10	Tet Offensive
dvp_067_event_11	World War II
dvp_067_event_12	Tet offensive
dvp_067_event_13	Vietnam War
dvp_067_event_14	Vietnam
dvp_067_event_15	Vietnam
dvp_067_event_16	Mỹ Lai Massacre
