id	placeName
dvp_067_place_0	Rauner [Special Collections] Library
dvp_067_place_1	Boston, Massachusetts
dvp_067_place_2	Watertown
dvp_067_place_3	Los Angeles
dvp_067_place_4	Charles River
dvp_067_place_5	Charles
dvp_067_place_6	Cambridge
dvp_067_place_7	Brighton
dvp_067_place_8	Charles River
dvp_067_place_9	Dartmouth
dvp_067_place_10	Los Angeles
dvp_067_place_11	Vietnam
dvp_067_place_12	New Hampshire
dvp_067_place_13	Los Angeles
dvp_067_place_14	Connecticut
dvp_067_place_15	Connecticut
dvp_067_place_16	New Hampshire
dvp_067_place_17	New Hampshire
dvp_067_place_18	United States
dvp_067_place_19	[Dartmouth] Skiway
dvp_067_place_20	New Hampshire
dvp_067_place_21	Boston
dvp_067_place_22	Cambridge
dvp_067_place_23	Hanover
dvp_067_place_24	Germany
dvp_067_place_25	Germany
dvp_067_place_26	Germany
dvp_067_place_27	Los Angeles
dvp_067_place_28	Los Angeles
dvp_067_place_29	Vietnam
dvp_067_place_30	Saigon
dvp_067_place_31	Saigon
dvp_067_place_32	Fort Gordon, Georgia
dvp_067_place_33	Fort Sill, Oklahoma
dvp_067_place_34	Fort Benning, Georgia
dvp_067_place_35	Fort Benning
dvp_067_place_36	Fort Gordon
dvp_067_place_37	Fort Benning
dvp_067_place_38	Fort Bragg [North Carolina]
dvp_067_place_39	Detroit
dvp_067_place_40	Detroit
dvp_067_place_41	Detroit
dvp_067_place_42	Detroit
dvp_067_place_43	Detroit
dvp_067_place_44	Detroit
dvp_067_place_45	Fort Bragg
dvp_067_place_46	Vietnam
dvp_067_place_47	Nam
dvp_067_place_48	South
dvp_067_place_49	Nam
dvp_067_place_50	Fort Monmouth [New Jersey]
dvp_067_place_51	Vietnam
dvp_067_place_52	Los Angeles
dvp_067_place_53	Nam
dvp_067_place_54	Duc Pho
dvp_067_place_55	I Corps [I is pronounced like eye], Vietnam
dvp_067_place_56	Vietnam
dvp_067_place_57	Da Nang
dvp_067_place_58	III [pronounced three] Corps
dvp_067_place_59	Saigon
dvp_067_place_60	Route 1 [National Route 1A]
dvp_067_place_61	Nam
dvp_067_place_62	Biên Hòa
dvp_067_place_63	Camp Eagle
dvp_067_place_64	Phu Bai [Combat Base]
dvp_067_place_65	Da Nang
dvp_067_place_66	Hué
dvp_067_place_67	DMZ [Demilitarized Zone]
dvp_067_place_68	North Vietnam
dvp_067_place_69	Fort Campbell, Kentucky
dvp_067_place_70	Phu Bai
dvp_067_place_71	Vietnam
dvp_067_place_72	I Corps
dvp_067_place_73	Da Nang
dvp_067_place_74	Saigon
dvp_067_place_75	Saigon
dvp_067_place_76	Vietnam
dvp_067_place_77	I Corps
dvp_067_place_78	England
dvp_067_place_79	Japan
dvp_067_place_80	Da Nang
dvp_067_place_81	Vietnam
dvp_067_place_82	Vietnam
dvp_067_place_83	Fairfield, Connecticut
dvp_067_place_84	Vietnam
dvp_067_place_85	Vietnam
dvp_067_place_86	Vietnam
dvp_067_place_87	Vietnam
dvp_067_place_88	Vietnam
dvp_067_place_89	Kentucky
dvp_067_place_90	Da Nang
dvp_067_place_91	Stateside
dvp_067_place_92	States
dvp_067_place_93	Brooklyn
dvp_067_place_94	New York
dvp_067_place_95	Vietnam
dvp_067_place_96	Vietnam
dvp_067_place_97	Vietnam
dvp_067_place_98	Fairfield
dvp_067_place_99	Nam
dvp_067_place_100	Wall [Vietnam Veterans Memorial]
dvp_067_place_101	Washington
dvp_067_place_102	Wall
dvp_067_place_103	Memorial
dvp_067_place_104	Vietnam
dvp_067_place_105	Nam
dvp_067_place_106	Dickey’s
dvp_067_place_107	Second College Grant
dvp_067_place_108	Mooselauke Ravine Lodge
dvp_067_place_109	Vietnam
