id	placeName	QID	dvp_id	coordinate location
dvp_068_place_0	Dartmouth College Library	Q52633263		43.7054,-72.2887
dvp_068_place_1	Hanover	Q131908		43.7,-72.28333333333333
dvp_068_place_2	Vietnam	Q881		16,108
dvp_068_place_3	Warrenton	Q971979		38.71345,-77.79527
dvp_068_place_4	Warrenton	Q971979		38.71345,-77.79527
dvp_068_place_5	United States Military Academy	Q9219		41.39277778,-73.95833333
dvp_068_place_6	Germany	Q183		51,10
dvp_068_place_7	Okinawa	Q328615		26.334166666667,127.80555555556
dvp_068_place_8	Panama	Q804		8.616667,-80.366667
dvp_068_place_9	Kansas	Q1558		38.5,-98
dvp_068_place_10	New York	Q1384		43,-75
dvp_068_place_11	United States Military Academy	Q9219		41.39277778,-73.95833333
dvp_068_place_12	Carlisle	Q1010228		40.2025,-77.195
dvp_068_place_13	Carlisle	Q1010228		40.2025,-77.195
dvp_068_place_14	Germany	Q183		51,10
dvp_068_place_15	Okinawa	Q328615		26.334166666667,127.80555555556
dvp_068_place_16	Panama	Q804		8.616667,-80.366667
dvp_068_place_17	United States of America	Q30		39.828175,-98.5795
dvp_068_place_18	Germany	Q183		51,10
dvp_068_place_19	Panama	Q804		8.616667,-80.366667
dvp_068_place_20	Okinawa	Q328615		26.334166666667,127.80555555556
dvp_068_place_21	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_068_place_22	Pottstown	Q1185890		40.2497,-75.6403
dvp_068_place_23	Okinawa	Q328615		26.334166666667,127.80555555556
dvp_068_place_24	The Hill School	Q7739685		40.2449,-75.6331
dvp_068_place_25	United States Military Academy	Q9219		41.39277778,-73.95833333
dvp_068_place_26	Carlisle	Q1010228		40.2025,-77.195
dvp_068_place_27	United States Military Academy	Q9219		41.39277778,-73.95833333
dvp_068_place_28	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_29	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_30	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_068_place_31	Hanover	Q131908		43.7,-72.28333333333333
dvp_068_place_32	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_068_place_33	Connecticut River	Q379648		45.2375,-71.2				
dvp_068_place_34	Boston	Q100		42.358333333333,-71.0625
dvp_068_place_35	United States Military Academy	Q9219		41.39277778,-73.95833333
dvp_068_place_36	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_37	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_38	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_39	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_40	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_41	Colby–Sawyer College	Q5142055		43.4122,-71.9778
dvp_068_place_42	Smith College	Q49204		42.3175,-72.6375
dvp_068_place_43	Boston College	Q49118		42.335083333333,-71.170361111111
dvp_068_place_44	Skidmore College	Q7535073		43.097777777778,-73.785277777778
dvp_068_place_45	Bennington College	Q817902		42.924817,-73.23673
dvp_068_place_46	Hanover	Q131908		43.7,-72.28333333333333
dvp_068_place_47	BEMA [Big Empty Meeting Area]	Q98636182		43.70521,-72.28445
dvp_068_place_48	Bartlett Tower	Q104904701		43.70602,-72.28488
dvp_068_place_49	Fort Devens (CDP), Massachusetts	Q5471060		42.5371,-72.6155
dvp_068_place_50	Boston	Q100		42.358333333333,-71.0625
dvp_068_place_51	Fort Devens (CDP), Massachusetts	Q5471060		42.5371,-72.6155
dvp_068_place_52	Germany	Q183		51,10
dvp_068_place_53	Seattle	Q5083		47.60621,-122.33207
dvp_068_place_54	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_55	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_56	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_57	Webster Avenue	Q105454005		43.70652,-72.29225
dvp_068_place_58	Dartmouth College Library	Q52633263		43.7054,-72.2887
dvp_068_place_59	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_60	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_61	Dartmouth College	Q49116		43.703333333333,-72.288333333333
