id	orgName
dvp_069_org_0	The Eastman Kodak Company
dvp_069_org_1	Xerox [Corporation]
dvp_069_org_2	Bausch and Lomb
dvp_069_org_3	University of Rochester
dvp_069_org_4	Rochester Institute of Technology
dvp_069_org_5	Little League
dvp_069_org_6	Dartmouth
dvp_069_org_7	Republican
dvp_069_org_8	Republican
dvp_069_org_9	American Baptist Convention
dvp_069_org_10	Southern Baptist Convention
dvp_069_org_11	Republican
dvp_069_org_12	Dartmouth
dvp_069_org_13	Dartmouth
dvp_069_org_14	Brighton High School
dvp_069_org_15	Motown
dvp_069_org_16	Motown
dvp_069_org_17	Dartmouth
dvp_069_org_18	Wells College
dvp_069_org_19	Cornell[University]
dvp_069_org_20	Colgate [University]
dvp_069_org_21	Dartmouth
dvp_069_org_22	Class of ’45
dvp_069_org_23	Colgate
dvp_069_org_24	Colgate
dvp_069_org_25	Colgate
dvp_069_org_26	Dartmouth
dvp_069_org_27	Ohio [Athletic] Conference
dvp_069_org_28	Wittenberg [University]
dvp_069_org_29	Cornell
dvp_069_org_30	Colgate
dvp_069_org_31	Cornell
dvp_069_org_32	Dartmouth
dvp_069_org_33	State University Teachers College
dvp_069_org_34	Dartmouth
dvp_069_org_35	Dartmouth
dvp_069_org_36	Ivy League
dvp_069_org_37	Ivy League’s
dvp_069_org_38	Dartmouth
dvp_069_org_39	Tuck
dvp_069_org_40	Phi Delt [member of Phi Delta Alpha]
dvp_069_org_41	Phi Delt
dvp_069_org_42	Phi Delt
dvp_069_org_43	Phi Delt
dvp_069_org_44	Phi Delt
dvp_069_org_45	Theta Delt[a Chi]
dvp_069_org_46	Beta [Theta Pi, now Beta Alpha Omega]
dvp_069_org_47	Dartmouth
dvp_069_org_48	Dartmouth
dvp_069_org_49	Dartmouth
dvp_069_org_50	Phi Delt
dvp_069_org_51	WDCR
dvp_069_org_52	WDCR
dvp_069_org_53	WTSL
dvp_069_org_54	WDCR
dvp_069_org_55	DCR
dvp_069_org_56	WDCR
dvp_069_org_57	Dartmouth
dvp_069_org_58	Dartmouth
dvp_069_org_59	Dartmouth
dvp_069_org_60	Dartmouth
dvp_069_org_61	DCR
dvp_069_org_62	HEW [United States Department of Health, Education, and Welfare; now United States Department of Health and Human Services]
dvp_069_org_63	Dartmouth
dvp_069_org_64	Dartmouth
dvp_069_org_65	Democratic
dvp_069_org_66	Dartmouth
dvp_069_org_67	Dartmouth
dvp_069_org_68	WDCR
dvp_069_org_69	Dartmouth
dvp_069_org_70	Dartmouth College
dvp_069_org_71	Dartmouth
dvp_069_org_72	Princeton [University]
dvp_069_org_73	Dartmouth
dvp_069_org_74	National Guard
dvp_069_org_75	Manchester Union-Leader [now New Hampshire Union-Leader]
dvp_069_org_76	Dartmouth
dvp_069_org_77	Dartmouth
dvp_069_org_78	Dartmouth
dvp_069_org_79	Phi Delt
dvp_069_org_80	National Guard [of the U.S.]
dvp_069_org_81	National Guard
dvp_069_org_82	Army
dvp_069_org_83	National Guard
dvp_069_org_84	Army
dvp_069_org_85	National Guard
dvp_069_org_86	National Guard
dvp_069_org_87	National Guard
dvp_069_org_88	National Guard
dvp_069_org_89	National Guard
dvp_069_org_90	Vanderbilt [University]
dvp_069_org_91	National Guard
dvp_069_org_92	National Guard
dvp_069_org_93	National Guard
dvp_069_org_94	National Guard
dvp_069_org_95	Vandy
dvp_069_org_96	Supreme Court
dvp_069_org_97	Dartmouth
dvp_069_org_98	Dow Chemical [Company]
dvp_069_org_99	Vanderbilt
dvp_069_org_100	Vandy
dvp_069_org_101	Vandy
dvp_069_org_102	National Guard
dvp_069_org_103	Tuck [School of Business]
dvp_069_org_104	Miller Auto [Group]
dvp_069_org_105	National Guard
dvp_069_org_106	Special Forces
dvp_069_org_107	Ranger
dvp_069_org_108	Army
dvp_069_org_109	SEALs [U.S. Navy’s Sea, Air, Land teams]
dvp_069_org_110	Rangers
dvp_069_org_111	Tuck
dvp_069_org_112	Tuck
dvp_069_org_113	Class of ’77
dvp_069_org_114	Tuck
dvp_069_org_115	Tuck
dvp_069_org_116	Tuck School
dvp_069_org_117	Tuck
dvp_069_org_118	Tuck
dvp_069_org_119	Tuck
dvp_069_org_120	Tuck
dvp_069_org_121	Tuck
dvp_069_org_122	Tuck School
dvp_069_org_123	Tuck
dvp_069_org_124	Tuck
dvp_069_org_125	Tuck
dvp_069_org_126	Tuck
dvp_069_org_127	Dartmouth
dvp_069_org_128	Tuck
dvp_069_org_129	Tuck
dvp_069_org_130	Tuck
dvp_069_org_131	Democrat
dvp_069_org_132	Dartmouth
dvp_069_org_133	National Guard
dvp_069_org_134	Dartmouth
dvp_069_org_135	Dartmouth
dvp_069_org_136	Tuck
dvp_069_org_137	Tuck
dvp_069_org_138	Tuck
dvp_069_org_139	Tuck
dvp_069_org_140	Tuck
dvp_069_org_141	Tuck
dvp_069_org_142	Tuck
dvp_069_org_143	Dartmouth
dvp_069_org_144	Vanderbilt
dvp_069_org_145	Tuck
dvp_069_org_146	Democratic Party
dvp_069_org_147	Republicans
dvp_069_org_148	Ms. Magazine
dvp_069_org_149	AmeriCares
dvp_069_org_150	AmeriCares
dvp_069_org_151	Abbott Labs
dvp_069_org_152	Tuck
dvp_069_org_153	Tuck
dvp_069_org_154	Tuck
dvp_069_org_155	Tuck
dvp_069_org_156	Vietnam
dvp_069_org_157	Tuck
dvp_069_org_158	NYU Business School [sic; the New York University Stern School of Business]
dvp_069_org_159	Tuck
dvp_069_org_160	Rocky [Nelson A. Rockefeller Center for Public Policy]
dvp_069_org_161	Rocky
dvp_069_org_162	Rocky
dvp_069_org_163	Commonwealth of Massachusetts
dvp_069_org_164	Dartmouth Vietnam Project
dvp_069_org_165	Dartmouth
dvp_069_org_166	Dartmouth
dvp_069_org_167	Dartmouth
dvp_069_org_168	Dartmouth Vietnam Project
dvp_069_org_169	United States
dvp_069_org_170	WDCR
dvp_069_org_171	Vietnam
dvp_069_org_172	Dartmouth
dvp_069_org_173	Dartmouth
dvp_069_org_174	Soviet Union
