id	placeName
dvp_069_place_0	Rauner [Special Collections] Library
dvp_069_place_1	Rochester, New York
dvp_069_place_2	New York
dvp_069_place_3	Syracuse, New York
dvp_069_place_4	Rochester
dvp_069_place_5	Rochester
dvp_069_place_6	Rochester
dvp_069_place_7	New York
dvp_069_place_8	Rochester
dvp_069_place_9	New York
dvp_069_place_10	New York City
dvp_069_place_11	New York
dvp_069_place_12	Ohio
dvp_069_place_13	New York
dvp_069_place_14	Rochester
dvp_069_place_15	America
dvp_069_place_16	Rochester
dvp_069_place_17	Rochester’s
dvp_069_place_18	United States
dvp_069_place_19	Rochester
dvp_069_place_20	Rochester
dvp_069_place_21	Rochester
dvp_069_place_22	Rochester
dvp_069_place_23	America
dvp_069_place_24	America
dvp_069_place_25	Rochester
dvp_069_place_26	Rochester
dvp_069_place_27	United States
dvp_069_place_28	America
dvp_069_place_29	Philadelphia
dvp_069_place_30	New York
dvp_069_place_31	Watts [a neighborhood in Los Angeles]
dvp_069_place_32	California
dvp_069_place_33	Boston
dvp_069_place_34	Denver
dvp_069_place_35	Brighton, New York
dvp_069_place_36	Rochester
dvp_069_place_37	Pittsford, New York
dvp_069_place_38	Pittsford
dvp_069_place_39	Rochester
dvp_069_place_40	Rochester
dvp_069_place_41	United States
dvp_069_place_42	United States
dvp_069_place_43	Rochester
dvp_069_place_44	New York
dvp_069_place_45	Ithaca
dvp_069_place_46	New York
dvp_069_place_47	Dartmouth
dvp_069_place_48	Rochester
dvp_069_place_49	River Cluster
dvp_069_place_50	Wigwam dorms
dvp_069_place_51	French Hall
dvp_069_place_52	River Cluster
dvp_069_place_53	Tuck School [of Business]
dvp_069_place_54	Tuck School
dvp_069_place_55	Thayer [School of Engineering]
dvp_069_place_56	River Cluster
dvp_069_place_57	River Cluster
dvp_069_place_58	Thayer
dvp_069_place_59	Tundra
dvp_069_place_60	[Dartmouth] Green
dvp_069_place_61	Mass[achusetts] Row
dvp_069_place_62	Topliff [Hall]
dvp_069_place_63	Tuck Drive
dvp_069_place_64	Minnesota
dvp_069_place_65	Ithaca
dvp_069_place_66	Lou’s [Restaurant and Bakery]
dvp_069_place_67	Vietnam
dvp_069_place_68	New Hampshire
dvp_069_place_69	New Hampshire
dvp_069_place_70	Vietnam
dvp_069_place_71	California
dvp_069_place_72	United States
dvp_069_place_73	Minnesota
dvp_069_place_74	Parkhurst
dvp_069_place_75	Dartmouth
dvp_069_place_76	Hanover, New Hampshire
dvp_069_place_77	Vietnam
dvp_069_place_78	Vietnam
dvp_069_place_79	Vietnam
dvp_069_place_80	Hanover, New Hampshire
dvp_069_place_81	Vietnam
dvp_069_place_82	South Strafford
dvp_069_place_83	Royalton
dvp_069_place_84	Vietnam
dvp_069_place_85	Leverone [Field House]
dvp_069_place_86	Leverone
dvp_069_place_87	Dartmouth
dvp_069_place_88	Vietnam
dvp_069_place_89	Manchester [New Hampshire]
dvp_069_place_90	Vietnam
dvp_069_place_91	Canada
dvp_069_place_92	United States
dvp_069_place_93	Rochester
dvp_069_place_94	Fort Jackson, South Carolina
dvp_069_place_95	Fort Gordon
dvp_069_place_96	Fort Jackson, South Carolina
dvp_069_place_97	Fort Gordon, Georgia
dvp_069_place_98	Pawtucket, Rhode Island
dvp_069_place_99	Nashville, Tennessee
dvp_069_place_100	Pawtucket
dvp_069_place_101	Nashville, Tennessee
dvp_069_place_102	New York
dvp_069_place_103	Lebanon Road
dvp_069_place_104	Route 120
dvp_069_place_105	Fort Jackson
dvp_069_place_106	Fort Gordon
dvp_069_place_107	Tuck
dvp_069_place_108	Main Street there [in Hanover, New Hampshire]
dvp_069_place_109	Tuck
dvp_069_place_110	Vietnam
dvp_069_place_111	Vietnam
dvp_069_place_112	Vietnam
dvp_069_place_113	Vietnam
dvp_069_place_114	Georgia
dvp_069_place_115	America
dvp_069_place_116	America
dvp_069_place_117	America
dvp_069_place_118	Tuck
dvp_069_place_119	Dartmouth
dvp_069_place_120	Nashville
dvp_069_place_121	Vietnam
dvp_069_place_122	Wall Street [the term used to represent the financial district of New York City]
dvp_069_place_123	Wall Street
dvp_069_place_124	Wall Street
dvp_069_place_125	Vietnam
dvp_069_place_126	Vietnam
dvp_069_place_127	China
dvp_069_place_128	Wall Street
dvp_069_place_129	Wall Street
dvp_069_place_130	Republic of North Korea
dvp_069_place_131	Japan
dvp_069_place_132	Vietnam
dvp_069_place_133	Iraq
dvp_069_place_134	China
dvp_069_place_135	Vietnam
dvp_069_place_136	Vietnam
dvp_069_place_137	Vietnam
dvp_069_place_138	Vietnam
dvp_069_place_139	Vietnam
dvp_069_place_140	Vietnam
dvp_069_place_141	Vietnam
dvp_069_place_142	United States
dvp_069_place_143	Vietnam
dvp_069_place_144	Vietnam
dvp_069_place_145	Rochester
dvp_069_place_146	Iran
