id	name
dvp_071_event_0	World War II
dvp_071_event_1	World War II
dvp_071_event_2	Korean War
dvp_071_event_3	Korea
dvp_071_event_4	Korean War
dvp_071_event_5	Brown v. Board of Education [Supreme Court ruling]
dvp_071_event_6	march across the [Edmund Pettus] Bridge
dvp_071_event_7	Korean War
dvp_071_event_8	Korean War
dvp_071_event_9	Kennedy’s election
dvp_071_event_10	Cuban Missile Crisis
dvp_071_event_11	Cuban Missile Crisis
dvp_071_event_12	Cuban Missile Crisis
dvp_071_event_13	Kennedy assassination
dvp_071_event_14	Kennedy assassination
dvp_071_event_15	Civil Rights Act
dvp_071_event_16	Tonkin
dvp_071_event_17	Gulf of Tonkin Resolution
dvp_071_event_18	Battle of la Drang
dvp_071_event_19	[the Battle of] Điện Biên Phủ
dvp_071_event_20	’67
dvp_071_event_21	Vietnam
dvp_071_event_22	Democratic Convention of ’68
dvp_071_event_23	Tet [Offensive]
dvp_071_event_24	Vietnam
dvp_071_event_25	Kent State
dvp_071_event_26	Atlanta Pop Fest
dvp_071_event_27	Woodstock [Music and Art Fair]
dvp_071_event_28	Atlanta Pop Festival
dvp_071_event_29	Woodstock
dvp_071_event_30	Altamont [Speedway Free Festival]
dvp_071_event_31	Altamont
dvp_071_event_32	Dewey Canyon III [an antiwar protest in April 1971 in Washington, D.C.]
dvp_071_event_33	Dewey Canyon III
dvp_071_event_34	Vietnam
dvp_071_event_35	Vietnam
dvp_071_event_36	Vietnam
dvp_071_event_37	Winter Soldier Investigation
dvp_071_event_38	Winter Soldier Investigation
dvp_071_event_39	march to the Fontainebleau [luxury hotel in Miami Beach, Florida]
dvp_071_event_40	Nixon’s reelection
dvp_071_event_41	Gulf of Tonkin [incident]
dvp_071_event_42	Tonkin
dvp_071_event_43	Vietnam
dvp_071_event_44	Vietnam
dvp_071_event_45	Vietnam
dvp_071_event_46	Iraq War
dvp_071_event_47	Iraq War
dvp_071_event_48	Iraq War
dvp_071_event_49	Dewey Canyon III
dvp_071_event_50	Vietnam
dvp_071_event_51	Vietnam
dvp_071_event_52	Vietnam
