id	orgName
dvp_071_org_0	Illinois State Normal University [now Illinois State University]
dvp_071_org_1	Democrats
dvp_071_org_2	Federal Land Bank [now Farm Credit Bank]
dvp_071_org_3	Democratic
dvp_071_org_4	United Nations
dvp_071_org_5	United Nations
dvp_071_org_6	Soviet Union
dvp_071_org_7	United Nations
dvp_071_org_8	Chinese
dvp_071_org_9	[the U.S.] Congress
dvp_071_org_10	Communications Workers of America
dvp_071_org_11	CWA
dvp_071_org_12	Highlands High School
dvp_071_org_13	University of Mississippi
dvp_071_org_14	Dartmouth
dvp_071_org_15	Amherst [College]
dvp_071_org_16	Williams [College]
dvp_071_org_17	University of Cincinnati
dvp_071_org_18	University of Kentucky
dvp_071_org_19	Dartmouth
dvp_071_org_20	Dartmouth
dvp_071_org_21	Dartmouth’s
dvp_071_org_22	Hanover Inn [Dartmouth]
dvp_071_org_23	ROTC [Reserve Officers’ Training Corps]
dvp_071_org_24	ROTC
dvp_071_org_25	ROTC
dvp_071_org_26	ROTC
dvp_071_org_27	ROTC
dvp_071_org_28	ROTC
dvp_071_org_29	Dartmouth
dvp_071_org_30	Democrats
dvp_071_org_31	AT and T
dvp_071_org_32	ROTC
dvp_071_org_33	Dartmouth
dvp_071_org_34	Dartmouth
dvp_071_org_35	ROTC
dvp_071_org_36	Regular Army
dvp_071_org_37	Army
dvp_071_org_38	Army
dvp_071_org_39	ROTC
dvp_071_org_40	Regular Army
dvp_071_org_41	Indiana University
dvp_071_org_42	Indiana University
dvp_071_org_43	General Motors [Company]
dvp_071_org_44	the John Birch Society
dvp_071_org_45	The Indianapolis Star
dvp_071_org_46	The Indianapolis Star
dvp_071_org_47	The Louisville Courier-Journal
dvp_071_org_48	ROTC
dvp_071_org_49	U.S.
dvp_071_org_50	South Vietnamese government
dvp_071_org_51	Army
dvp_071_org_52	Combined Arms and Services [U.S. Army Combined Arms Center]
dvp_071_org_53	Army’s
dvp_071_org_54	Dartmouth
dvp_071_org_55	Army
dvp_071_org_56	Booz Allen and Associates [now Booz Allen Hamilton Inc.]
dvp_071_org_57	U.S.
dvp_071_org_58	The Cincinnati Enquirer
dvp_071_org_59	Army
dvp_071_org_60	U.S. government
dvp_071_org_61	Army
dvp_071_org_62	United States government
dvp_071_org_63	Braniff [Airways, Inc.]
dvp_071_org_64	American
dvp_071_org_65	1st Air Cavalry Division [1st Cavalry Division (Airmobile)]
dvp_071_org_66	1st Air Cavalry Division
dvp_071_org_67	1st Air Cavalry
dvp_071_org_68	Marines
dvp_071_org_69	Marines
dvp_071_org_70	1st Cav
dvp_071_org_71	Cav
dvp_071_org_72	Cav
dvp_071_org_73	1st Air Cav
dvp_071_org_74	Cav
dvp_071_org_75	Cav
dvp_071_org_76	the 2nd
dvp_071_org_77	5th Battalions
dvp_071_org_78	Army’s
dvp_071_org_79	Viet Cong
dvp_071_org_80	Viet Cong
dvp_071_org_81	2nd Brigade
dvp_071_org_82	1st Air Cavalry Division
dvp_071_org_83	1st Air Cavalry Division
dvp_071_org_84	the 2nd Brigade
dvp_071_org_85	Cav
dvp_071_org_86	Cav
dvp_071_org_87	Stars and Stripes
dvp_071_org_88	Associated Press
dvp_071_org_89	United Press [International]
dvp_071_org_90	Viet Cong
dvp_071_org_91	Viet Cong
dvp_071_org_92	American
dvp_071_org_93	Jeeps
dvp_071_org_94	Viet Cong
dvp_071_org_95	Cav
dvp_071_org_96	U.S. military
dvp_071_org_97	U.S.
dvp_071_org_98	Viet Cong
dvp_071_org_99	Army
dvp_071_org_100	Stars and Stripes
dvp_071_org_101	American Force’s Radio [U.S. armed Forces Radio and Television Service]
dvp_071_org_102	1st Air Cavalry Division
dvp_071_org_103	Cav
dvp_071_org_104	1st Air Cavalry Division
dvp_071_org_105	Jeep
dvp_071_org_106	U.S.
dvp_071_org_107	U.S. Army
dvp_071_org_108	2nd Brigade
dvp_071_org_109	Stanford
dvp_071_org_110	Montessori
dvp_071_org_111	Vietnam Veterans Against the War
dvp_071_org_112	Senate Foreign Relations Committee [U.S. Senate Committee on Foreign Relations]
dvp_071_org_113	Vietnam Veterans Against the War
dvp_071_org_114	Vietnam Veterans Against the War
dvp_071_org_115	VVAW
dvp_071_org_116	Indochina Peace Project [Indochina Peace Campaign]
dvp_071_org_117	VVAW
dvp_071_org_118	Nazis
dvp_071_org_119	Nazis
dvp_071_org_120	VVAW
dvp_071_org_121	VVAW
dvp_071_org_122	U.S.
dvp_071_org_123	U.S.
dvp_071_org_124	U.S.
dvp_071_org_125	VVAW
dvp_071_org_126	The Cincinnati Enquirer
dvp_071_org_127	The Cincinnati Enquirer
dvp_071_org_128	VVAW
dvp_071_org_129	VVAW
dvp_071_org_130	VVAW’s
dvp_071_org_131	American Communist Party [Communist Party USA]
dvp_071_org_132	Communist Party
dvp_071_org_133	VVAW’s
dvp_071_org_134	Veterans Administration [U.S. Department for Veteran Affairs]
dvp_071_org_135	VVAW
dvp_071_org_136	Dartmouth
dvp_071_org_137	U.S.
dvp_071_org_138	Iraq Veterans Against the War
dvp_071_org_139	VVAW
dvp_071_org_140	VVAW
dvp_071_org_141	VVAW
dvp_071_org_142	VVAW
dvp_071_org_143	VVAW
dvp_071_org_144	VVAW
dvp_071_org_145	U.S.
dvp_071_org_146	Veterans Administration
dvp_071_org_147	VVAW
